"io-title","RIVALEN"
"badgeServant-refill-generic","Nachdem er einige Dokumente überprüft hatte nickte der Diener der Abzeichen still und sagte dass tatsächlich einen neue Lieferung gab. Ich musste mein Abzeichen ein weiteres mal zeigen, welches die seltsame Gestalt mit tiefem Misstrauen überprüfte. Nach einem weiteren tiefen Seufzer übergab mir der Diener ein Packet."
"badgeServant-refill-fail-generic","Der Diener der Abzeichen sagte ich sei zu früh. Die nächste Lieferung würde nicht vor einigen Tagen hier eintreffen."
"cl-badgeServant-intro","[Ich diene ausschließlich Entdeckern mit Abzeichen|Ich muss dich bitten mir das Abzeichen zu zeigen|Lass es uns hinter uns bringen|Kein Abzeichen, kein Service|Sprich mich nicht an ohne Abzeichen|Ich hoffe du hast ein Abzeichen|Nur für Gesellschaften der Abzeichen]."
"cl-badgeServant-generic-wait","[Geduld ist eine Tugend, so sagt man.|Du musst noch etwas warten.|Ich kann dir heute leider nicht helfen.|Es tut mir nicht leid.|Ich nehme an Geduld ist keiner deiner Tugenden?]"
"cl-badgeServant-generic-refillTreasureHunter","[Hier, bitte|Nimmes und geh' einfach|Ich erfülle nur meine Pflicht, kein Dank nötig|Das sollte genug sein um weitere Schätze auszugraben|Fröhliches Schätzejagen]."
"badgeServant-animalTrade","Nachdem der Diener mein Abzeichen überprüft hatte begrüßte die Gestalt mich etwas freundlicher. Sie bot an die Trophäen die ich bisher gesammelt hatte für Ruhm oder Handelswaren einzutauschen. Sie versicherte dass zahlreiche Tierpräperatoren bereits händeringend auf eine neue Lieferung Rohstoffe warteten."
"cl-badgeServant-animalTrade","[Ah, du bist auf der Jagd.|Sehr gut, meine Kunden werden sich über neue Rohstoffe freuen.|Hast du Rohstoffe gesammelt?|Beeile dich, ich habe wartende Kundschaft.|Wie ich bist du auch nur ein Diener.]"

"io-endGame","Glückwunsch, du hast diese Expedition überlebt! Zeit, deinen Sieger zurückkehren zu lassen!"
"io-gameover-success","Ihr sied Siegreich zurückgekehrt!"

"io-pyramid-found","Glückwunsch, du hast die goldene Pyramide gefunden! Du hast jetzt Zugriff auf die Curious Expedition 2 Windows Alpha auf Discord!"
"io-pyramid-found-other","Die Pyramide wurde von $user entdeckt - finde sie ebenfalls und bekomme Zugang zu der CE2 Windows Alpha!"
"io-pyramid-not-found","Die Pyramide dieser Welt wurde noch nicht gefunden - entdecke sie um Zugang zu der CE2 Windows Alpha zu bekommen!"
"io-pyramid-activate","Bekomme Zugang zur Alpha"

"io-alpha-yourkey","Dein Alpha Zugangsschlüssel:"
"io-alpha-instructions-header","Folge diesen Schritten um die Curious Expedition 2 Alpha für Windows jetzt gleich zu spielen!"
"io-alpha-instructions-1","1. Klicke den unten gezeigten Button um unserem Discord Server beizutreten"
"io-alpha-instructions-2","2. Klicke auf 'Mr. Slippers', in der Mitgliederliste auf der rechten Seite"
"io-alpha-instructions-3","3. Schicke deinen Zugangsschlüssel (in deiner Zwischenablage gespeichert) als Direktnachricht an Mr. Slippers"
"io-alpha-instructions-4","4. Mr Slippers wird dir anschließend einen Zugang zur Alpha gewähren"
"io-alpha-join","Tritt unserem Discord Server bei um den Zugang zur Alpha zu erlangen"

"io-alpha-notify-title","Alpha Zugang freigegeben!"
"io-alpha-notify-desc","Wirf einen Blick in das Menü um mehr Informationen zu erlangen wie Curious Expedition 2 gespielt wird."

"pl-arcticHunter-title","Einheimischer Jäger"
"st-pathfinder-1-title","Wegbereiter 1"
"st-pathfinder-2-title","Wegbereiter 2"
"st-pathfinder-3-title","Wegbereiter 3"
"st-pathfinder-4-title","Wegbereiter 4"
"st-pathfinder-description","Reduzierte Bewegungskosten in arktischem Gelände."
"evt-village-recruit-select-humanoid-arcticHunter-action","$name der Jäger"
"evt-village-recruit-select-humanoid-arcticHunter","[Wissen über dieses gefrorene Land ist schwer zu bekommen |Ich war mir sicher, dass ein Führer eine große Hilfe wäre|Wir waren uns sicher, dass wir Zeit in der Arktis verbringen würden], also hieß ich $name in unserer Gruppe willkommen."

"pl-scientificAssistant-title","Wissenschaftlicher Assistent"
"pk-researchAssistance-1-title","Forschungsassistenz 1"
"pk-researchAssistance-2-title","Forschungsassistenz 2"
"pk-researchAssistance-3-title","Forschungsassistenz 3"
"pk-researchAssistance-4-title","Forschungsassistenz 4"
"pk-researchAssistance-description","Bonus für geistige Gesundheit beim entdecken einer neuen Schmetterlingsart."

"anm-yakul-title","Yakul"
"anm-yakul","Eine treue hirschähnliche Kreatur. Wenn sie bestiegen wird ist sie sehr schnell und in der Lage mühelos jeden Hügel zu besteigen."

"emy-trex-name","Tyrannosaurus Rex"
"it-trexTooth-name","T-Rex-Zahn"
"it-trexTooth","Der Zahn eines Tyrannosaurus Rex. Sehr wertvoll."
"zn-trex-name","T-Rex"
