"io-title","RIVALI"
"evt-village-recruit-select-humanoid-arcticHunter","[La conoscenza di questa terra ghiacciata è difficile da ottenere | Ero sicuro che una guida sarebbe stata di grande aiuto nella nostra situazione | Eravamo sicuri di trascorrere un po' di tempo nell'Artico], quindi ho accolto con favore il nome di $name nel nostro team."

"pl-scientificAssistant-title","Assistente scientifico"
"pk-researchAssistance-1-title","Ricerca assistenza 1"
"pk-researchAssistance-2-title","Ricerca assistenza 2"
"pk-researchAssistance-3-title","Ricerca assistenza 3"
"pk-researchAssistance-4-title","Ricerca assistenza 4"
"pk-researchAssistance-description","Maggiore acquisizione di buon senso quando si scopre un nuovo esemplare di farfalla."

"anm-yakul-title","Yakul"
"anm-yakul","Una creatura fidata come un cervo. Quando viene montata è molto veloce e capace di scalare facilmente qualsiasi collina."

"emy-trex-name","Tyrannosaurus Rex"
"it-trexTooth-name","Dente del T-Rex"
"it-trexTooth","Il dente di un Tyrannosaurus rex. Di grande valore."
"zn-trex-name","T-Rex"
