"io-title","RYWALE"
"badgeServant-refill-generic","Po przejrzeniu jakiś dokumentów Sługa Odznaki cicho przytaknął i powiedział mi, że faktycznie była nowa dostawa zaopatrzenia. Znowu musiałem pokazać moją odznakę, którą ta dziwna postać obserwowała z głęboką nieufnością. Po następnym rozdrażnionym westchnięciu sługa podał mi świeżą paczkę z zaopatrzeniem."
"badgeServant-refill-fail-generic","Sługa Odznaki powiedział mi, że wróciłem za wcześnie. Następna dostawa zaopatrzenia potrzebowała kilku dodatkowych dni na przybycie."
"cl-badgeServant-intro","[Obsługuję tylko podróżników, którzy posiadają odznakę|Muszę zobaczyć najpierw Twoją odznakę|Miejmy to za sobą|Brak odznaki, brak obsługi|Nie odzywaj się do mnie nie posiadając odznaki|Mam nadzieję, że posiadasz odznakę|Tylko dla posiadaczy odznaki]."
"cl-badgeServant-generic-wait","[Powiadają, że cierpliwość jest cnotą.|Będziesz musiał poczekać jeszcze trochę.|Nie będę w stanie Tobie dziś pomóc.|Nie jest mi przykro.|Cierpliwość nie jest jedną z twoich cech, nieprawdaż?]"
"cl-badgeServant-generic-refillTreasureHunter","[Proszę bardzo|Weź to i wyjdź|Wypełniam tylko swoje obowiązki, nie musisz mi dziękować|To powinno wystarczyć do wykopania kilku skarbów więcej|Miłego poszukiwania skarbów]."
"badgeServant-animalTrade","Po dokładnym sprawdzeniu mojej odznaki służący powitał mnie trochę milej. Zaproponował mi, że odkupi najróżniejsze zwierzęce trofea, które zdobyłem w zamian za towary handlowe lub punkty sławy. Zapewnił mnie, że taksydermiści desperacko oczekują na więcej świeżego materiału."
"cl-badgeServant-animalTrade","[Ah, jesteś na polowaniu.|Bardzo dobrze, moi klienci będą zadowoleni z nowych towarów.|Zebrałeś jakieś świeże materiały?|Pośpiesz się, klienci czekają.|Jesteś tylko sługą, tak jak ja.]"

"io-endGame","Gratulacje, przetrwałeś tę ekspedycję! Czas na twój triumfalny powrót!"
"io-gameover-success","Wróciłeś triumfalnie!"

"io-pyramid-found","Gratulację, znalazłeś Złotą Piramidę! Możesz teraz przejść do Curious Expedition 2 Windows Alpha na Discord!"
"io-pyramid-found-other","Piramidę znalazł $user, ale ty też możesz ją znaleźć i zyskać dostęp do Curious Expedition 2 Windows Alpha!"
"io-pyramid-not-found","Nie znaleziono jeszcze piramidy w tym świecie, znajdź ją i zyskaj dostęp do Curious Expedition 2 Windows Alpha!"
"io-pyramid-activate","Zdobądź dostęp do Alpha"

"io-alpha-yourkey","Twój klucz do Alpha:"
"io-alpha-instructions-header","Wykonaj następujące kroki, aby już teraz grać w Curious Expedition 2 Alpha dla Windows!"
"io-alpha-instructions-1","1. Kliknij poniższy przycisk, by dołączyć do naszego serwera Discord"
"io-alpha-instructions-2","2. Kliknij ""Mr. Slippers"" na liście użytkowników po prawej stronie"
"io-alpha-instructions-3","3. Prześlij swój Klucz (kopiując do schowka) w formie wiadomości do Mr. Slippers"
"io-alpha-instructions-4","4. Mr Slippers przyzna ci dostęp do Alpha"
"io-alpha-join","Dołącz do Discord, aby uzyskać dostęp do Alpha"

"io-alpha-notify-title","Odblokowany dostęp do Alpha!"
"io-alpha-notify-desc","Odwiedź menu ustawień, aby dowiedzieć się jak grać w Curious Expedition 2."

"pl-arcticHunter-title","Rodzimy Łowca"
"st-pathfinder-1-title","Pionier 1"
"st-pathfinder-2-title","Pionier 2"
"st-pathfinder-3-title","Pionier 3"
"st-pathfinder-4-title","Pionier 4"
"st-pathfinder-description","Zredukowane koszty ruchu na terenach arktycznych."
"evt-village-recruit-select-humanoid-arcticHunter-action","$name łowca"
"evt-village-recruit-select-humanoid-arcticHunter","[Wiedza tego lodowego lądu jest trudna do zdobycia|Byłem pewien, że przewodnik bardzo nam pomoże w tej sytuacji|Mieliśmy pewność, że spędzimy trochę czasu w Arktyce], więc powitałem $name w naszym zespole."

"pl-scientificAssistant-title","Asystent naukowy"
"pk-researchAssistance-1-title","Pomoc w badaniach 1"
"pk-researchAssistance-2-title","Pomoc w badaniach 2"
"pk-researchAssistance-3-title","Pomoc w badaniach 3"
"pk-researchAssistance-4-title","Pomoc w badaniach 4"
"pk-researchAssistance-description","Zwiększone odzyskiwanie punktów zdrowia psychicznego podczas odkrywania nowych gatunków motyli."

"anm-yakul-title","Yakul"
"anm-yakul","Wierne jeleniowate stworzenie. Jest bardzo szybkie oraz umie wspinać się z łatwością na każde wzgórze."

"emy-trex-name","Tyranozaurus Rex"
"it-trexTooth-name","Ząb T-rexa"
"it-trexTooth","Ząb Tyranozaura rexa. Bardzo wartościowy."
"zn-trex-name","T-rex"
