"io-title","경쟁자"
"io-exhausted-keepGoing","나는 가슴을 펴고 오늘만큼은 내가 패배하는 날이 아니라고 다짐했다. 나는 작은 희망 한 조각이 아직 내 마음속에 남아있는 것을 느꼈다."
"io-exhausted-onward","앞으로!"

"io-help-days-remaining","이 탐험은 $days 일 안에 끝날 것입니다."

"io-hotAirBalloon-access","열기구는 이륙할 준비를 마쳤다. 열기구에 실을 수 있는 양은 제한되어 있었고, 싣지 못한 것들은 뒤에 남겨질 것이다."
"evt-hotAirBalloon-stash-action-io","전초기지로 날아간다"

"npc-badgeServant-title","증표의 하인"
"badge-treasureHunter-name","보물 사냥꾼의 증표"
"badge-animalTrade-name","박제 조달인의 증표"
"badge-treasureHunter","보물 사냥꾼 협회의 증표입니다. 주기적인 보물 수색용 장비 공급을 위해서 증표의 하인에게 제시하세요."
"badge-animalTrade","박제사 협회의 증표입니다. 당신이 잡은 사냥감을 박제용 표본으로서 거래하기 위해서는 이 증표를 증표의 하인에게 제시하세요. 동물을 사냥해도 당신의 평판은 깎이지 않을 겁니다."
"act-badgeServant-intro","증표의 하인을 찾아본다"
"act-badgeServant-noBadge","증표를 가지고 있지 않다"
"badgeServant-noBadge","그 형상은 그저 가만히 서서 오랫동안 나를 쳐다보았다. 얼굴이 가면 뒤로 가려져 있기는 했지만, 나는 그것이 나를 경멸하고 있다는 것을 느낄 수 있었다. 결국 그것은 천천히 고개를 흔들기 시작했고, 내가 떠나기를 기다렸다."
"badgeServant-intro","나는 이상한 가면을 쓰고, 밝은 오렌지색 로브를 걸친 한 형상과 마주쳤다. 그것은 여기 머물러 있는 것에 기분이 다소 좋지 않은 것처럼 보였다. 저 멀리서도 알아볼 수 있을 정도로 큰 깃대가 그 형상의 뒷쪽에 매여 있었다. 내가 가진 증표를 보여 달라는 [조용한|감정없는|지루한 듯한|피곤한 듯한|한풀 꺾인] 목소리가 가면 뒤에서 메아리쳤다."
"act-badgeServant-treasureHunter","보물 사냥꾼의 증표"
"act-badgeServant-animalTrade","박제 조달인의 증표"
"act-badgeServant-sellTrophies","사냥감을 판매한다"
"act-badgeServant-tradeFameTrophies","사냥감을 명성과 교환한다"
"badgeServant-refill-generic","몇 가지 서류들을 훑어본 뒤 증표의 하인은 조용히 고개를 끄덕였고 나에게 정말로 새로운 장비 한 상자가 준비되어 있다고 말했다. 그 낮선 형상이 깊은 불신이 가득한 눈길로 증표를 바라보고 있었기에, 나는 다시 한 번 나의 증표를 보여주어야만 했다. 다시 한 번 짜증나는 듯한 한숨을 내쉰 뒤 하인은 나에게 새로운 보급품 한 상자를 건네주었다."
"badgeServant-refill-fail-generic","증표의 하인은 내가 너무 일찍 돌아왔다고 말해주었다. 다음 장비 선적품이 도착하기까지는 며칠이 더 남아있었다."
"cl-badgeServant-intro","[전 오직 증표를 가진 탐험가들을 섬깁니다만|먼저 증표를 보여주시죠|어서 볼일을 마치는 게 좋을 거 같군요|증표가 없으면, 도움도 없습니다|증표가 없으면 제게 말을 걸 생각은 하지 마시길 바랍니다만|증표를 가져왔기를 바라죠|증표를 가진 자만이 자격이 있습니다]."
"cl-badgeServant-generic-wait","[인내는 바로 미덕이라고들 하죠.|좀 더 기다려셔야 할 것 같군요.|오늘은 당신을 도와줄 수 없습니다.|미안하지는 않습니다만.|인내는 당신의 전문분야는 아니로군요, 그렇지 않습니까?]"
"cl-badgeServant-generic-refillTreasureHunter","[여기 있습니다|어서 가지고 나가시죠|그저 제 임무를 수행할 뿐, 고마워할 필요는 없습니다|더 많은 보물을 캐내는 데는 이걸로 충분하시겠죠|즐거운 보물 사냥이 되시길]."
"badgeServant-animalTrade","나의 증표를 거듭 살펴본 뒤, 하인은 나를 좀 더 친근한 태도로 맞이했다. 하인은 내가 잡아온 모든 동물 사냥감들을 교역품이나 명성으로 사들일 것을 제안했다. 하인은 박제사들이 더 많은 생체 표본들을 간절히 기다리고 있을 거라고 내게 장담했다."
"cl-badgeServant-animalTrade","[아아, 사냥 중이시로군 그래.|아주 좋습니다, 제 고객들이 새로운 재료들을 기쁘게 맞이할 것입니다.|박제에 쓸 재료들을 모아왔나요?|서두르시죠, 절 기다리는 고객들이 많답니다.|당신 또한 저처럼 하수인에 불과하군요.]"

"io-endGame","축하합니다, 당신은 이 탐험에서 살아남았습니다! 이제 승리와 함께 돌아갈 시간입니다!"
"io-gameover-success","당신은 승리와 함께 돌아왔습니다!"

"io-pyramid-found","축하합니다, 황금 피라미드를 발견하셨습니다! 당신은 이제 디스코드에서 큐리어스 익스페디션 2 윈도우용 알파 테스트를 신청하실 수 있습니다!"
"io-pyramid-found-other","$user 이/가 황금 피라미드를 발견했지만, 아직 당신에게도 기회가 남아 있습니다. 황금 피라미드를 찾아 큐리어스 익스페디션 2 윈도우용 알파 테스트에 참가할 수 있는 기회를 얻으세요!"
"io-pyramid-not-found","지금의 세계에 있는 피라미드는 아직 발견되지 않았습니다. 황금 피라미드를 찾아 큐리어스 익스페디션 2 윈도우용 알파 테스트에 참가할 수 있는 기회를 얻으세요!"
"io-pyramid-activate","알파 테스트 신청하기"

"io-alpha-yourkey","당신의 알파 테스트용 키:"
"io-alpha-instructions-header","지금 바로, 이 절차를 따라서 윈도우에서 큐리어스 익스페디션 2 알파 테스트를 시작하세요!"
"io-alpha-instructions-1","1. 아래의 버튼을 클릭해서 저희들의 디스코드 서버에 접속하세요"
"io-alpha-instructions-2","2. 오른쪽의 유저 목록에서 'Mr. Slippers'를 찾아서 클릭하세요"
"io-alpha-instructions-3","3. 메세지를 이용해 Mr. Slippers에게 알파 테스트 키(클립보드에 복사됨) 를 보내주세요"
"io-alpha-instructions-4","4. Mr. Slippers가 당신을 알파 테스트에 초대해 줄 것입니다"
"io-alpha-join","알파 테스트 참가를 위해 디스코드에 접속하기"

"io-alpha-notify-title","알파 테스트에 참가하셨습니다!"
"io-alpha-notify-desc","설정 메뉴에 들어가서 큐리어스 익스페디션 2를 어떻게 플레이하는지 확인해 보세요."

"pl-arcticHunter-title","원주민 사냥꾼"
"st-pathfinder-1-title","길잡이 1"
"st-pathfinder-2-title","길잡이 2"
"st-pathfinder-3-title","길잡이 3"
"st-pathfinder-4-title","길잡이 4"
"st-pathfinder-description","극지 지형에서의 이동비용이 감소합니다."
"evt-village-recruit-select-humanoid-arcticHunter-action","사냥꾼 $name"
"evt-village-recruit-select-humanoid-arcticHunter","[이 얼어붙은 땅에 대한 지식은 아주 귀하기 때문에|북극 안내원이 있다면 현재 상황에서 많은 도움이 될 것이라고 생각해서|우리들은 북극에서 어느 정도의 시간을 보내야 할 것이라고 생각했기 때문에], 나는 $name 을/를 우리 탐험대에 기꺼이 받아들였다."

"pl-scientificAssistant-title","연구 보조원"
"pk-researchAssistance-1-title","연구 보조 1"
"pk-researchAssistance-2-title","연구 보조 2"
"pk-researchAssistance-3-title","연구 보조 3"
"pk-researchAssistance-4-title","연구 보조 4"
"pk-researchAssistance-description","새로운 나비의 종을 발견했을 때 얻는 San수치의 양이 늘어납니다."

"anm-yakul-title","야쿠르"
"anm-yakul","믿음직한 사슴처럼 생긴 생물입니다. 타고 다닐 때 굉장히 빠르며 어떤 언덕이라도 쉽게 오르내릴 수 있습니다."

"emy-trex-name","티라노사우루스 렉스"
"it-trexTooth-name","티라노사우루스 이빨"
"it-trexTooth","티라노사우루스 렉스의 이빨입니다. 매우 가치가 높습니다."
"zn-trex-name","티라노사우루스"
