"fxt-village-human-name","인간의 마을"
"evt-village-enter-neutral","[마을 사람들은 우리 습격대가 정착지에 도착하자 경계하는 눈빛으로 관찰했다.|우리들이 도착했을 때 마을은 활기찬 모습을 보였지만, 인간들이 우리 일행을 보자마자 모두 멈추었다.] [우리들은 대놓고 그들에게 접근하여 마을 입구에서 멈추었다|우리들은 마을 입구에 서서 이 인간들을 어떻게 다루어야 할지 고민했다]."
"evt-ship-arrival","[내가 아침을 맞이하여 준비를 끝냈을 때|내가 이 지역에 대한 연구를 하는 데에 깊이 빠져 있었을 때|이날 아침 일찍|대양을 가로지르는 여행은 수많은 놀라운 해양 생태계의 모습들을 보여주었고 마침내|나는 다가올 습격에 생각을 집중하였고 마침내|생각했던 것보다는 평온한 항해 끝에|나는 이 항해가 얼마나 많은 시련과 역경을 거쳐왔는지 감히 셀 수도 없었지만, 다행히도|몇 주일 간의 여행 끝에|바다 위에서 너무나도 오랜 날들을 보낸 뒤에|내가 배에 타면서 마주쳤던 가장 무지막지한 번개폭풍으로부터 간신히 살아남은 뒤|드넓게 펼쳐진 바다를 항해하는 것은 참으로 굉장했고, 조금은 슬프게도|바나나 하나도 없이 역겨운 음식들로 몆 주 정도를 고생한 끝에|우리들이 이 물길을 헤쳐나갈 길을 절대 찾을 수 없겠다고 단념했던 순간|비가 내리는 아침에 드리웠던 두터운 안개 속에서] [우리들은 지역 통치자가 다스리는 땅에 다다랐다|우리들은 결국 습격 목적지의 해안가에 도착했다|우리들은 습격 목적지에 도착했다|해변가의 모습이 드러났다]. [우리 앞에는 광활하고 야생 그대로인 육지가 펼져졌다|낮선 땅이 우리들을 모험으로 인도했다|나는 여기서 어떤 위험들이 우리들을 기다리고 있을지 알아내고 싶었다|우리들은 도착했고, 이제 앞으로 나아가야 할 때가 왔다|나는 이 장소가 내가 궁정에 전진하기 위한 열쇠를 가지고 있을 것을 기대했다|나는 이 지역 통치자를 찾아서 감동시켜야 한다는 것을 알고 있었다|나는 황금 도시를 찾아야 한다는 것을 알고 있었다]."
"evt-village-enter-forsaken","[마을은 텅 비어 있었다.|소름돋는 광경이었다. 마치 무언가가 마을의 거주민들을 모두 빨아들인 것으로 보였고 이제 이곳에는 어떤 남자, 여자, 아이들도 남아있지 않았다.|마을은 완전히 버려졌다.] [마치 인간들이 서둘러 떠나간 것으로 보였다.|이곳은 오래 전에 잊혀진 곳으로 보였고, 금세 근처를 둘러싼 광경들과 구분할 수 없게 되었다.] 나는 이곳을 수색했지만 어떤 쓸모있는 것도 찾을 수 없었다."
"evt-postNarrative-extra-1","$그의 습격에서 겪었던 고난은 $그의 [몸에|마음에|영혼에] 상처들을 남겼고 $그의 가족은 $그가 이제는 원래 있었던 사람의 껍데기에 지나지 않는다고 증언했다."
"evt-postNarrative-extra-2","$그는 $그가 모아놓은 재산으로 지금까지 제국에서 볼 수 없었던 가장 큰 규모의 성찬과 놀이가 어우러진 축제를 열어서 귀족들과 평민 유인원들 모두에게 깊은 인상을 남겨주었다"
"evt-postNarrative-extra-3","비록 사회 속에서 기초적인 유행을 따라가기는 했지만, $그는 새로운 인간관계를 만들어내는 것이 불가능해다는 것을 깨닫고, 안정적인 사회 및 정치적 동맹을 벗어나 홀로 남겨지게 되었다"
"evt-postNarrative-extra-4","$그의 습격은 $그에게 삶의 덧없음에 대한 무엇과도 바꿀 수 없는 사상을 심어주었고, $그는 하루하루를 [$그의 사회적 지위를 상승시키기 위한|$그 자신의 이름을 널리 알리기 위한|제국의 귀족들과 친하게 지내기 위한|부를 축적하기 위한|새로운 동맹을 얻기 위한|제국 황실의 비위를 맞추기 위한] 노력을 하면서 보냈다."
"evt-postNarrative-extra-5","$그는 $그의 집 뒤에 $그가 [수수께끼의 과정을 거쳐 얻어낸|$그의 마지막 습격에서 데려온] 다양한 낮선 동물들의 넓은 서식지를 만듦으로써 그 지역에서 악명을 떨치게 되었다."
"evt-postNarrative-extra-alcoholic","$그는 [$그가 가는 곳마다 바나나슈냅스 한 병을 항상 가지고 다녔다|바나나슈냅스가 $그가 보잘 것 없는 유인원이었다는 트라우마를 극복할 수 있게 만들 거라고 생각했다|바나나슈냅스가 그 자신을 표현할 수 있게 만들기 위해 꼭 필요할 것이라고 믿게 되었다]."
"evt-postNarrative-extra-animalName","새로 발견된 인간의 서식지가 $그의 이름을 따서 지어졌다."
"evt-postNarrative-extra-bipolar","$그의 생애 동안 $그는 몇 주, 몇 달 동안 미친 것 같은 증세를 보이며 [엄청난 에너지를 뿜어내다, 그만큼 오랫동안 축 처진 채로 우울증에 빠지는|극도의 조울증에 빠지는] 모습을 보였다."
"evt-postNarrative-extra-cookCanibal","$그의 전문 요리는 [과일이 가득한|버섯이 섞인|향신료를 친 고기|신기한 고기를 사용한] 요리였다. 제국의 모든 지역에서 그 요리를 먹어보기 위해 사람들이 찾아왔지만 아직 아무도 요리의 비법을 알아내지 못했다고 한다."
"evt-postNarrative-extra-cookPyromaniac","불행하게도 그 장소는 수수께끼의 원인에 의해 불타버렸다. $name 은/는 그 피해로부터 [물질적으로도|평판적으로도|감정적으로도] 정신적으로도 전혀 회복되지 못했다."
"evt-postNarrative-extra-cookSoup","$그의 꽤나 유명한 전문 요리는 $그가 황금 도시의 유명한 요리사들의 도움으로 이것저것 섞어서 만들었다고 주장하는 이국적인 수프였다."
"evt-postNarrative-extra-firstChildName","$그는 $그의 첫 아이의 이름을 [$그의 인생을 만들어놓은 습격대의 지도자의|$그가 여행 중에 마주쳤던 황금 도시들 중 하나의 통치자의|$그를 집으로 데려다 준 배의] 이름을 따서 지어주었다."
"evt-postNarrative-extra-kleptomaniacPoor","$그는 [우리 습격에서 가져온 유물을 가져가려고 했다가|$그의 습격대가 가져온 인간 포로들 몇 명을 훔치려고 했다가|$그의 습격대가 가져온 유물 몇 개를 훔쳐가려고 했다가] 궁정에서 추방당했다."
"evt-postNarrative-extra-kleptomaniacRich","$그는 [불건전할|악명높을|호화로울] 정도로 사치에 빠져 살았는데, $그의 부가 정확히 어디에서 오는지는 영원히 비밀에 싸여 있었다."
"evt-postNarrative-extra-nativeFashion","$그는 $그의 괴상한 의복을 입는 것을 멈추지 않았고 심지어는 어떤 한 [여름|겨울|계절] 동안의 [새로운 신발 스타일을|독특하게 생긴 새로운 모자를|새로운 습격대 복장 브랜드를|패션 붐을] 만드는 데 영향을 주기도 했다."
"evt-postNarrative-extra-noLoyalty","이후 $그는 $그의 습격 탐험에 대한 강도 높은 비평가가 되어, 인간이 그저 하찮은 존재나, 인지능력이 거의 없는 존재가 아닐 가능성에 대한 [수많은|한|몇 권의] [널리 읽혀진|크게 알려지지 않은] [사설을|책을] 써냈다. $그는 $그의 이단적인 견해로 인해 크게 비판받았다."
"evt-postNarrative-extra-racistChange",""
"evt-postNarrative-extra-royalName-1","[$그는 궁정에서 귀족으로 공식적으로 인정받은 후 $그의 자랑스러운 새로운 작위를 받게 되었다|$그는 궁정으로부터 공식적인 작위를 수여받았다]."
"evt-postNarrative-extra-royalName-2","$그는 $그가 일으킨 [소름끼치는|형언할 수 없는|어두운|사악한] 일들에 대한 [잔혹한|끝없는] 악몽 속으로 빠져들어갔다."
"evt-postNarrative-extra-royalName-3","$그는 $그의 여정에서 해왔던 것들에 대한 이야기를 절대 하지 않았다."
"evt-postNarrative-extra-royalName","왕실이 만든 [배의|함선의|다리의|인간 거주지의] 이름이 $그를 따서 지어졌다."
"evt-postNarrative-extra-soldierLife","$그는 [자신의 목숨이 위험에 처해 있음에도 불구하고 동료 유인원의 목숨을 구한 일로|엄청나게 많은 수의 인간을 잡아온 공로로|거의 혼자 힘으로 인간 마을의 반란을 진압한 공로로|중요한 정보가 담긴 편지를 전달하기 위해 3일 연속으로 잠도 자지 않은 채 행군했던 일로] 군사 훈장을 수여받았다."
"evt-postNarrative-extra","$그는 몇 년 뒤에 죽기 직전까지 다달이 다른 생존자들과 연락을 주고받았다. 그들은 사회적 진보를 위한 사업을 위해 같은 편으로서 남아 있었다."
"evt-postNarrative-extraCampaign","$name 은/는 승리와 함께 [제국의 수도로|제국의 중심지로|제국 중심지의 완만한 언덕으로|제국 중심지의 평화로운 계곡으로|제국 중심지의 웅장한 산 속으로|제국 중심지의 수목이 우거진 에메랄드빛 해안가로|$그가 집이라고 부르는 곳으로|$그를 사랑하는 사람들의 품으로|집으로|$그의 고향으로|$그의 가족에게] 돌아갔다. 동상은 이제 $그의 모습을 완벽하게 본따 만들어졌지만, 아직 $그는 휴식에 이르지 못했다. 멀리 떨어진 땅에 관한 생생한 악몽이 매일 밤 $그를 괴롭혔다. $그는 어째서인지는 모르지만, 생생한 지식이 $그의 자아 속에서 점차 자라나고 있는 듯했다. 마침내 $그는 $그가 한번 더 항해를 해야만 했고, 그것이 $그의 마지막 항해가 될 수도 있다는 사실을 알게 되었다. 이번에 $그가 찾는 것은 명성이 아니라, 더 위대한 무언가가 될 것이다..."
"evt-postNarrative-lateLife-alcoholicDeath","$그는 [몇 년 동안 술을 퍼마신 끝에 일찍 죽었다|술 취한 채로 패싸움에 끼어들다 살해당했다|술에 취해 유인원의 황제를 모욕한 일 때문에 살해당했다|술 취한 채로 친구와 말다툼을 벌이다 끝내 살해당했다|매일매일을 술을 마시며 보낸 끝에 바나나슈냅스에 관련된 미확인 질병으로 사망했다|어느 추운 가을날의 새벽에 바다에 빠져 죽었다|$그의 음주 습관에도 불구하고 오래오래 살았다]."
"evt-postNarrative-lateLife-familyDeath","$그는 [$그의 충실한 하인의 품 안에서 숨을 거두었다|$그의 많은 가족들과 지지자들에 둘러싸인 채로 마지막 숨을 내쉬었다]."
"evt-postNarrative-lateLife-genericDeath","$그는 오랫동안 [행복한|검소한|조용한] 삶을 살았고 [$그의 가족들의|$그의 교활한 약혼자의|$그의 배은망덕한 손자 손녀들의|궁정 주술사의|$그의 충직한 애완동물의] 품에서 숨을 거두었다."
"evt-postNarrative-lateLife-lepidopterophobiaDeath","그 동안의 모든 모험들을 겪고 나서도 $그는 절대 [나비에|거대한 나방에] 대한 공포에 굴복하지 않았고, $그는 [사냥 도중|여행하던 중|습격 도중] 비극적인 사고로 [수명이 단축되고 말았다|목숨을 잃었다]. $그는 공포심을 너무 억눌렀던 나머지 그만 [혼란에 빠졌고|균형을 잃었고] 절벽 아래로 굴러떨어지고 말았다."
"evt-postNarrative-lateLife-missionaryDeath","$그는 [검소한|조용한|수수한|간소한] 삶을 살았고 [유인원의 황제를 섬기다|$그가 숭배하는 유인원 황제의 곁을 향해|$그의 지지자들이 지켜보는 가운데] 세상을 떠났다."
"evt-postNarrative-lateLife-nativeDeath","$그는 [말라리아에 걸려 사망했다|불행히도 코끼리의 공격을 받아 숨졌다|소에게서 도망가다가 목숨을 잃었다|운 나쁘게도 멧돼지의 습격을 받아 죽었다|물가에서 물을 뜨던 중 호랑이에게 맞아 사망하였다|$그의 지지자들이 지켜보는 가운데 평화로이 죽음을 맞이하였다]."
"evt-postNarrative-lateLife-paranoidDeath","[$그는 한 세금 징수원을 자기 재산을 강탈하려 한다는 이유로 살해했다는 죄로 $그의 남은 여생을 감옥에서 보냈다|어느 날 저녁에 사라진 이후, $그의 소재지는 최근 몇 년 동안 전혀 알려지지 않았다|$그를 마지막으로 보았던 사람은 $그가 마치 인간처럼 짖어대면서 나체로 거리를 질주했다고 증언하였다|$name 은/는 $그의 지방 총독이 촉수 모양의 신을 섬기는 이교도라며 공격했고, 결국 남은 여생을 정신병원에서 보내게 되었다|$그의 후손들이 모두 미쳐버렸다는 소문이 퍼졌다|$그가 어떤 고대 토착신에게 푹 빠져버린 은둔 신자가 되었다는 소문이 퍼졌다]."
"evt-postNarrative-lateLife-seventhWorldDeath","노년에, $그는 한 [잊혀진|남아있는|숨겨진] [고대의 황금 도시에|일곱 번째 모험에] 대한 [꿈이|생각이|관념이|환상이|악몽이] [계속된다는|머릿 속을 떠나지 않는다는] 생각에 사로잡혀 버렸다. [$그는 어떤 흔적도 남기지 않고 사라졌다|$그는 두 번 다시 어디에서도 보이거나 소식이 들려오지 않았다]."
"evt-postNarrative-lateLife-soldierDeath","$그는 [$그의 소대가 명령 불복종으로 인해 전멸했던 전쟁에서 사망했다|수많은 전투에서 승리했지만 결국 경쟁 관계에 있던 전쟁군주에게 포로로 잡혀 처형되었다|한 전쟁에서 제국를 위해 스스로의 목숨을 바쳤다|$그에게 내려진 명령을 거부했고, 결국 $그의 모든 소대원들에게 찔려 죽었다|한 전투에서 거의 자살 행위에 가까울 정도로 부주의하게 전진하는 바람에 사망했다]."
"evt-postNarrative-middleLife-1","돌아온 뒤, $name 은/는 [제국의 속주와 속국을 여행하며|제국의 많은 영토들을 방문하며] 지금까지의 유명한 습격에 [대해 이야기하고 다녔다|대하여 연설했다|대한 강의를 하고 다녔다]."
"evt-postNarrative-middleLife-2","$name 은/는 $그의 집으로 돌아갔고 방에 들어박혀서 생활했다. 몇 년 쯤 뒤에 $그는 $그의 회고록을 [출판했지만, 대중의 관심을 많이 끌지는 못했다|출판했지만, 대중의 상상력을 이끌어내는 데는 실패했다|출판했고, 큰 성공을 거두면서 $그의 여생을 풍요롭게 보낼 수 있게 되었다|출판했고, 하룻밤 사이에 큰 성공을 거두어 $그의 이름이 궁정에 오르내리게 되었다]."
"evt-postNarrative-middleLife-3","$name 은/는 제국 중심지에 남아서 다시는 $그의 옛 고향으로 돌아가지 않았다."
"evt-postNarrative-middleLife-4","$name 은/는 [$그의 고향으로 돌아가 다시는 제국 중심지에 발을 들이지 않았다|두 곳의 문화 모두에 열정을 가지게 되었고 $그의 일생 동안 영광스러운 제국의 중심지와 $그의 소박한 고향을 몇 번이고 오갔다]."
"evt-postNarrative-middleLife-5","$name 은/는 군대에서 [전공을|경력을] 쌓아 나갔다."
"evt-postNarrative-middleLife-6","$name 은/는 제국의 수도로 돌아갔고 [작은|조그만|자그마한|일류] [레스토랑을|무료 급식소를|식당을] 열어서, 오랫동안 운영하였다."
"evt-postNarrative-middleLife-7",""
"evt-postNarrative-middleLife","$name 은/는 고향으로 [돌아왔고 다시 $그의 오래된 전문 직업을 찾아 일하기 시작했다|돌아왔지만 $그의 신체적 결함으로 인해 다시는 평범한 직업을 얻을 수 없었다|돌아왔고 몇 편의 ""습격의 정석""이라는 참고서들을 묶어서 출판했다|돌아왔고 부유한 약혼자의 돈으로 살아가다 오래지 않아 결혼했다|돌아왔고 $그가 사는 도시의 시장이 되었다|돌아왔고 제국 궁정의 고문이 되었다|돌아왔고 세계에 대한 더 많은 지식들을 퍼트리기 위해 작은 박물관을 열었다|돌아왔고 잠깐동안은 유명해졌지만 이후 역사의 뒤안길로 사라지게 되었다]."
"evt-postNarrative-special-1","$name 은/는 승리와 함께 [제국의 수도로|제국의 심장부로|제국 중심지의 완만한 언덕으로|제국 중심지의 평화로운 계곡으로|제국 중심지의 웅장한 산 속으로|제국 중심지의 수목이 우거진 에메랄드빛 해안가로|$그가 집이라고 부르는 곳으로|$그를 사랑하는 사람들의 품으로|집으로|$그의 고향으로|$그의 가족에게] 돌아갔다. $그는 [변변찮은|큰 사건 없는|불충분한] 삶을 살았고, $그가 죽을 때까지 $그는 어떻게 $그가 유인원 황제의 선택을 받기 위한 마지막 도전에 실패했는지를 잊지 못했다."
"evt-postNarrative-special-2","$name 은/는 승리와 함께 [제국의 수도로|제국의 심장부로|제국 중심지의 완만한 언덕으로|제국 중심지의 평화로운 계곡으로|제국 중심지의 웅장한 산 속으로|제국 중심지의 수목이 우거진 에메랄드빛 해안가로|$그가 집이라고 부르는 곳으로|$그를 사랑하는 사람들의 품으로|집으로|$그의 고향으로|$그의 가족에게] 돌아갔다. $그는 오랫동안 살았다. 좋은 일도 있었고, 나쁜 일도 있었지만, $그의 별은 더 이상 $그가 영광스러운 도전이 기다리고 있는 세계로 닻을 올려 나아갔을 때만큼 빛나지 않았다. $그는 무한한 영광의 거의 직전까지만 도달했던 것이다. $그는 최후를 맞이할 때까지 $그의 마지막 목표 달성에 실패한 것을 잊지 못할 것이다."
"evt-postNarrative-special","$name 은/는 승리와 함께 [제국의 수도로|제국의 심장부로|제국 중심지의 완만한 언덕으로|제국 중심지의 평화로운 계곡으로|제국 중심지의 웅장한 산 속으로|제국 중심지의 수목이 우거진 에메랄드빛 해안가로|$그가 집이라고 부르는 곳으로|$그를 사랑하는 사람들의 품으로|집으로|$그의 고향으로|$그의 가족에게] 돌아갔다. [동상이 $그의 모습을 따서 만들어졌을 때, $그는|$그가 웅장한 동상에 $그의 모습을 새겨넣었을 때, $그는] 역사가 $그를 [가장 높은 지위에 올라선 자로|위대한 사람들 중 한 명으로|영웅 그 자체를 대변해주는 자로|진정한 영웅으로|절대적인 위치의 습격자로|차마 헤아릴 수 없을 정도의 존재로|제국이 배출한 가장 위대한 사람으로|한 세대에서 제국의 궁정을 대표하는 얼굴마담으로|가장 위대한 자로|존경받아 마땅한 사람으로|다른 유인원의 귀감이 될 만한 존재로] [기억하게 될|남아있게 할|여겨지게 만들] 사실을 알게 된 채로. 유인원 황제의 오른팔 그 자신으로서 [장수하는|영광스러운|성공한] 삶을 즐기게 되었다."
"attack-loki-name-1","안정화된 광선"
"attack-loki-name-2","방어 광선"
"attack-loki-name","교류식 전기 광선"
"np-malePraenomen","[아피우스|아울루스|카이소|데키무스|파우스투스|가이우스|그나이우스|헤리우스|호스투스|루키우스|마메르쿠스|마니우스|마르쿠스|메티우스|미나티우스|노누스|노비우스|누메리우스|올루스|오피테르|오비우스|파울루스|페스켄니우스|포스투무스|푸블리우스|퀸투스|살비우스|셉티무스|세르토르|세르비우스|섹스투스|스푸리우스|스타티우스|티베리우스|티투스|툴루스|비비우스|볼레수스|보피스쿠스]"
"np-femalePraenomen","[아피아|아울라|카이사|데키마|파우스타|가이아|그나이아|헤리아|호스티아|루키아|마메르카|마니아|마르키아|메티아|미노|노나|노비우아|누메리아|포스투마|푸블리아|퀸타|살비아|셉티마|세르토르|세르비아|섹스타|스푸리아|스타티아|티베리아|티티아|툴라|비비우스|볼루사|보피스카]"
"np-maleNomen","[아일리우스|아이밀리우스|알리디우스|알리우스|알리우스|암피우스|아니키우스|안나이우스|안니우스|안토니우스|아렐리우스|아리우스|아타니우스|아티올레누스|아우디우스|아우피디우스|아우렐리우스|아빌리우스|바불리우스|봄비우스|브라운두티우스|카이킬리우스|카일리우스|카이소니우스|칼푸르니우스|칼티우스|칼비우스|카스트리키우스|케르리니우스|킨키우스|키스피우스|클라우디우스|클로디우스|클루비우스|코케이우스|코티우스|코르넬리우스|코르니우스|코시니우스|코수티우스|크라시키우스|크레페레이우스|크리토니우스|데쿠미우스|디디우스|디오벨리우스|도미티우스|이그나티우스|에루키우스|파비우스|파브리키우스|펠소니우스|플라미니우스|플라비우스|풀비우스|푸리우스|게르일라누스|게르라이누스|게시우스|그라니우스|헤이우스|헬비우스|호라리우스|호르디오니우스|호스틸루스|룰리우스|라베리우스|라비에누스|라일리우스|라로니우스|리키니우스|리비우스|로이시우스|롤리우스|루케이우스|루크레티우스|룩시우스|마이키우스|마굴니우스|마밀리우스|마르키우스|마리우스|멤미우스|메스키니우스|메시우스|메비우스|민디우스|문디키우스|나이비우스|네리우스|님미우스|논니우스|노비우스|누미토리우스|눔미우스|누모니우스|오벨리우스|옥타비우스|오펠리우스|올리우스|오펠리우스|오피우스|오르비우스|오르켈리우스|오타킬리우스|파코니우스|팍투메이우스|페디아시우스|페디우스|페트로니우스|페티우스|피우스|플라이토리우스|플로티우스|폼페이우스|폼필리우스|폼포니우스|포필리우스|포필리우스|포르키우스|푸미디우스|퀸크티우스|라이키우스|라센니우스|루틸리우스|사비니우스|사미아리우스|사트리카니우스|사우페이우스|세이우스|셈프로니우스|셉티무스|세르폴레이우스|세르빌리우스|세스티우스|섹스틸리우스|스페디우스|스타이우스|스테니우스|스테르티니우스|스트라키우스|술피우스|술피키우스|타르퀴니우스|티티니우스|트레벨리우스|투키우스|툴리우스|투르필리우스|투스케니우스|투토리우스|울피우스|발레리우스|바리우스|베놀레이우스|베라티우스|베르리니우스|베리우스|베투리우스|베베이우스|비비우스|비키리우스|빕사니우스|비니키우스|비세이우스|비텔리우스|보레누스|움브리키우스|볼루시우스]"
"np-femaleNomen","[아일리아|아이밀리아|알리디아|알리아|알리아|암피아|아니키아|안나이아|안니아|안토니아|아렐리아|아리아|아타니아|아티올레나|아우디아|아우피디아|아우렐리아|아빌리아|바불리아|봄비아|브라운두티아|카이킬리아|카일리아|카이소니아|칼푸르니아|칼티아|칼비아|카스트리키아|케르리니아|킨키아|키스피아|클라우디아|클로디아|클루비아|코케이아|코티아|코르넬리아|코르니아|코시니아|코수티아|크라시키아|크레페레이아|크리토니아|데쿠미아|디디아|디오벨리아|도미티아|이그나티아|에루키아|파비아스|파브리키아|펠소니아|플라미니아|플라비아|풀비아|푸리아|게르일라나|게르라이아|게시아|그라니아|헤이아|헬비아|호라리아|호르디오니아|호스틸리아|룰리아|라베리아|라비에나|라일리아|라로니아|리키니아|리비아|로이시아|롤리아|루케이아|루크레티아|룩시아|마이키아|마굴니아|마밀리아|마르키아|마리아|멤미아|메스키니아|메시아|메비아|민디아|문디키아|나이비아|네리아|님미아|논니아|노비아|누미토리아|눔미아|누모니아|오벨리아|옥타비아|오펠리아|올리아|오펠리아|오피아|오르비아|오르케이아|오타킬리아|파코니아|팍투메이아|페디아시아|페디아|페트로니아|페티아|피아|플라이토리아|플로티아|폼페이아|폼필리아|폼포니아|포필리아|포필리아|포르키아|푸미디아|퀸크티아|라이키아|라센니아|루틸리아|사비니아|살비아|사미아리아|사트리카니아|사우페이아|세이아|셈프로니아|셉티미아|세르폴레이아|세르빌리아|세스티아|섹스틸리아|스페디아|스타이아|스테니아|스테르티니아|스트라키아|술피아|술피키아|타르퀴니아|티티니아|트레벨리아|투키아|툴리아|투르필리아|투스케니아|투토리아|울피아|발레리아|바리아|베놀레이아|베라티아|베르리니아|베리아|베투리아|베베이아|비비아|비키리아|빕사니아|비니키아|비세이아|비텔리아|보레나|움브리키아|볼루시아]"
"np-maleCognomen","[아비토|아드유토르|아이밀리아누스|아드벤투스|아그리파|알렉산데르|알로이시우스|알리피우스|아만두스|암브로시우스|암피온|안토니우스|아나톨리우스|안드로키우스|안겔루스|아퀼라|아르카디우스|아뤼나|아시나|아우구스투스|아우렐리아누스|아우렐리우스|아우스펙스|아비투스|발두이누스|바수스|벨레누스|벨리사리우스|벨라토르|벨루스|비불루스|브루투스|카일레스티누스|칸디두스|칼리굴라|카리누스|카루스|카스투스|켈레르|키케로|킨나|클레멘스|콤모두스|크라수스|크레스켄스|크리스푸스|다투스|단니쿠스|데켄티우스|데키우스|디오클레티아누스|도나투스|도미티아누스|드라코|드루수스|두루스|에메리투스|파우스투스|펠릭스|페스투스|피르무스|포르투나투스|프론토|푸스쿠스|글라우키아|그라쿠스|하드리아누스|호노라투스|호노리우스|라나우리우스|잉겐누스|로비타|룰리아누스|루스투스|레피두스|롱기누스|마그누스|마르켈리누스|마르켈리우스|마르키아누스|마르티알리스|막시무스|네르바|누메리아누스|옵타투스|프리무스|프리스쿠스|프로부스|프로쿨루스|풀로|퀸틸루스|로가티아누스|로가투스|루피누스|루푸스|사비누스|사투르니누스|스키피오|세쿤두스|세이아누스|세베루스|실바누스|술라|수페르부스|타키투스|테르티우스|트라야누스|우르바누스|발렌스|발렌티누스|발레리아누스|베레쿤두스|베루스|베스파시아누스|빅토르|빅토리아누스|비탈리스|제노|조시무스]"
"np-femaleCognomen","[아이밀리아나|아그리파|아그리피나|아드벤타|알렉산드라|알로이시아|알리피아|아만다|암브로시아|암피아|아나톨리아|안드로니카|안겔라|안토니나|아퀼라|아르카디아|아우구스타|아우렐리아나|아우렐리아|아비타|발두이나|바사|벨레나|벨리사리아|벨라|비불라|브루타|카일레스티아|칸디다|카리나|카라|카스타|콤모다|크라사|크리스파|단니카|다타|데켄티아|데키아|디오클레티아나|도미티아나|도나타|드루사|두라|에메리타|파우스타|페스타|피르마|포르투나타|푸스카|글라우키아|그라카|하드리아나|호노라타|호노리아|라나우리아|잉게누아|로비타|룰리아나|루스타|레피다|롱기나|마그나|마르켈리나|마르켈라|마르키아나|막시마|누메리아나|옵타타|퀸틸라|파울라|프리마|프리스카|프로바|프로쿨라|로가티아나|로가타|루피나|루파|사비나|사투르니나|세쿤다|세이아나|세베라|실바나|수페르바|타키타|테르티아|트라이아나|우르바나|발렌티나|발레리아나|베레쿤다|베라|베스파시아나|빅토리아|빅토리나|제나|조시마]"
"np-romanTitles","[법무관|집정관|총독|통치자|장군|전쟁군주|전쟁의 달인|독재자|태수|수상|대사제|대제사장]"
