"fxt-village-human-name","כפר של בני אדם"
"evt-postNarrative-extra","$He stayed in contact with most of the other survivors and corresponded monthly until $his death years later. They remained allies in the game of social advance."
"evt-postNarrative-extraCampaign","$name returned to [the Imperial Capital|the heart of the Empire|the rolling hills of the Imperial heartlands|the peaceful valleys of the Imperial heartlands|the breathtaking mountains of the Imperial heartlands|the lush emerald coast of the Imperial heartlands|the place $he called home|$his loved ones|home|$his hometown|$his family] in triumph. The statue really did $him justice, and yet $he did not come to rest. Vivid nightmares of a distant land plagued $him every night. $He did not know how, but it was as if fresh knowledge was gradually forming in $his consciousness. Somehow $he knew that $he would have to set sail once more, and it would be $his final voyage. This time $he would not be seeking fame, but something much grander..."
"evt-postNarrative-lateLife-alcoholicDeath","$He [died an early death after many years of heavy drinking|was killed in a drunken brawl|was murdered after a drunken rant against the Ape Emperor|was killed by a friend after a drunken argument|died of some unknown Bananaschnapps-related ailment after spending the whole day drinking|drowned at sea in the dawning light of a cold autumn day|lived to a ripened old age despite $his substantial drinking]."
"evt-postNarrative-lateLife-familyDeath","$He [died in the arms of $his loyal retainers|took $his last breath surrounded by $his large family and allies]."
"evt-postNarrative-lateLife-genericDeath","$He lived a long [happy|humble|quiet] life and died in the presence [of $his family|of $his scheming spouse|of $his ungrateful grandchildren|of a court shaman|of $his faithful pet]."
"evt-postNarrative-lateLife-lepidopterophobiaDeath","Even through all the adventures $he never succumbed to $his fear of [butterflies|large moths], [$his life had since been cut short by|$he died in] a tragic accident while [hunting|hiking|raiding]. $he was so inhibited by the phobia, that $he [became confused|lost control] and plunged off a cliff."
"evt-postNarrative-lateLife-missionaryDeath","$He lived a [humble|quiet|modest|simple] life and died [having served the Ape Emperor|in worship of the Ape Emperor|in the presence of $his allies]."
"evt-postNarrative-lateLife-nativeDeath","$He [died of Malaria|died of an unfortunate Elephant attack|during a cattle stampede|was unluckily gored by a wild pig|died being mauled by a tiger while getting water from the pond|died peacefully surrounded by $his allies]."
"evt-postNarrative-lateLife-paranoidDeath","[$He spent the last years of $his life in prison after murdering a tax collector for supposed extortion|$His whereabouts over the last few years have been unknown, having disappeared one evening|The last person that saw $him described $him as running nude down a street barking like a Human|$name spent the last years of $his life in a sanatorium, due to assaulting $his local lord under accusations of tentacle cult worship|Rumour spread of $his descent into madness|Rumour suggested $he became a reclusive scrivener obsessed with certain immemorial Deities]."
"evt-postNarrative-lateLife-seventhWorldDeath","During $his late life, $he became obsessed with [recurring|haunting] [dreams|thoughts|notions|visions|nightmares] about a [forgotten|remaining|hidden] [Golden City of anicient origin|seventh expedition]. [$He disappeared without any trace|$He was not seen or heard from again]."
"evt-postNarrative-lateLife-soldierDeath","$He died in a war where [his squad was decimated for disobedience|$he was party to numerous victories before being captured and executed by a rival warlord|$he sacrificed $his own life for the good of the Empire|$he had defied $his orders, and was subsequently stabbed to death by his entire squad|$he had advanced recklessly, almost inclined to suicide]."
"evt-postNarrative-middleLife-1","After returning, $name [travelled throughout the Imperial provinces and client kingdoms|visited many of the Empire's holdings] [talking|publicly speaking|giving lectures] about those famous raids."
"evt-postNarrative-middleLife-2","$name returned to $his home and lived a secluded life. After some years $he released $his memoirs, which [did not achieve much public attention though|failed to capture public imagination|became a big success and allowed $him to live a financially comfortable life|became an overnight success and made $him the talk of the court]."
"evt-postNarrative-middleLife-3","$name remained in the Imperial heartlands and never again returned to $his old home."
"evt-postNarrative-middleLife-4","$name [returned to $his homeland and did not set foot into the Imperial heartlands again|had developed a passion for both cultures and travelled multiple times in $his life between the glorious Imperial Capital and $his humble homeland]."
"evt-postNarrative-middleLife-5","$name forged [a role|a career] in the military ranks."
"evt-postNarrative-middleLife-6","$name returned to the Imperial Capital and opened up [a small|a petite|a humble|an exclusive] [restaurant|soup kitchen|eating establishment], which $he ran for many years."
"evt-postNarrative-middleLife-7",""
"evt-postNarrative-middleLife","$name returned home [and started working in $his old profession again|but the physical strain prohibited $him from ever picking up a regular profession again|and wound up authoring a series of instructional texts about the ""Art of Raiding""|and lived off the money of a rich spouse $he married shortly after|and became the mayor of $his town|and became an advisor at the Imperial Court|and opened up a small library trying to spread more knowledge about the world|and after some initial fame vanished in the shadows of history]."
"evt-postNarrative-special-1","$name returned to [the Imperial Capital|the heart of the Empire|the rolling hills of the Imperial heartlands|the peaceful valleys of the Imperial heartlands|the breathtaking mountains of the Imperial heartlands|the lush emerald coast of the Imperial heartlands|the place $he called home|$his loved ones|home|$his hometown|$his family] in triumph. $He experienced a [mediocre|uneventful|unfulfilled] life, and until $his dying day $he would not forget how $he had failed the ultimate quest to become the Ape Emperor's Chosen."
"evt-postNarrative-special-2","$name returned to [the Imperial Capital|the heart of the Empire|the rolling hills of the Imperial heartlands|the peaceful valleys of the Imperial heartlands|the breathtaking mountains of the Imperial heartlands|the lush emerald coast of the Imperial heartlands|the place $he called home|$his loved ones|home|$his hometown|$his family] in triumph. $He lived for many years. Some were good, some were bad, but never shined $his star as bright as when $he sallied forth around the world in quest for glory. $He was so close to achieving eternal fame. Until the very end $he would be reminded of failing $his ultimate goal."
"evt-postNarrative-special","$name returned to [the Imperial Capital|the heart of the Empire|the rolling hills of the Imperial heartlands|the peaceful valleys of the Imperial heartlands|the breathtaking mountains of the Imperial heartlands|the lush emerald coast of the Imperial heartlands|the place $he called home|$his loved ones|home|$his hometown|$his family] in triumph. [After|Once] [a statue was modelled on $his likeness, $he|$he had secured $his legacy with a splendid statue, $he] enjoyed a [long|glorious|successful] life in court as the right hand of the Ape Emperor himself, in the knowledge that history would [remember|hold|regard] $him [in the highest order|as one of the greats|as a prime example of a hero|as a true hero|as the ultimate raider|without measure|as the best the Empire had to offer|as the face of the Imperial Court for generations|as the greatest|as someone to admire|as an inspiration to all other Apes]."
"attack-loki-name-1","Stable Beam"
"attack-loki-name-2","Defensive Beam"
"attack-loki-name","Alternating Beam"
"np-malePraenomen","[Appius|Aulus|Caeso|Decimus|Faustus|Gaius|Gnaeus|Herius|Hostus|Lucius|Mamercus|Manius|Marcus|Mettius|Minatius|Nonus|Novius|Numerius|Olus|Opiter|Ovius|Paullus|Pescennius|Postumus|Publius|Quintus|Salvius|Septimus|Sertor|Servius|Sextus|Spurius|Statius|Tiberius|Titus|Tullus|Vibius|Volesus|Vopiscus]"
"np-femalePraenomen","[Appia|Aula|Caesa|Decima|Fausta|Gaia|Gnaea|Heria|Hosta|Lucia|Mamerca|Mania|Marcia|Mettia|Mino|Nona|Noviua|Numeria|Postuma|Publia|Quinta|Salvia|Septima|Sertor|Servia|Sexta|Spuria|Statia|Tiberia|Titia|Tulla|Vibius|Volusa|Vopisca]"
"np-maleNomen","[Aelius|Aemilius|Allidius|Alius|Allius|Ampius|Anicius|Annaeus|Annius|Antonius|Arellius|Arius|Atanius|Attiolenus|Audius|Aufidius|Aurelius|Avilius|Babullius|Bombius|Braundutius|Caecilius|Caelius|Caesonius|Calpurnius|Caltius|Calvius|Castricius|Cerrinius|Cincius|Cispius|Claudius|Clodius|Cluvius|Cocceius|Cottius|Cornelius|Cornius|Cossinius|Cossutius|Crassicius|Crepereius|Critonius|Decumius|Didius|Diobellius|Domitius|Egnatius|Erucius|Fabius|Fabricius|Felsonius|Flaminius|Flavius|Fulvius|Furius|Gerillanus|Gerraeus|Gessius|Granius|Heius|Helvius|Horarius|Hordionius|Hostilius|Iulius|Laberius|Labienus|Laelius|Laronius|Licinius|Livius|Loisius|Lollius|Lucceius|Lucretius|Luxius|Maecius|Magulnius|Mamilius|Marcius|Marius|Memmius|Mescinius|Messius|Mevius|Mindius|Mundicius|Naevius|Nerius|Nimmius|Nonnius|Novius|Numitorius|Nummius|Numonius|Obellius|Octavius|Ofellius|Olius|Opellius|Oppius|Orbius|Orceius|Otacilius|Paconius|Pactumeius|Pediasius|Pedius|Petronius|Pettius|Pius|Plaitorius|Plotius|Pompeius|Pompilius|Pomponius|Popilius|Popillius|Porcius|Pumidius|Quinctius|Raecius|Rasennius|Rutilius|Sabinius|Samiarius|Satricanius|Saufeius|Seius|Sempronius|Septimius|Serpoleius|Servilius|Sestius|Sextilius|Spedius|Staius|Stenius|Stertinius|Stlaccius|Sulfius|Sulpicius|Tarquinius|Titinius|Trebellius|Tuccius|Tullius|Turpillius|Tuscenius|Tutorius|Ulpius|Valerius|Varius|Venoleius|Veratius|Verrinius|Verius|Veturius|Veveius|Vibius|Vicirius|Vipsanius|Vinicius|Viseius|Vitellius|Vorenus|Umbricius|Volusius]"
"np-femaleNomen","[Aelia|Aemilia|Allidia|Alia|Allia|Ampia|Anicia|Annaea|Annia|Antonia|Arellia|Aria|Atania|Attiolena|Audia|Aufidia|Aurelia|Avilia|Babullia|Bombia|Braundutia|Caecilia|Caelia|Caesonia|Calpurnia|Caltia|Calvia|Castricia|Cerrinia|Cincia|Cispia|Claudia|Clodia|Cluvia|Cocceia|Cottia|Cornelia|Cornia|Cossinia|Cossutia|Crassicia|Crepereia|Critonia|Decumia|Didia|Diobellia|Domitia|Egnatia|Erucia|Fabia|Fabricia|Felsonia|Flaminia|Flavia|Fulvia|Furia|Gerillana|Gerraea|Gessia|Grania|Heia|Helvia|Horaria|Hordionia|Hostilia|Iulia|Laberia|Labiena|Laelia|Laronia|Licinia|Livia|Loisia|Lollia|Lucceia|Lucretia|Luxia|Maecia|Magulnia|Mamilia|Marcia|Maria|Memmia|Mescinia|Messia|Mevia|Mindia|Mundicia|Naevia|Neria|Nimmia|Nonnia|Novia|Numitoria|Nummia|Numonia|Obellia|Octavia|Ofellia|Olia|Opellia|Oppia|Orbia|Orceia|Otacilia|Paconia|Pactumeia|Pediasia|Pedia|Petronia|Pettia|Pia|Plaitoria|Plotia|Pompeia|Pompilia|Pomponia|Popilia|Popillia|Porcia|Pumidia|Quinctia|Raecia|Rasennia|Rutilia|Sabinia|Salvia|Samiaria|Satricania|Saufeia|Seia|Sempronia|Septimia|Serpoleia|Servilia|Sestia|Sextilia|Spedia|Staia|Stenia|Stertinia|Stlaccia|Sulfia|Sulpicia|Tarquinia|Titinia|Trebellia|Tuccia|Tullia|Turpillia|Tuscenia|Tutoria|Ulpia|Valeria|Varia|Venoleia|Veratia|Verrinia|Veria|Veturia|Veveia|Vibia|Viciria|Vinicia|Vipsania|Viseia|Vitellia|Vorena|Volusia|Umbricia]"
"np-maleCognomen","[Abito|Adjutor|Aemilianus|Adventus|Agrippa|Alexander|Aloysius|Alypius|Amandus|Ambrosius|Amphion|Antonius|Anatolius|Andronicus|Angelus|Aquila|Arcadius|Arvina|Asina|Augustus|Aurelianus|Aurelius|Auspex|Avitus|Balduinus|Bassus|Belenus|Belisarius|Bellator|Bellus|Bibulus|Brutus|Caelestius|Candidus|Caligula|Carinus|Carus|Castus|Celer|Cicero|Cinna|Clemens|Commodus|Crassus|Crescens|Crispus|Datus|Dannicus|Decentius|Decius|Diocletianus|Donatus|Domitianus|Draco|Drusus|Durus|Emeritus|Faustus|Felix|Festus|Firmus|Fortunatus|Fronto|Fuscus|Glaucia|Gracchus|Hadrianus|Honoratus|Honorius|Ianaurius|Ingenuus|Iovita|Iulianus|Iustus|Lepidus|Longinus|Magnus|Marcellinus|Marcellus|Marcianus|Martialis|Maximus|Nerva|Numerianus|Optatus|Primus|Priscus|Probus|Proculus|Pullo|Quintillus|Rogatianus|Rogatus|Rufinus|Rufus|Sabinus|Saturninus|Scipio|Secundus|Seianus|Severus|Silvanus|Sulla|Superbus|Tacitus|Tertius|Traianus|Urbanus|Valens|Valentinus|Valerianus|Verecundus|Verus|Vespasianus|Victor|Victorinus|Vitalis|Zeno|Zosimus]"
"np-femaleCognomen","[Aemiliana|Agrippa|Agrippina|Adventa|Alexandra|Aloysia|Alypia|Amanda|Ambrosia|Amphia|Anatolia|Andronica|Angela|Antonina|Aquila|Arcadia|Augusta|Aureliana|Aurelia|Avita|Balduina|Bassa|Belena|Belisaria|Bella|Bibula|Bruta|Caelestia|Candida|Carina|Cara|Casta|Commoda|Crassa|Crispa|Dannica|Data|Decentia|Decia|Diocletiana|Domitiana|Donata|Drusa|Dura|Emerita|Fausta|Festa|Firma|Fortunata|Fusca|Glaucia|Graccha|Hadriana|Honorata|Honoria|Ianauria|Ingenua|Iovita|Iuliana|Iusta|Lepida|Longina|Magna|Marcellina|Marcella|Marciana|Maxima|Numeriana|Optata|Quintilla|Paulla|Prima|Prisca|Proba|Procula|Rogatiana|Rogata|Rufina|Rufa|Sabina|Saturnina|Secunda|Seiana|Severa|Silvana|Superba|Tacita|Tertia|Traiana|Urbana|Valentina|Valeriana|Verecunda|Vera|Vespasiana|Victoria|Victorina|Zena|Zosima]"
"np-romanTitles","[Praetor|Consul|Proconsul|Governor|General|Warlord|Warmaster|Autarch|Exarch|Grand Vizier|Grand Hierophant|Grand Shaman]"
