"fxt-village-human-name","Людське село"
"evt-postNarrative-lateLife-alcoholicDeath","$He [помер у ранньому віці після багатьох років важкого пияцтва|був вбитий у п'яній бійці|був вбитий після своїх п'яних тирад проти Імператора мавп|був вбитий другом після п'яної суперечки|помер від якоїсь невідомої хвороби, спричиненої банановим шнапсом, після того, як цілий день пиячив|потонув у морі під променями західного сонця холодного осіннього дня|дожив до глибокої старості, незважаючи на $his постійне пияцтво]."
"evt-postNarrative-lateLife-familyDeath","$He [помер на руках $his вірної дружини|до $his останнього подиху був в оточенні $his великої сім'ї і союзників]."
"evt-postNarrative-lateLife-genericDeath","$He прожив довге [щасливе|скромне|спокійне] життя і помер в присутності [$his сім'ї|$his підступної дружини|$his невдячних онуків|придворного шамана|$his вірного улюбленця]."
"evt-postNarrative-lateLife-lepidopterophobiaDeath","Навіть під час усіх своїх пригод $he ніколи не піддавався $his страху [метеликів|величезних нічних метеликів], [$his життя обірвалось у|$he помер у] трагічному нещасному випадку під час [полювання|походу|рейду]. $he був настільки збентежений через свою фобію, що $he [заплутався|втратив контроль] і зірвався зі скелі."
"evt-postNarrative-lateLife-missionaryDeath","$He прожив [смиренне|тихе|скромне|просте] життя і помер [у служінні імператору|шануючи імператора|у присутності $his союзників]."
"evt-postNarrative-lateLife-nativeDeath","$He [помер від малярії|помер від атаки слона|під час панічної атаки у стаді|був заколотий диким кабаном|помер, пошматований тигром, коли набирав воду у ставку|помер у спокої, оточений $his союзниками]."
"evt-postNarrative-lateLife-paranoidDeath","[$He провів останні роки $his життя у в'язниці після того, як вбив збирача податків, бо думав, що той вимагатиме гроші|$His місцезнаходження протягом останніх кількох років залишалось невідомим, після того, як він зник одного вечора|Останній, хто $him бачив, описував як $him голий біг вулицею, кричачи, як людина|$name провів останні роки $his життя у санаторії, після того, як образив $his місцевого пана обвинуваченнями у поклонінні культу щупалець|Ходили плітки про $his божевілля|Згідно з чутками, $he став відлюдним писакою, одержимим якимись древніми божествами]."
"evt-postNarrative-lateLife-seventhWorldDeath","Протягом останніх років $his життя $he був одержимий [постійними|нав'язливими] [сновидіннями|думками|фантазіями|видіннями|кошмарами] про [забуту|існуючу|приховану] [Золоте Місто стародавнього походження|сьому експедицію]. [$He безслідно зник|$He ніколи більше не з'являвся]."
"evt-postNarrative-lateLife-soldierDeath","$He помер на війні, де [його загін було страчено за непокору|$he здобув багато перемог перед тим, як його схопив та стратив воєначальник супротивника|$he пожертвував $his власним життям заради імперії|$he відмовився виконувати $his накази, через що він був вбитий його ж загоном|$he безрозсудно наступав, що майже скидалось на самогубство]."
"evt-postNarrative-middleLife-1","Після повернення $name [подорожував по імперських провінціях і підлеглих королівствх|відвідав багато земель імперії], [розповідаючи|виступаючи на публіці|читаючи лекції] про ті славетні рейди."
"evt-postNarrative-middleLife-2","$name повернувся до $his дому і жив усамітненим життям. Через кілька років $he видав $his мемуари, які [проте, не здобули великого визнання|не зацікавили публіку|були досить успішними і дозволили $him фінансово забезпечувати комфортне життя|відразу ж здобули успіх і зробили $him відомим при дворі]."
"evt-postNarrative-middleLife-3","$name залишився у серці імперії і ніколи більше не повертався до $his старого дому."
"evt-postNarrative-middleLife-4","$name [повернувся до $his батьківщини і ніколи більше не навідувався до серця імперії|захоплювався обома культурами і частенько протягом $his життя подорожував між величною столицею імперії і $his батьківщиною]."
"evt-postNarrative-middleLife-5","$name здобув [посаду|кар'єру] у війську."
"evt-postNarrative-middleLife-6","$name повернувся до столиці імперії і відкрив [маленький|крихітний|скромний|ексклюзивний] [ресторан|їдальню|харчовий заклад], яким $he керував багато років."
"evt-postNarrative-middleLife-7",""
"evt-postNarrative-middleLife","$name повернувся додому [і продовжив працювати за $his старою професією|але фізичні навантаження де дозволяли $him знову займатись звичною професією|став автором серії навчальних посібників про мистецтво рейдерства""|жив на гроші багатої дружини, з якою $he незабаром одружився|і став мером $his міста|і став радником при імперському дворі|і відкрив маленьку бібліотеку, намагаючись поширювати світом знання|і, після короткого моменту слави, загубився у тінях історії]."""
"evt-postNarrative-special-1","$name повернувся до [ столиці імперії |серця Імперії|пологих пагорбів серця імперії|спокійних долин серця імперії|вражаючих гір серця імперії|смарагдових берегів серця імперії|місця, яке $he називав домом|$his близьких|дому|$his рідного міста|$his сім'ї] з тріумфом. $He прожив [убоге|позбавлене подій|незадоволене] життя, і до $his останнього дня $he не забув про те, як $he провалив основне завдання - стати обранцем імператора мавп."
"evt-postNarrative-special-2","$name повернувся до [ столиці імперії |серця Імперії|пологих пагорбів серця імперії|спокійних долин серця імперії|вражаючих гір серця імперії|смарагдових берегів серця імперії|місця, яке $he називав домом|$his близьких|дому|$his рідного міста|$his сім'ї] з тріумфом.$He прожив багато років. Деякі були хорошими, інші - поганими, але ніколи більше $his зоря не сяяла так яскраво, як тоді, коли $he відправився у навколосвітнє плавання у пошуках слави.$He був за крок до вічної слави. До самого кінця $he не забуде про те, як зазнав невдачі у $his головній меті."
"evt-postNarrative-special","$name повернувся до [ столиці імперії |серця Імперії|пологих пагорбів серця імперії|спокійних долин серця імперії|вражаючих гір серця імперії|смарагдових берегів серця імперії|місця, яке $he називав домом|$his близьких|дому|$his рідного міста|$his сім'ї] з тріумфом.[Після того, як|Щойно] [було встановлено статую за $his подобою,$he|$he увіковічнив $his спадщину у бездоганній статуї, $he] прожив [довге|прекрасне|успішне] життя при дворі як права рука самого імператора мавп, знаючи, що історія [пам'ятатиме|збереже|змальовуватиме] $him [якнайкраще|як одного із найвеличніших|як яскравий приклад героя|як справжнього героя|як великого рейдера|без міри|як кращого в усій імперії|як обличчя імперського двору на довгі роки|як найвеличнішого|як того, ким варто захоплюватись|як джерело натхнення для інших]."
"attack-loki-name-1","Стійкий промінь"
"attack-loki-name-2","Захисний промінь"
"attack-loki-name","Змінний промінь"
"np-malePraenomen","[Аппіус|Аулус|Каесо|Децімус|Фаустус|Гаіус|Гнаеус|Геріус|
Гостус|Луціус|Мамеркус|Маніус|Маркус|Меттіус|Мінатіус|Нонус|Новіус|Нумеріус|Олус|Опітер|Овіус|Пауллус|Песценніус|Постумус|Публіус|Квінтус|Сальвіус|Септімус|Сертор|Сервіус|Секстус|Спуріус|Статіус|Тіберіус|Тітус|Туллус|Вібіус|Волесус|Вопіскус]"
"np-femalePraenomen","[Аппія|Аула|Каеса|Деціма|Фауста|Гая|Гнаея|Герія|Госта|Луція|Мамерка|Манія|Марсія|Меттія|Міно|Нона|Новіва|Нумерія|Постума|Публія|Квінта|Сальвія|Септіма|Сертор|Сервія|Секста|Спурія|Статія|Тіберія|Тіта|Тулла|Вібіус|Волуса|Вопіска]"
"np-maleNomen","[Аелій|Аемілій|Аллідій|Алій|Ампій|Аніцій|Аннаей|Анній|Антоній| Ареллій|Арій|Атаній|Аттіоленус|Аудій|Ауфідій|Аврелій|Авілій|Бабулій|Бомбій|Браундутій|Каецілій|Каелій|Каезоній|Кальпурній|Кальтій|Кальвій|Кастріцій|Серріній|Сінсій|Сіпій|Клавдій|Клодій|Клувій|Коццеюс|Коттій|Корнелій|Корній|Коссійній|Коссутій|Крассіцій|Креперій|Крітоній|Декумій|Дідій|Діобеллій|Домітій|Іґнатій|Еруцій|Фабій|Фелсоній|Фламіній|Флавій|фульвій|Фурій|Джеріланус|Джереус|Джессій|Ґраній|Еюс|Гелвій|Горарій|Гордіоній|Гостілій|Юлій|Лаберій|Лабеній|Лаелій|Лароній|Ліціній|Лівій|Лоізій| Луцей| Лукретій|Люксій| Маецій|Маґульній|Мамілій|Марцій|Марій|Меммій|Месціній|Мессій|Мевій|Міндій|Мундіцій|Наевій|Нерій|Німмій|Нонній|Новій|Нуміторій|Нуммій|Обеллій|Октавій| Офелій|Олій|Опеллій|Оппій|Орбій|Орсей|Отацілій|Паконій|Пактеміій|Педіазій|Педій|Петроній|Петтій|Пій|Платорій|Плотій|Помпей|Помпілій|Помпоній|Попілій|Попіллій|Порцій|Пумідій|Квінтій|Раецій|Расенній|Рутілій|Сабіній|Саміарій|Сатріканій|Сауфей|Сеій|Семпроній|Септімій|Серполей|Сервілій|Сестій|Секстілій|Спедій|Статій|Стеній|Стертіній|Стлаццій|Сульфій|Сульпіцій|Тарквіній|Тітіній|Требеллій|Туццій|Туллій|Турпіллій|Тусеній|Туторій|Улпій|Валерій|Венолеюс|Вератій|Верріній|Верій|Ветурій|Вевеюс|Вітеллій|Воренус|Умбріційф|Волусій]"
"np-femaleNomen","[Aelia|Aemilia|Allidia|Alia|Allia|Ampia|Anicia|Annaea|Annia|Antonia|Arellia|Aria|Atania|Attiolena|Audia|Aufidia|Aurelia|Avilia|Babullia|Bombia|Braundutia|Caecilia|Caelia|Caesonia|Calpurnia|Caltia|Calvia|Castricia|Cerrinia|Cincia|Cispia|Claudia|Clodia|Cluvia|Cocceia|Cottia|Cornelia|Cornia|Cossinia|Cossutia|Crassicia|Crepereia|Critonia|Decumia|Didia|Diobellia|Domitia|Egnatia|Erucia|Fabia|Fabricia|Felsonia|Flaminia|Flavia|Fulvia|Furia|Gerillana|Gerraea|Gessia|Grania|Heia|Helvia|Horaria|Hordionia|Hostilia|Iulia|Laberia|Labiena|Laelia|Laronia|Licinia|Livia|Loisia|Lollia|Lucceia|Lucretia|Luxia|Maecia|Magulnia|Mamilia|Marcia|Maria|Memmia|Mescinia|Messia|Mevia|Mindia|Mundicia|Naevia|Neria|Nimmia|Nonnia|Novia|Numitoria|Nummia|Numonia|Obellia|Octavia|Ofellia|Olia|Opellia|Oppia|Orbia|Orceia|Otacilia|Paconia|Pactumeia|Pediasia|Pedia|Petronia|Pettia|Pia|Plaitoria|Plotia|Pompeia|Pompilia|Pomponia|Popilia|Popillia|Porcia|Pumidia|Quinctia|Raecia|Rasennia|Rutilia|Sabinia|Salvia|Samiaria|Satricania|Saufeia|Seia|Sempronia|Septimia|Serpoleia|Servilia|Sestia|Sextilia|Spedia|Staia|Stenia|Stertinia|Stlaccia|Sulfia|Sulpicia|Tarquinia|Titinia|Trebellia|Tuccia|Tullia|Turpillia|Tuscenia|Tutoria|Ulpia|Valeria|Varia|Venoleia|Veratia|Verrinia|Veria|Veturia|Veveia|Vibia|Viciria|Vinicia|Vipsania|Viseia|Vitellia|Vorena|Volusia|Umbricia]"
"np-maleCognomen","[Abito|Adjutor|Aemilianus|Adventus|Agrippa|Alexander|Aloysius|Alypius|Amandus|Ambrosius|Amphion|Antonius|Anatolius|Andronicus|Angelus|Aquila|Arcadius|Arvina|Asina|Augustus|Aurelianus|Aurelius|Auspex|Avitus|Balduinus|Bassus|Belenus|Belisarius|Bellator|Bellus|Bibulus|Brutus|Caelestius|Candidus|Caligula|Carinus|Carus|Castus|Celer|Cicero|Cinna|Clemens|Commodus|Crassus|Crescens|Crispus|Datus|Dannicus|Decentius|Decius|Diocletianus|Donatus|Domitianus|Draco|Drusus|Durus|Emeritus|Faustus|Felix|Festus|Firmus|Fortunatus|Fronto|Fuscus|Glaucia|Gracchus|Hadrianus|Honoratus|Honorius|Ianaurius|Ingenuus|Iovita|Iulianus|Iustus|Lepidus|Longinus|Magnus|Marcellinus|Marcellus|Marcianus|Martialis|Maximus|Nerva|Numerianus|Optatus|Primus|Priscus|Probus|Proculus|Pullo|Quintillus|Rogatianus|Rogatus|Rufinus|Rufus|Sabinus|Saturninus|Scipio|Secundus|Seianus|Severus|Silvanus|Sulla|Superbus|Tacitus|Tertius|Traianus|Urbanus|Valens|Valentinus|Valerianus|Verecundus|Verus|Vespasianus|Victor|Victorinus|Vitalis|Zeno|Zosimus]"
"np-femaleCognomen","[Aemiliana|Agrippa|Agrippina|Adventa|Alexandra|Aloysia|Alypia|Amanda|Ambrosia|Amphia|Anatolia|Andronica|Angela|Antonina|Aquila|Arcadia|Augusta|Aureliana|Aurelia|Avita|Balduina|Bassa|Belena|Belisaria|Bella|Bibula|Bruta|Caelestia|Candida|Carina|Cara|Casta|Commoda|Crassa|Crispa|Dannica|Data|Decentia|Decia|Diocletiana|Domitiana|Donata|Drusa|Dura|Emerita|Fausta|Festa|Firma|Fortunata|Fusca|Glaucia|Graccha|Hadriana|Honorata|Honoria|Ianauria|Ingenua|Iovita|Iuliana|Iusta|Lepida|Longina|Magna|Marcellina|Marcella|Marciana|Maxima|Numeriana|Optata|Quintilla|Paulla|Prima|Prisca|Proba|Procula|Rogatiana|Rogata|Rufina|Rufa|Sabina|Saturnina|Secunda|Seiana|Severa|Silvana|Superba|Tacita|Tertia|Traiana|Urbana|Valentina|Valeriana|Verecunda|Vera|Vespasiana|Victoria|Victorina|Zena|Zosima]"
"np-romanTitles","[Претор|Консул|Проконсул|Губернатор|Генерал|Полководець|Воєначальник|Диктатор|Екзарх|Великий візир|Верховний жрець|Великий шаман]"
