"fxt-village-human-name","Ανθρώπινο χωριό"
"world-adjective","[Client State|Imperial Province|City State|Imperial Enclave|Client Kingdom|Tributary Kingdom|Vassal State|Vassal Kingdom|Magnificent City|Grand City|Grand Colony|Rich Colony|Grand Province|Rich Province|Military Enclave|Merchant Enclave|Science Enclave|Shaman Cabal|Hunting Grounds] of [Praetor|Consul|Proconsul|Governor|General|Warlord|Warmaster|Autarch|Exarch|Master|Hierophant|Sage|Minister|Legate|Overlord|Overseer|Regent|Tetrarch|Triarch|Pentarch] [Appius|Aulus|Caeso|Caligula|Caracalla|Commodus|Decimus|Domitianus|Elagabalus|Faustus|Gaius|Gnaeus|Herius|Hostus|Lucius|Macharius|Mamercus|Manius|Marcus|Marius|Mettius|Minatius|Nero|Nerva|Nonus|Novius|Numerius|Olus|Opiter|Ovius|Paullus|Pescennius|Pompeius|Postumus|Publius|Pullo|Quintus|Salvius|Septimus|Sertor|Servius|Sextus|Spurius|Statius|Sulla|Tiberius|Titus|Tullius|Tullus|Vibius|Volesus|Vopiscus|Vorenus]"
"gol-goldenTemple-arctic","Μία Χρυσή Πόλη μπορεί να βρεθεί σε αυτήν την περιοχή."
"gol-goldenTemple-buried","Contains a Golden City disguised by a shamanistic illusion."
"gol-goldenTemple-moonStone","Μία Χρυσή Πόλη μπορεί να βρεθεί σε αυτήν την περιοχή."
"empty-name",""
"evt-village-enter-neutral","[Οι χωρικοί μας παρατηρούσαν με επιφυλακτικότητα.|Την ώρα που φτάναμε, το χωριό έσφυζε από ζωή, όμως οι Άνθρωποι κρύφτηκαν μόλις πήραν χαμπάρι ότι πλησιάζαμε.] [Πήγαμε πιο κοντά και σταθήκαμε στην είσοδο του χωριού|Σταθήκαμε στην είσοδο του χωριού και αναρωτηθήκαμε τις επιλογές μας με αυτούς τους ανθρώπους]."
"evt-ship-arrival","[Ολοκλήρωνα τις πρωινές μου προετοιμασίες όταν|Ήμουν βαθιά απορροφημένος στην μελέτη μου για τον προορισμό μας όταν|Νωρίς το πρωί|Αφού συναντήσαμε πολλά θαυμαστά περίεργα είδη θαλάσσιας ζωής |Η σκέψη μου ήταν συγκεντρωμένη στην επόμενη έφοδο όταν|Μετά από ένα απρόσμενα ήρεμο ταξίδι|Μετά από αμέτρητα βάσανα, κακουχίες και δυσκολίες|Μετά από πολλές εβδομάδες ταξιδιού|Μετά από πολλές μέρες στην θάλασσα|Μέτα από μία από τις πιο τρομακτικές καταιγίδες που έχω ζήσει μέσα σε καράβι|Μου άρεσαν αρκετά οι μέρες στην θάλασσα, και για να πω την αλήθεια στεναχωρήθηκα λίγο όταν|Μέτα από πολλές βδομάδες κακού φαγητού χωρίς δείγμα μπανάνας|Πάνω που νόμιζα ότι είχαμε χαθεί και δεν θα φτάναμε ποτέ|Ένα πρωινό με πολλή ομίχλη] [φτάσαμε στα εδάφη του ντόπιου ηγέτη|φτάσαμε τελικά στην ακτή που είχαμε σκοπό να κάνουμε επιδρομή|φτάσαμε στην περιοχή που θέλαμε να κάνουμε έφοδο|μία ακτή άρχισε να αχνοφαίνεται στον ορίζοντα]. [Τα εδάφη μπροστά μας, αχανή, άγρια και αδάμαστα|Το ξένο τοπίο μπροστά μας, μας παρακαλούσε να το εξερευνήσουμε|Ήμουν περίεργος να μάθω τι είδους κίνδυνοι μας περίμεναν εδώ|Είχαμε φτάσει και η ώρα είχε έρθει για να ορμήσουμε μπροστά|Ήξερα πως το μέρος αυτό ήταν το κλειδί για την κοινωνική μου ανέλιξη|Ήξερα πως έπρεπε να βρω και να εντυπωσιάσω τον ντόπιο ηγέτη|Ήξερα πως έπρεπε να βρω την Χρυσή Πόλη]."
"evt-village-enter-forsaken","[Το χωριό ήταν άδειο.|Ένα ανατριχιαστικό θέαμα: Ήταν λες και οι κάτοικοι του χωριού δεν είχαν υπάρξει ποτέ. Δεν υπήρχε ψυχή, ούτε άντρες, ούτε γυναίκες, ούτε παιδιά.|Το χωριό ήταν τελείως παρατημένο.] [Ήταν ξεκάθαρο ότι ο κόσμος είχε φύγει βιαστικά.|Το μέρος φαινόταν να είναι παρατημένο εδώ και πάρα πολλά χρόνια και δεν ήθελε πολύ καιρό μέχρι η Μητέρα φύση να ξαναπάρει αυτό που κάποτε της ανήκε.] Έψαξα αλλά δεν μπόρεσα να βρω κάτι χρήσιμο."
"evt-postNarrative-extra-1","H ψυχοσωματική καταπόνηση των περιπετειών $his είχαν αφήσει μόνιμα σημάδια [στο σώμα|στο πνεύμα|στην ψυχή] $his και η οικογένεια $his επιβεβαίωσε πως $he πλέον δεν ήταν παρά μια σκιά του ατόμου που ήξεραν."
"evt-postNarrative-extra-2","$He used $his accumulated wealth to impress the nobility and common Apes alike by organising one of the biggest festivals with feasts and games that the Empire has ever seen."
"evt-postNarrative-extra-3","Although functioning in society in a rudimentary fashion, $he found it impossible to develop new friendships, let alone secure social and political allies."
"evt-postNarrative-extra-4","Οι επιδρομές $his είχαν δώσει σε $him ένα πολύτιμο μάθημα για το πόσο εύθραυστη είναι η ζωή, και έτσι $he προσπαθούσε κάθε μέρα [να βελτιώσει το κοινωνικό του στάτους|να βελτιώσει το όνομα $his στην πιάτσα|να κερδίσει την εύνοια των ευγενών του παλατιού|να μαζέψει πλούτο|να βρει καινούριους συμμάχους|να κερδίσει την εύνοια της Αυτοκρατορικής Αυλής]."
"evt-postNarrative-extra-5","$He gained local notoriety for building a vast habitat for the various strange animals that $he had [obtained via mysterious circumstances|brought home after $his latest raids]."
"evt-postNarrative-extra-alcoholic","$He [πάντα φρόντιζε να κουβαλά μαζί $his ένα μπουκάλι με μπανάνα σναπς όπου και να πήγαινε|είχε πάντα λίγο μπανάνα σναπς μαζί $his για να ξεχνάει την μετριότητα της ζωής $his|δεν μπορούσε να ανοιχτεί καθόλου χωρίς να πιει πρώτα λίγο μπανάνα σναπς]."
"evt-postNarrative-extra-animalName","A newly discovered Human habitat was named in $his honour."
"evt-postNarrative-extra-bipolar","Κατά την διάρκεια της ζωής $his, $he υπέφερε από μανιακά επεισόδια που συχνά κρατούσαν εβδομάδες ή και μήνες, κατά την διάρκεια των οποίων $he παρουσίαζε [απίστευτη ενέργεια, ακολουθούμενα από ίδιου μήκους περιόδους βαριάς κατάθλιψης|ακραία σκαμπανεβάσματα στην διάθεση του]."
"evt-postNarrative-extra-cookCanibal","Η σπεσιαλιτέ $his ήταν ένα πιάτο [γεμάτο με διάφορα περίεργα εξωτικά φρούτα|με διάφορα μανιτάρια|με μπαχαρωμένα κρέατα]. Κόσμος πολύς από [όλη την Αυτοκρατορία|από κάθε γωνιά της Αυτοκρατορίας] ερχόταν για να το γευτεί και κανείς δεν κατάφερε ποτέ να καταλάβει τα μυστικά της συνταγής του."
"evt-postNarrative-extra-cookPyromaniac","Δυστυχώς το μέρος κάηκε ολοσχερώς κάτω από ύποπτες συνθήκες. Ο $name δεν μπόρεσε ποτέ να [συνέλθει οικονομικά|το χωνέψει|σηκώσει κεφάλι|το αντιμετωπίσει] και να συνέρθει ψυχολογικά από αυτήν την απώλεια."
"evt-postNarrative-extra-cookSoup","Ένα κάπως διάσημο πιάτο $his ήταν μία εξωτική σούπα που ισχυριζόταν ότι είχε εφεύρει σε συνεργασία με μερικούς από τους πιο διάσημους σεφ από τις διάφορες Χρυσές Πόλεις."
"evt-postNarrative-extra-firstChildName","$He έδωσε στο πρώτο $his παιδί το όνομα [του αρχηγού που είχε στις επιδρομές που διαμόρφωσαν την ζωή $his|το όνομα του άρχοντα από μία από τις Χρυσές Πόλεις που είχε συναντήσει κατά την διάρκεια των ταξιδιών $his|του πλοίου που έφερε $him πίσω στο σπίτι]."
"evt-postNarrative-extra-kleptomaniacPoor","$He εξορίστηκε από την αυλή [ύστερα από μία αποτυχημένη προσπάθεια να κλέψει ένα από τα αντικείμενα που η ομάδα επιδρομών μας|όταν προσπάθησε να κλέψει μερικούς ανθρώπους που η ομάδα $his|προσπάθησε να κλέψει μερικά αντικείμενα που η ομάδα $his] είχε φέρει πίσω."
"evt-postNarrative-extra-kleptomaniacRich","$He dwelled in luxury to an [unhealthy|notorious|pompous] degree, although the exact source of $his riches was never exactly disclosed."
"evt-postNarrative-extra-nativeFashion","$He did not cease wearing $his eccentric clothes and even inspired a [new style of footwear|distinct new headwear|new brand of raiding attire|fashion boom] during one particular [summer|winter|season]."
"evt-postNarrative-extra-noLoyalty","Later $he became a strong critic of $his own raiding expeditions and wrote [many|some|a few] [heavily widespread|fairly unknown] [articles|books] about the possibility, that maybe Humans were more than just pathetic, barely-sentient animals. He was heavily criticised for his heretical views."
"evt-postNarrative-extra-racistChange",""
"evt-postNarrative-extra-royalName-1","[$He was formally recognised as a noble by the Imperial Court and wore $his new title with great pride|$He declined a formal title by the Imperial Court]."
"evt-postNarrative-extra-royalName-2","$Him τον είχαν στοιχειώσει [ανελέητοι|ατελείωτοι|ανατριχιαστικοί] εφιάλτες σχετικοί με τα διάφορα [τρομακτικά|σατανικά|σκοτεινά|διαβολικά] πράγματα που $he είχε κάνει."
"evt-postNarrative-extra-royalName-3","$He δεν ξαναείπε την παραμικρή κουβέντα για ότι $he είχε κάνει στην διάρκεια των ταξιδιών $his."
"evt-postNarrative-extra-royalName","[Ένα βασιλικό σκάφος|Ένα βασιλικό πλοίο|Μία βασιλική γέφυρα|Ένας βασιλικός δρόμος|Μία Ανθρώπινη περιοχή] ονομάστηκε προς τιμήν $his."
"evt-postNarrative-extra-soldierLife","$He βραβεύτηκε με [στρατιωτικό μετάλλιο|μετάλλιο ανδρείας] επειδή [έθεσε την ίδια $his τη ζωή σε κίνδυνο για να σώσει ένα Πίθηκο συμπολεμιστή του|κατάφερε μόνος του να αιχμαλωτίσει ένα πολύ μεγάλο αριθμό Ανθρώπων|μονάχος του κατάφερε να νικήσει ένα χωριό Ανθρώπων που είχε επαναστατήσει|περπάτησε μονάχος χωρίς φαΐ και χωρίς ύπνο τρεις ολόκληρες μέρες για να παραδώσει ένα σημαντικό μήνυμα με πληροφορίες για τον εχθρό]."
"evt-postNarrative-extra","$He stayed in contact with most of the other survivors and corresponded monthly until $his death years later. They remained allies in the game of social advance."
"evt-postNarrative-extraCampaign","O $name επέστρεψε [στην Πρωτεύουσα της Αυτοκρατορίας|στους κυματιστούς λόφους της Αυτοκρατορικής ενδοχώρας|στις ήσυχες κοιλάδες της Αυτοκρατορίας|στα μαγευτικά βουνά της Αυτοκρατορικής ενδοχώρας|στις σμαραγδένιες ακτές της Αυτοκρατορίας|στο μέρος που $he αποκαλούσε σπίτι|στους αγαπημένους $his|σπίτι|στη γενέτειρα $his|στην οικογένεια $his|πίσω στα αγαπημένα του πρόσωπα] θριαμβευτής. Το νέο άγαλμα που έφτιαξαν προς τιμή του έμοιαζε αρκετά με $him, κι όμως $he δεν είχε αναπαυθεί στις δάφνες του. Ζωηροί εφιάλτες κρατούσαν $him ξύπνιο κάθε βράδυ. $He δεν καταλάβαινε ακριβώς τι συνέβαινε, αλλά ήταν λες και νέες γνώσεις και πληροφορίες σχηματίζονταν στο μυαλό $his σιγά σιγά. Με κάποιο τρόπο $he γνώριζε ότι θα ερχόταν η στιγμή που θα έπρεπε να σαλπάρει για μία ακόμα φορά, για το τελευταίο $his αυτή τη φορά ταξίδι. Ωστόσο, $he δεν θα επιδίωκε την δόξα και τη φήμη αλλά κάτι πολύ, πολύ μεγαλύτερο..."
"evt-postNarrative-lateLife-alcoholicDeath","$He [κατέληξε να έχει ένα πρώιμο θάνατο λόγο χρόνιου αλκοολισμού|σκοτώθηκε σε ένα καυγά που είχε μια μέρα που είχε μεθύσει|πέθανε μια μέρα που καταριόταν μεθυσμένος τον Αυτοκράτορα των Πιθήκων|τον σκότωσε ένας φίλος του σε ένα καυγά που είχαν, μια μέρα που είχαν μεθύσει|πέθανε από κάποια άγνωστη ασθένεια που σχετίζεται με το αλκοόλ, αφού πρώτα κατέβασε ένα μπουκάλι μπανάνα σναπς|έπεσε στη θάλασσα και πνίγηκε ένα ψυχρό φθινοπωρινό βράδυ|έζησε μέχρι τα βαθιά $his γεράματα παρόλο που ποτέ στην ζωή του δεν σταμάτησε να πίνει]."
"evt-postNarrative-lateLife-familyDeath","$He [πέθανε στην αγκαλιά του πιστού $his υπηρετικού προσωπικού|άφησε την τελευταία $his πνοή περιτριγυρισμένος από τους συγγενείς, φίλους και συμμάχους $his]."
"evt-postNarrative-lateLife-genericDeath","$He έζησε μία [χαρούμενη|ταπεινή|ήσυχη] ζωή και πέθανε [στην αγκαλιά της οικογένειας $his|στην αγκαλιά της αγαπημένης $his συζύγου|περιτριγυρισμένος από τα αχάριστα εγγόνια $his|στα χέρια του αυλικού σαμάνου|δίπλα στο αγαπημένο $his κατοικίδιο]."
"evt-postNarrative-lateLife-lepidopterophobiaDeath","Even through all the adventures $he never succumbed to $his fear of [butterflies|large moths], [$his life had since been cut short by|$he died in] a tragic accident while [hunting|hiking|raiding]. $he was so inhibited by the phobia, that $he [became confused|lost control] and plunged off a cliff."
"evt-postNarrative-lateLife-missionaryDeath","$He έζησε [μία ταπεινή|μία ήσυχη|μία μετριοπαθή|μία απλή] ζωή [και πέθανε σαν ένας απλός υπηρέτης του Αυτοκράτορα των Πιθήκων|και πέθανε δοξάζοντας τον Αυτοκράτορα των Πιθήκων μέχρι και την τελευταία μέρα της ζωής του|και πέθανε δίπλα στους συγγενείς, φίλους και συμμάχους $his]."
"evt-postNarrative-lateLife-nativeDeath","$He [πέθανε από Μαλάρια|πέθανε μια μέρα σε ένα ατυχές συμβάν που τον πάτησε ένας ελέφαντας|πέθανε μια μέρα σε ένα ατυχές συμβάν που τον πάτησαν κάτι αφηνιασμένες αγελάδες|σκοτώθηκε από ένα πεινασμένο αγριογούρουνο|σκοτώθηκε από μία τίγρη που του όρμησε καθώς έπινε νερό αμέριμνος σε μια λίμνη|πέθανε ειρηνικά περικυκλωμένος από τους φίλους και συμμάχους $his]."
"evt-postNarrative-lateLife-paranoidDeath","[$He πέρασε τα τελευταία χρόνια της ζωής $his στη φυλακή επειδή δολοφόνησε έναν φοροεισπράκτορα που υποτίθεται πως τον είχε εκβιάσει|Τα ίχνη $his τα τελευταία χρόνια είχαν χαθεί, ύστερα από ένα απόγευμα που εξαφανίστηκε μυστηριωδώς|Ο τελευταίος που είδε $him, τον περιέγραψε να τρέχει γυμνός και να γαβγίζει σαν Άνθρωπος|O $name πέρασε τα τελευταία χρόνια της ζωής $his σε τρελοκομείο, ύστερα από ένα συμβάν που επιτέθηκε στον αφέντη του επειδή και καλά ανήκε σε μια αίρεση που λάτρευε μία Θεότητα με πλοκάμια|Είχαν διαδοθεί φήμες ότι δεν πήγαινε και πολύ καλά στα μυαλά $his|Φήμες λέγανε ότι $he είχε γίνει ένας μοναχικός ερημίτης που είχε πάθει εμμονή με διάφορες πανάρχαιες θεότητες]."
"evt-postNarrative-lateLife-seventhWorldDeath","Στα τελευταία χρόνια της ζωής $his, τον είχαν στοιχειώσει [όνειρα|σκέψεις|ιδέες|οράματα|εφιάλτες] σε [ανησυχητικό|συχνό] βαθμό, σχετικά με μία [ξεχασμένη|απόκρυφη|κρυφή] [αρχαία Χρυσή Πόλη|έβδομη αποστολή]. [$He εξαφανίστηκε χωρίς να αφήσει ξανά ίχνη ζωής|$He δεν έδωσε σημεία ζωής έκτοτε]."
"evt-postNarrative-lateLife-soldierDeath","$He πέθανε [ύστερα από μία μάχη που η διμοιρία του εκτελέστηκε λόγω ανυπακοής|όταν $he και η ομάδα του αιχμαλωτίστηκαν σε μία μάχη, η αλήθεια είναι ύστερα από πολλές νίκες, και εκτελέστηκαν από έναν αντίπαλο πολέμαρχο|σε μία μάχη που $he θυσίασε την ζωή $his για το καλό της Αυτοκρατορίας|ύστερα από μία μάχη όπου μαχαίρωσαν $him και την διμοιρία του επειδή αψήφησε τις διαταγές που $his είχαν δοθεί|σε μία μάχη όπου $he προέλασε μόνος του μπροστά στο εχθρικό μέτωπο λες και ήθελε να αυτοκτονήσει]."
"evt-postNarrative-middleLife-1","After returning, $name [travelled throughout the Imperial provinces and client kingdoms|visited many of the Empire's holdings] [talking|publicly speaking|giving lectures] about those famous raids."
"evt-postNarrative-middleLife-2","O $name επέστρεψε στο σπίτι $his και έζησε μία μοναχική και απομονωμένη ζωή. Μετά από μερικά χρόνια, $he έκδωσε τα απομνημονεύματα $his, τα οποία [δεν είχαν και ιδιαίτερη επιτυχία|όμως απέτυχαν να γίνουν δημοφιλή στο ευρύ κοινό|πουλήσανε σαν καραμέλες και επέτρεψαν σε $him έκτοτε να ζήσει μία άνετη ζωή μέσα στο παραδάκι|γίνανε best seller εν μία νυκτί και κάπως έτσι $him εκτοξεύτηκε από τα κατώγεια στα ανώγεια|πιάσανε πάτο και έτσι βρέθηκε να χρωστά τα μαλλιά της κεφαλής του]."
"evt-postNarrative-middleLife-3","O $name παρέμεινε στην ενδοχώρα της Αυτοκρατορίας και δεν επέστρεψε ποτέ στο παλιό $his σπίτι."
"evt-postNarrative-middleLife-4","Ο $name [επέστρεψε στην πατρίδα $his και δεν ξαναπάτησε το πόδι του στην ενδοχώρα της Αυτοκρατορίας|ανέπτυξε μία ιδιαίτερη αγάπη και για τις δύο κουλτούρες και ταξίδεψε πολλές φορές κατά την διάρκεια της ζωής $his τόσο στην ένδοξη Πρωτεύουσα της Αυτοκρατορίας όσο και στην πατρίδα $his]."
"evt-postNarrative-middleLife-5","$name forged [a role|a career] in the military ranks."
"evt-postNarrative-middleLife-6","$name returned to the Imperial Capital and opened up [a small|a petite|a humble|an exclusive] [restaurant|soup kitchen|eating establishment], which $he ran for many years."
"evt-postNarrative-middleLife-7",""
"evt-postNarrative-middleLife","O $name επέστρεψε στο σπίτι του [και άρχισε να ξαναασχολείται με το παλιό $his επάγγελμα|αλλά η φυσική του κατάσταση απέτρεψε $him από το να βρει κάποια καλή και σταθερή δουλειά|και έγινε συγγραφέας διάφορων βιβλίων με θέμα ""Η Τέχνη του Πλιατσικού""|και έζησε από την περιουσία της συζύγου που $he παντρεύτηκε λίγο καιρό μετά|και έγινε δήμαρχος της πόλης $his|και έγινε σύμβουλος στο Παλάτι|και άνοιξε μια μικρή βιβλιοθήκη σε μια προσπάθεια να εξαπλώσει την γνώση για τον έξω κόσμο|και μετά από μια μικρή στιγμή δόξας εξαφανίστηκε στις σκιές της Ιστορίας|και ασχολήθηκε με την καλλιέργεια μπανάνας]."
"evt-postNarrative-special-1","Ο $name επέστρεψε [στην Αυτοκρατορία|στην καρδιά της Αυτοκρατορίας|στους λόφους της Αυτοκρατορικής Ενδοχώρας|στις ειρηνικές κοιλάδες της Αυτοκρατορίας|στα μαγευτικά βουνά της Αυτοκρατορικής ενδοχώρας|στις σμαραγδένιες ακτές της Αυτοκρατορίας|στο μέρος που $he αποκαλούσε σπίτι|στους αγαπημένους $his|σπίτι|στην πατρίδα $his|στην οικογένεια $his] θριαμβευτής. $He είχε μια [βαρετή|πολύ απλή|ανιαρή] ζωή έκτοτε, και μέχρι και τις τελευταίες $his μέρες $he δεν μπορούσε να ξεχάσει και να ξεπεράσει το γεγονός ότι είχε αποτύχει να γίνει ο Εκλεκτός του Αυτοκράτορα των Πιθήκων."
"evt-postNarrative-special-2","Ο $name επέστρεψε [στην Πρωτεύουσα της Αυτοκρατορίας|στην καρδιά της Αυτοκρατορίας|στους λόφους της Αυτοκρατορικής ενδοχώρας|στις ειρηνικές κοιλάδες της Αυτοκρατορικής ενδοχώρας|στα μαγευτικά βουνά της Αυτοκρατορικής ενδοχώρας|στη σμαραγδένια ακτή της Αυτοκρατορίας|στο μέρος που $he αποκαλούσε σπίτι|στους αγαπημένους $his|σπίτι|στην πατρίδα $his|στην οικογένεια $his] θριαμβευτής. $He έζησε για πολλά χρόνια. Μερικά καλά, μερικά άσχημα, ποτέ όμως δεν ξανάζησε τόσο ένδοξες μέρες όπως τότε που ταξίδευε σε όλο τον κόσμο αναζητώντας την δόξα. Ήταν τόσο κοντά μα και τόσο μακριά στο να αποκτήσει αιώνια δόξα και φήμη. Μέχρι και την τελευταία στιγμή της ζωής του δεν ξέχασε ούτε στιγμή ότι είχε αποτύχει στον υπέρτατο του στόχο."
"evt-postNarrative-special","Ο $name επέστρεψε [στην Πρωτεύουσα της Αυτοκρατορίας|στην καρδιά της Αυτοκρατορίας|στους λόφους της Αυτοκρατορικής ενδοχώρας|στις ειρηνικές κοιλάδες της Αυτοκρατορικής ενδοχώρας|στα μαγευτικά βουνά της Αυτοκρατορικής ενδοχώρας|στη σμαραγδένια ακτή της Αυτοκρατορίας|στο μέρος που $he αποκαλούσε σπίτι|στους αγαπημένους $his|σπίτι|στην πατρίδα $his|στην οικογένεια $his] θριαμβευτής. [Από την στιγμή που|Αφού πια] [το άγαλμα προς τιμήν $his ήταν έτοιμο, $he|το άγαλμα προς τιμήν του ήταν έτοιμο και $he είχε την υστεροφημία $his εγγυημένη, $he] άρχισε να έχει μία [ευτυχισμένη|χαρούμενη|επιτυχημένη] ζωή στην αυλή του Παλατιού, όντας το δεξί χέρι του ίδιου του Αυτοκράτορα των Πιθήκων, γνωρίζοντας ότι πλέον η Ιστορία [θα θυμόταν|θα είχε|θα ανέφερε] $him [στην ύψιστη θέση|με χρυσά γράμματα|ως παράδειγμα προς μίμηση|ως πραγματικό ήρωα|ως τον υπέρτατο πλιατσικολόγο|ως τον καλύτερο επιδρομέα που εμφανίστηκε ποτέ|ως άριστο μεταξύ αρίστων|ως παράδειγμα προς μίμηση για τις γενεές που θα ακολουθούσαν|ως έναν Πίθηκο πραγματικά υπόδειγμα|ως έναν Πίθηκο άξιο θαυμασμού|ως πηγή έμπνευσης για όλους τους Πιθήκους]."
"attack-loki-name-1","Stable Beam"
"attack-loki-name-2","Defensive Beam"
"attack-loki-name","Alternating Beam"
"np-malePraenomen","[Appius|Aulus|Caeso|Decimus|Faustus|Gaius|Gnaeus|Herius|Hostus|Lucius|Mamercus|Manius|Marcus|Mettius|Minatius|Nonus|Novius|Numerius|Olus|Opiter|Ovius|Paullus|Pescennius|Postumus|Publius|Quintus|Salvius|Septimus|Sertor|Servius|Sextus|Spurius|Statius|Tiberius|Titus|Tullus|Vibius|Volesus|Vopiscus]"
"np-femalePraenomen","[Appia|Aula|Caesa|Decima|Fausta|Gaia|Gnaea|Heria|Hosta|Lucia|Mamerca|Mania|Marcia|Mettia|Mino|Nona|Noviua|Numeria|Postuma|Publia|Quinta|Salvia|Septima|Sertor|Servia|Sexta|Spuria|Statia|Tiberia|Titia|Tulla|Vibius|Volusa|Vopisca]"
"np-maleNomen","[Aelius|Aemilius|Allidius|Alius|Allius|Ampius|Anicius|Annaeus|Annius|Antonius|Arellius|Arius|Atanius|Attiolenus|Audius|Aufidius|Aurelius|Avilius|Babullius|Bombius|Braundutius|Caecilius|Caelius|Caesonius|Calpurnius|Caltius|Calvius|Castricius|Cerrinius|Cincius|Cispius|Claudius|Clodius|Cluvius|Cocceius|Cottius|Cornelius|Cornius|Cossinius|Cossutius|Crassicius|Crepereius|Critonius|Decumius|Didius|Diobellius|Domitius|Egnatius|Erucius|Fabius|Fabricius|Felsonius|Flaminius|Flavius|Fulvius|Furius|Gerillanus|Gerraeus|Gessius|Granius|Heius|Helvius|Horarius|Hordionius|Hostilius|Iulius|Laberius|Labienus|Laelius|Laronius|Licinius|Livius|Loisius|Lollius|Lucceius|Lucretius|Luxius|Maecius|Magulnius|Mamilius|Marcius|Marius|Memmius|Mescinius|Messius|Mevius|Mindius|Mundicius|Naevius|Nerius|Nimmius|Nonnius|Novius|Numitorius|Nummius|Numonius|Obellius|Octavius|Ofellius|Olius|Opellius|Oppius|Orbius|Orceius|Otacilius|Paconius|Pactumeius|Pediasius|Pedius|Petronius|Pettius|Pius|Plaitorius|Plotius|Pompeius|Pompilius|Pomponius|Popilius|Popillius|Porcius|Pumidius|Quinctius|Raecius|Rasennius|Rutilius|Sabinius|Samiarius|Satricanius|Saufeius|Seius|Sempronius|Septimius|Serpoleius|Servilius|Sestius|Sextilius|Spedius|Staius|Stenius|Stertinius|Stlaccius|Sulfius|Sulpicius|Tarquinius|Titinius|Trebellius|Tuccius|Tullius|Turpillius|Tuscenius|Tutorius|Ulpius|Valerius|Varius|Venoleius|Veratius|Verrinius|Verius|Veturius|Veveius|Vibius|Vicirius|Vipsanius|Vinicius|Viseius|Vitellius|Vorenus|Umbricius|Volusius]"
"np-femaleNomen","[Aelia|Aemilia|Allidia|Alia|Allia|Ampia|Anicia|Annaea|Annia|Antonia|Arellia|Aria|Atania|Attiolena|Audia|Aufidia|Aurelia|Avilia|Babullia|Bombia|Braundutia|Caecilia|Caelia|Caesonia|Calpurnia|Caltia|Calvia|Castricia|Cerrinia|Cincia|Cispia|Claudia|Clodia|Cluvia|Cocceia|Cottia|Cornelia|Cornia|Cossinia|Cossutia|Crassicia|Crepereia|Critonia|Decumia|Didia|Diobellia|Domitia|Egnatia|Erucia|Fabia|Fabricia|Felsonia|Flaminia|Flavia|Fulvia|Furia|Gerillana|Gerraea|Gessia|Grania|Heia|Helvia|Horaria|Hordionia|Hostilia|Iulia|Laberia|Labiena|Laelia|Laronia|Licinia|Livia|Loisia|Lollia|Lucceia|Lucretia|Luxia|Maecia|Magulnia|Mamilia|Marcia|Maria|Memmia|Mescinia|Messia|Mevia|Mindia|Mundicia|Naevia|Neria|Nimmia|Nonnia|Novia|Numitoria|Nummia|Numonia|Obellia|Octavia|Ofellia|Olia|Opellia|Oppia|Orbia|Orceia|Otacilia|Paconia|Pactumeia|Pediasia|Pedia|Petronia|Pettia|Pia|Plaitoria|Plotia|Pompeia|Pompilia|Pomponia|Popilia|Popillia|Porcia|Pumidia|Quinctia|Raecia|Rasennia|Rutilia|Sabinia|Salvia|Samiaria|Satricania|Saufeia|Seia|Sempronia|Septimia|Serpoleia|Servilia|Sestia|Sextilia|Spedia|Staia|Stenia|Stertinia|Stlaccia|Sulfia|Sulpicia|Tarquinia|Titinia|Trebellia|Tuccia|Tullia|Turpillia|Tuscenia|Tutoria|Ulpia|Valeria|Varia|Venoleia|Veratia|Verrinia|Veria|Veturia|Veveia|Vibia|Viciria|Vinicia|Vipsania|Viseia|Vitellia|Vorena|Volusia|Umbricia]"
"np-maleCognomen","[Abito|Adjutor|Aemilianus|Adventus|Agrippa|Alexander|Aloysius|Alypius|Amandus|Ambrosius|Amphion|Antonius|Anatolius|Andronicus|Angelus|Aquila|Arcadius|Arvina|Asina|Augustus|Aurelianus|Aurelius|Auspex|Avitus|Balduinus|Bassus|Belenus|Belisarius|Bellator|Bellus|Bibulus|Brutus|Caelestius|Candidus|Caligula|Carinus|Carus|Castus|Celer|Cicero|Cinna|Clemens|Commodus|Crassus|Crescens|Crispus|Datus|Dannicus|Decentius|Decius|Diocletianus|Donatus|Domitianus|Draco|Drusus|Durus|Emeritus|Faustus|Felix|Festus|Firmus|Fortunatus|Fronto|Fuscus|Glaucia|Gracchus|Hadrianus|Honoratus|Honorius|Ianaurius|Ingenuus|Iovita|Iulianus|Iustus|Lepidus|Longinus|Magnus|Marcellinus|Marcellus|Marcianus|Martialis|Maximus|Nerva|Numerianus|Optatus|Primus|Priscus|Probus|Proculus|Pullo|Quintillus|Rogatianus|Rogatus|Rufinus|Rufus|Sabinus|Saturninus|Scipio|Secundus|Seianus|Severus|Silvanus|Sulla|Superbus|Tacitus|Tertius|Traianus|Urbanus|Valens|Valentinus|Valerianus|Verecundus|Verus|Vespasianus|Victor|Victorinus|Vitalis|Zeno|Zosimus]"
