"fxt-village-human-name","Làng của loài người"
"evt-harbor-recruit-3","[Danh tiếng của tôi vẫn còn mỏng manh, nhưng|Sau những nỗ lực của các cuộc săn bắt trước đây tôi đã rất vui mừng vì] [Tôi nhận thấy chuyến phiêu lưu của chúng tôi đã nhận được một sự quan tâm nhỏ|ngày càng nhiều Apes thể hiện mối quan tâm đến con tàu của chúng tôi]. Ai mà tôi muốn _tuyển dụng?_"
"evt-harbor-select","[Vừa kịp lúc|Rốt cuộc thì|Lượng Adrenalin trong cơ thể tôi tăng lên tới mức|Trái tim tôi như muốn nhảy lên đầy hứng khỏi khi tôi nghe tin] [con thuyền|con tàu] [này|của chúng tôi] đã [sẵn sàng|chuẩn bị|được khởi động] [để khởi hành|để căng buồm|để rời bến cảng|cho cuộc hành trình phía trước|hướng tới những bờ bến xa|du hành ngoài biển khơi]."
"evt-harbor-recruit-mountainTrooper-action","$name lính tiên phong"
"evt-village-recruit-bloodrider-action","$name huyết binh phong"
"evt-village-recruit-bloodrider","$name huyết binh phong tham gia chuyến thám hiểm."
"evt-harbor-recruit-berzerker-action","$name người lính Cuồng nộ"
"evt-harbor-recruit-berzerker","$name người lính cuồng nộ tham gia chuyến phiêu lưu của chúng tôi."
"pk-whiskyIncrease-1-title","Kẻ nghiện rượu chuối 1"
"pk-whiskyIncrease-1","Uống rượu chuối để tăng sự tỉnh táo."
"pk-whiskyIncrease-2-title","Kẻ nghiện rượu chuối 2"
"pk-whiskyIncrease-3-title","Kẻ nghiện rượu chuối 3"
"pk-whiskyIncrease-4-title","Kẻ nghiện rượu chuối 4"
"bonus-whisky","Tính kích thích của rượu chuối"
"pl-native-starting-shaman-title","Pháp sư của triều đình"
"pl-native-starting-shaman","Một trong những cố vấn thân cận của Hoàng đế Ape. Tiến hành các nghi lễ cổ xưa và truyền thuyết về thuật giả kim (Cơ hội đạt được sự tỉnh táo khi sử dụng nấm)"
"evt-village-recruit-shaman-action","$name người pháp sư"
"base-sanity","Nhuệ khí"
"help-sanity","Mức độ hài lòng và động lực của băng nhóm cướp bóp của bạn. Mức độ này giảm tới không và gây ra ngày càng nhiều sự kiện thảm khốc hơn."
"base-standing","Sự thống trị"
"help-standing","Làm sao để những con người ở vùng này phụ thuộc vào quyền lực của bạn. Nếu bạn cho phép mức độ lệ thuộc xuống quá thấp thì họ sẽ có thể trở nên bất trị."
"pl-native-starting-scout-title","Đạo quân trinh sát hoàng gia"
"world-adjective","[Client State|Imperial Province|City State|Imperial Enclave|Client Kingdom|Tributary Kingdom|Vassal State|Vassal Kingdom|Magnificent City|Grand City|Grand Colony|Rich Colony|Grand Province|Rich Province|Military Enclave|Merchant Enclave|Science Enclave|Shaman Cabal|Hunting Grounds] of [Praetor|Consul|Proconsul|Governor|General|Warlord|Warmaster|Autarch|Exarch|Master|Hierophant|Sage|Minister|Legate|Overlord|Overseer|Regent|Tetrarch|Triarch|Pentarch] [Appius|Aulus|Caeso|Caligula|Caracalla|Commodus|Decimus|Domitianus|Elagabalus|Faustus|Gaius|Gnaeus|Herius|Hostus|Lucius|Macharius|Mamercus|Manius|Marcus|Marius|Mettius|Minatius|Nero|Nerva|Nonus|Novius|Numerius|Olus|Opiter|Ovius|Paullus|Pescennius|Pompeius|Postumus|Publius|Pullo|Quintus|Salvius|Septimus|Sertor|Servius|Sextus|Spurius|Statius|Sulla|Tiberius|Titus|Tullius|Tullus|Vibius|Volesus|Vopiscus|Vorenus]"
"gol-goldenTemple-arctic","Một thành phố vàng có thể được tìm thấy trong khu vực này."
"gol-goldenTemple-buried","Có một thành phố Vàng được ngụy trang che giấu bởi ma giáo của một ảo thuật gia."
"gol-goldenTemple-moonStone","Một thành phố Vàng có thể được tìm thấy trong khu vực này."
"empty-name",""
"evt-village-enter-neutral","[Dân làng quan sát chúng tôi một cách thận trọng khi băng nhóm của chúng tôi tiến vào nơi ở vốn đang yên bình của họ.|Khi chúng tôi vừa tới nơi, khu làng náo nhiệt với nhiều hoạt động, nhưng nó nhanh chóng im ắng ngay khi con người nhận thấy sự xuất hiện của đội quân chúng tôi.][Chúng tôi tiếp cận người dân một cách cởi mở và dừng ngay trước cổng vào của ngôi làng|Chúng tôi ngay tại lối ra vào và suy nghĩ hướng đối xử với những con người này]."
"evt-ship-arrival","[Tôi đã hoàn thành việc chuẩn bị một số công việc buổi sáng ngay sau khi|Tôi nhận thức sâu sắc những gì tôi nghiên cứu về địa điểm này|Đầu sáng nay| Cuộc hành trình xuyên đại dương đã mang lại nhiều điều kỳ diệu về cuộc sống biển trước đây|Mọi suy nghĩ của tôi chỉ tập trung vào chuyến đi phía trước cho tới khi|Sau chuyến hành trình đường biển an toàn ngoài mong đợi|Tôi không dám kể lại những thử thách và khổ nạn của chuyến đi, nhưng may mắn thay!|Sau nhiều tuần chu du|Sau nhiều ngày lênh đênh trên biển|Sau thời điểm hầu như không có khả năng sống sót khi trải qua một trong những cơn bão khủng khiếp nhất mà tôi từng chứng kiến|Các vùng biển chúng tôi trải qua đều rất hùng vĩ, và tôi hơi chút buồn khi nhận ra|Sau nhiều tuần phải dùng thức ăn không hợp và không có chuối|Và tôi chỉ nghĩ rằng chúng tôi sẽ không bao giờ tìm được đường thoát khỏi ra khỏi vùng biển này|Trong sương mù dày đặc của một buổi sáng mưa] [chúng tôi đến vùng đất của người cai trị địa phương|cuối cùng chúng tôi đã tiến vào bờ biển của khu vực săn bắt|chúng tôi đã đến được khu vực săn bắt của chúng tôi|trong màn sương mù mờ buổi sáng một vùng bờ biển hiện ra]. [Vùng đất nằm ngay trước mặt chúng tôi, rộng lớn và vô danh|Cảnh quan khác biệt đã kích thích sự khám phá của chúng tôi|Tôi rất tò mò muốn khám phá ra những gì hiểm nguy đang chờ đón chúng tôi ở phía trước|Chúng tôi đã đến, và đã đến lúc bắt đầu cuộc hành trình|Tôi biết nơi này nắm giữ chiếc chìa khóa mở ra cơ hội thăng tiến của tôi tại triều đình|Tôi biết tôi cần tìm và gây ấn tượng với người cai trị địa phương|Tôi biết mình cần tìm Thành phố Vàng]."
"evt-village-enter-forsaken","[Ngôi làng trống rỗng.|Một khung cảnh lạnh lẽo: Cứ như thể những người dân làng này chưa bao giờ sống ở đây cả. Không có một người đàn ông, phụ nữ hay đứa trẻ nào xung quanh. Ngôi làng đã hoàn toàn bị bỏ hoang.] [Rõ ràng là mọi người đã vội vàng rời đi. Dường như ngôi làng đã bị lãng quên trong một thời gian dài, và nó sẽ sớm trở nên không thể phân biệt được với cảnh quan xung quanh.] Tôi đã tìm kiếm nhưng không tìm thấy bất cứ thứ gì có thể sử dụng được."
"evt-postNarrative-extra-1","Sự căng thẳng khi thực hiện các cuộc tấn công của $his đã để lại những vết sẹo trên [cơ thể|tinh thần|tâm hồn] của $his và gia đình $his xác nhận rằng $he bây giờ chỉ là một cái bóng của người họ từng quen biết."
"evt-postNarrative-extra-2","$He đã sử dụng tài sản tích lũy của $his để gây ấn tượng với giới quý tộc và dân thường Apes bằng cách tổ chức một trong những lễ hội lớn nhất với các bữa yến tiệc và trò chơi mà Đế chế chưa từng thấy."
"evt-postNarrative-extra-3","Mặc dù đang sống trong một xã hội của thời kỳ thô sơ, $he nhận thấy thật không thể xây dựng một mối quan hệ bạn bè mới, chứ chưa tính tới các liên hệ an toàn về chính trị xã hội và chính trị khác."
"evt-postNarrative-extra-4","Các cuộc tấn công của $His đã đem lại cho $him một cái nhìn vô giá về sự mong manh của cuộc sống, và vì vậy $he đã cố gắng mỗi ngày để [cải thiện tình trạng của anh ta|tạo nên tên tuổi của anh ấy|tìm kiếm các đặc ân từ Đế chế|tích lũy tài sản|có được các đồng minh mới|cầu cạnh sự ân sủng từ Triều đình hoàng gia]."
"evt-postNarrative-extra-5","$He đã tạo được danh tiếng tại địa phương để đảm nhiệm xây dựng một môi trường sống rộng lớn cho các loài động vật kỳ lạ khác nhau mà $he đã [thu được thông qua các trường hợp kỳ bí|mang về nhà sau cuộc tấn công gần đây nhất của $his]."
"evt-postNarrative-extra-alcoholic","$He [chắc chắn luôn luôn mang theo một bình rượu chuối bên $him đi tới bất cứ nơi nào $he đã trải qua|cảm thấy rằng rượu chuối đã đem lại cho $him sức mạnh để vượt qua những vết thương nhẹ|tin rằng rượu chuối là thật sự cần thiết để có thể thể hiện đúng bản thân mình]."
"evt-postNarrative-extra-animalName","Một vùng đất sinh sống mới được khám phá sẽ được vinh dự đặt theo tên của $his."
"evt-postNarrative-extra-bipolar","Trong suốt quãng đời của $his $he đã trải qua rất nhiều thời điểm hưng phấn, lúc ấy $he sẽ thể hiện [nguồn năng lượng đáng kinh ngạc, tiếp theo ngay sau đó là thời kì khá dài tương tự của tình trạng suy nhược trầm cảm nặng|biến động cực lớn của tâm trạng]."
"evt-postNarrative-extra-cookCanibal","Đặc sản của $His là một món [trái cây|nấm trộn|thịt cay|thịt lạ]. Từ khắp mọi nơi tại Đế quốc, mọi người đến để thưởng thức món ăn đó và chưa ai có thể phát hiện ra các thành phần bí mật của món ăn."
"evt-postNarrative-extra-cookPyromaniac","Thật không may địa điểm bị đốt cháy lại nằm trong những trường hợp đáng ngờ. $name đã không bao giờ phục hồi được [tài chính|danh tiếng|cảm xúc] cũng như tinh thần từ sự mất mát đó."
"evt-postNarrative-extra-cookSoup","Đặc sản khá nổi tiếng của $His là một món súp kỳ lạ mà $he tuyên bố đã được pha chế với sự giúp đỡ của các đầu bếp nổi tiếng nhất từ ​​các thành phố vàng."
"evt-postNarrative-extra-firstChildName","$He đặt tên cho đứa con đầu lòng của $his theo tên [vị lãnh đạo của các cuộc tấn công định hình cuộc đời của $his|người cai trị của một trong những Thành phố Vàng người mà $he gặp trong chuyến đi của $his|tên của con tàu đã đưa $him về nhà]."
"evt-postNarrative-extra-kleptomaniacPoor","$He đã bị trục xuất khỏi triều đình sau khi $he [cố gắng đòi lại chiến lợi phẩm những thứ trong các cuộc tấn công chúng tôi|đã cố gắng ăn cắp một số tù nhân mà chuyến săn bắt của $his|đã cố gắng ăn cắp một số chiến lợi phẩm mà chuyến săn bắt của $his] mang về."
"evt-postNarrative-extra-kleptomaniacRich","$He sống trong một sự sang trọng tới mức [vô bổ|khét tiếng|phô trương], mặc dù nguồn gốc thật sự của độ giàu có của $his là chưa bao giờ được tiết lộ một cách chính xác."
"evt-postNarrative-extra-nativeFashion","$He đã không ngừng mặc những bộ đồ lập dị của $his và thậm chí còn truyền cảm hứng tạo nên một [kiểu giày dép mới|kiểu mũ nón độc đáo|thương hiệu mới của trang phục đột kích|sự bùng nổ thời trang] trong một [mùa hè|mùa đông|thời tiết] riêng biệt."
"evt-postNarrative-extra-noLoyalty","Sau đó, $he trở thành một nhà phê bình mạnh mẽ về các cuộc thám hiểm đột kích của chính $his và đã viết [nhiều|một số|một vài] [bài viết|cuốn sách] [được truyền bá mạnh mẽ|tương đối mơ hồ] về những khả năng, cho rằng có thể nhận thức của con người chỉ hơn một chút hoặc là gần bằng như loài vật vô tri. Ông đã bị chỉ trích nặng nề vì quan điểm dị giáo của mình."
"evt-postNarrative-extra-racistChange",""
"evt-postNarrative-extra-royalName-1","[$He đã được chính thức công nhận là một quý tộc của Triều đình Hoàng Gia và mang danh hiệu mới của $his với niềm tự hào lớn|$He từ chối một danh hiệu chính thức của Triều đình Hoàng gia]."
"evt-postNarrative-extra-royalName-2","$He bị làm phiền bởi các cơn ác mộng [thường xuyên|vô tận] về những điều [tồi tệ|không thể giải thích được|xấu|ác] mà $he đã làm."
"evt-postNarrative-extra-royalName-3","$He chưa bao giờ nói một lời nào về những gì $he đã làm trong suốt những cuộc hành trình $his."
"evt-postNarrative-extra-royalName","Một [con thuyền|con tàu|cây cầu|con đường|vùng đất sinh sống] của hoàng gia đã được đặt tên theo tên của $him."
"evt-postNarrative-extra-soldierLife","$He đã được trao thưởng một huân chương quân đội cho việc [cứu sống một bạn đồng hành Ape mà không màng tới sự nguy hiểm cho tính mạng của $his|bắt được một lượng rất lớn ngoài sức tưởng tượng những tù binh con người|một tay chiếm được cả khu làng nổi loạn|hành quân xuyên suốt ba ngày liên tục không ngủ tiến để truyền tải một phần quan trọng của tin cấp báo]."
"evt-postNarrative-extra","$He đã giữ liên lạc với hầu hết những người còn sống sót khác và trao đổi thư từ hàng tháng cho tới khi $his mất năm sau đó. Họ là những đồng minh của nhau trên con đường phát triển xã hội."
"evt-postNarrative-extraCampaign","$name đã được trả lại [Thủ phủ hoàng gia|trái tim của Đế quốc|những ngọn đồi nhấp nhô của vùng đất trung tâm của Hoàng gia|các thung lũng yên bình của vùng đất trung tâm của Hoàng gia|những ngọn núi hùng vĩ của vùng đất trung tâm của Hoàng gia|các bờ biển ngọc trù phú của vùng đất trung tâm của Hoàng gia|nơi $he gọi là nhà|là những thứ thân thương của $his|là nhà|là quê hương của $his|là gia đình của $his] đầy vinh quang. Bức tượng thực sự là phần thưởng tương xứng cho $him, nhưng $he vẫn chưa được nghỉ ngơi. Những cơn ác mộng rõ ràng từ một vùng đất xa xôi quấy rầy $him mỗi đêm. $He không biết phải làm thế nào, nhưng dường như một nhận thức mới dần dần hình thành trong tâm thức $his. Bằng cách nào đó $he biết rằng $he sẽ phải ra khơi một lần nữa, và nó sẽ là chuyến đi cuối cùng của $his. Lần này $he sẽ không tìm kiếm danh tiếng, nhưng là một thứ gì đó cao quý hơn nhiều..."
"evt-postNarrative-lateLife-alcoholicDeath","$He [chết sớm vì chứng nnghiện rượu lâu năm|đã bị giết trong một cuộc hỗn loạn của những kẻ say rượu|bị ám sát sau một lần say xỉn phỉ báng Hoàng đế Ape|bị giết hại bởi một người bạn sau một trận cãi vã lúc uống say|đã ra đi mãi mãi vì bị ngộ độc một loại rượu chuối lạ mà ông ấy uống cả ngày hôm đó|bị chết đuối dưới biển vào buổi sáng tinh mơ của một ngày mùa thu lạnh lẽo|sống thọ khá lâu cho dù tửu lượng của $his là rất lớn]."
"evt-postNarrative-lateLife-familyDeath","$He [đã chết trong vòng tay của những người bảo vệ trung thành của $his|đã trút hơi thở cuối cùng của $his với sự tề tựu đông đủ của đại gia đình và những người đồng minh của $his]."
"evt-postNarrative-lateLife-genericDeath","$He đã sống một cuộc đời dài đầy [hạnh phúc|khiêm tốn|yên tĩnh] và chết trong sự hiện diện [của gia đình$his|của người bạn đời đầy tính toán của $his|của người cháu vô ơn của $his|của một pháp sư triều đình|của con thú cưng trung thành của $his]."
"evt-postNarrative-lateLife-lepidopterophobiaDeath","Thậm chí trong suốt tất cả các cuộc hành trình $he cũng không bao giờ vượt qua được nỗi sợ hãi của $his về [loài bướm|loài bướm đêm lớn], [cuộc đời của $his đã bị chấm dứt bởi|$he đã tử vong trong] một tai nạn bi thảm trong khi [đi săn|đi bộ hành|đi tấn công]. Nỗi sợ hãi các loài bướm đã ám ảnh $he, tới mức $he [trở nên bối rối|mất kiểm soát] và lao xuống một vách đá."
"evt-postNarrative-lateLife-missionaryDeath","$He đã sống một cuộc sống [khiêm nhường|yên tĩnh|nhã nhặn|đơn giản] và đã chết [trong khi đang làm nhiệm vụ Hoàng gia|trong sự tôn thờ của Hoàng Đế Ape|trước sự hiện diện của các đồng minh $his]."
"evt-postNarrative-lateLife-nativeDeath","$He [chết vì bệnh sốt rét|chết vì không may bị một con Voi tấn công|trong một lần bầy thú chạy toán loạn|không may bị một con lợn rừng húc|chết vì bị một con hổ vồ khi đang ra hồ lấy nước|ra đi thanh thản với sự hiện diện của các đồng minh của $his]."
"evt-postNarrative-lateLife-paranoidDeath","[$He đã dành những năm cuối đời của $his trong tù sau khi sát hại một người thu thuế được cho là đã tống tiền ông ấy|Những nơi ở trong suốt mấy năm cuối đời của $His vẫn là một ẩn số, chúng hoàn toàn biến mất chỉ trong một đêm|Người cuối cùng nhìn thấy $him là lúc $him đang chạy xuống đường trong tình trạng khỏa thân và sủa lên như một con người|$name đã dành những năm cuối đời của $his trong một trại giáo dưỡng, đã hành hung Giáo hoàng tại địa phương của $his theo cáo buộc của một nhóm mê tín sùng bái và tôn thờ giáo hội|Tin đồn lan rộng là nguồn gốc dẫn đến sự điên loạn của $his|Theo đó có tin đồn rằng $he đã trở thành một ẩn sĩ và bị ám ảnh bởi những vị thần cổ đại cụ thể]."
"evt-postNarrative-lateLife-seventhWorldDeath","Trong suốt quãng thời gian cuối đời của $his, $he bị phiền muộn [liên tục|ám ảnh] bởi những [giấc mơ|suy tư|ý niệm|ảo ảnh|cơn ác mộng] về một [Thành phố Vàng có nguồn gốc cổ xưa|cuộc viễn chinh lần thứ bảy] [đã bị lãng quên|vẫn còn sót lại|bị che lấp]. [$He đã biến mất không để lại bất kỳ dấu vết gì|Không ai có thể gặp lạ hoặc nghe thêm bất kì thông tin nào từ $He]."
"evt-postNarrative-lateLife-soldierDeath","$He đã tử trận trong một cuộc chiến mà [đội quân của anh ấy bị sát hại nhiều vì đã hành động trái lệnh|$he đã góp mặt trong nhiều chiến thắng của đội quân trước khi bị bắt giữ và tử hình bởi Tướng quân kẻ địch|$he hi sinh mạng sống của $his vì những điều tốt đẹp cho Hoàng đế|$he coi thường những hạ cấp của $his, và ngay sau đó đã bị chém chết bởi những người lính còn sống sót trong đội quân anh ấy|$he đã thăng cấp một cách liều lĩnh, dường như là có ý muốn tự tử]."
"evt-postNarrative-middleLife-1","Sau khi trở về, $name [chu du khắp các tỉnh thuộc Hoàng gia và các vương quốc láng giếng|viếng thăm rất nhiều khu đất đai tài sản của Đế quốc] đồng thời [nói|diễn thuyết trước công chúng|thực hiện các bài phát biểu] về những cuộc tiến công nổi tiếng đấy."
"evt-postNarrative-middleLife-2","$name trở về quê hương của $his và sống cuộc đời ẩn dật. Nhiều năm sau, $he ban hành những bản ký sự của $his, những văn bản này [không thu hút được nhiều sự chú ý từ cộng đồng|đã bị thất bại trong việc nắm bắt trí tưởng tượng từ công chúng|trở thành một thành công lớn và đem lại cho $him cuộc sống an nhàn về tài chính|đã là một thành công bất ngờ và là nguyên nhân cho buổi nói chuyện của $him tại triều đình]."
"evt-postNarrative-middleLife-3","$name đã ở lại trên những khu đất trung tâm của Hoàng Gia và không bao giờ quay trở về chốn cố hương của $his."
"evt-postNarrative-middleLife-4","$name [trở về mảnh đất quê nhà của $his và đã không hề đặt chân quay trở lại những vùng đất của Hoàng gia|đã khơi dậy nguồn cảm hứng cho những nền văn hóa và trong cuộc đời của $his đã chu du rất nhiều lần qua lại giữa Thủ đô Hoàng gia hoa lệ và quê nhà dung dị của $his]."
"evt-postNarrative-middleLife-5","$name đã ngụy tạo [một vị trí|một sự nghiệp] trong những hàng ngũ quân đội."
"evt-postNarrative-middleLife-6","$name trở lại Thủ đô Hoàng gia và mở ra [một nhà hàng|một khu chế biến súp|một cơ sở ăn uống] [nhỏ|xinh xinh|nhã nhặn|độc quyền], và $he đã điều hành hoạt động trong nhiều năm."
"evt-postNarrative-middleLife-7",""
"evt-postNarrative-middleLife","$name trở lại quê hương [và bắt đầu làm việc với nghề nghiệp cũ của $his|nhưng những chấn thương thể chất đã không cho phép $him tham gia lại vào công việc chuyên môn thường xuyên|và chấm dứt việc sáng tác một loạt bài hướng dẫn về ""Nghệ thuật xâm lược""|và sống nhờ vào số tiền của một người vợ giàu có mà $he đã kết hôn ngay sau đó|và trở thành ngài thị trưởng của Thị trấn nơi $his sinh sống|và trở thành một cố vấn tại Triều đình|và mở một thư viện nhỏ với nỗ lực truyền bá nhiều kiến thức về thế giới tới dân làng|và đã biến mất trong giai đoạn tăm tối của lịch sử sau khi đã tạo ra một vài tiếng vang ban đầu]."
"evt-postNarrative-special-1","$name trở về [Thủ phủ hoàng gia|trái tim của Đế quốc|những ngọn đồi nhấp nhô của vùng đất trung tâm của Hoàng gia|các thung lũng yên bình của vùng đất trung tâm của Hoàng gia|những ngọn núi hùng vĩ của vùng đất trung tâm của Hoàng gia|các bờ biển ngọc trù phú của vùng đất trung tâm của Hoàng gia|nơi $he gọi là nhà|là những thứ thân thương của $his|là nhà|là quê hương của $his|là gia đình của $his] đầy vinh quang. $He trải nghiệm một cuộc sống [xoàng xoàng|yên ổn|không hài lòng], và cho đến khi trút hơi thở cuối cùng của $his $he cũng sẽ không bao giờ quên làm sao $he đã thất bị trong nhiệm vụ sau chót để trở thành Thành viên được lựa chọn của Hoàng đế Ape."
"evt-postNarrative-special-2","$name trở về [Thủ phủ hoàng gia|trái tim của Đế quốc|những ngọn đồi nhấp nhô của vùng đất trung tâm của Hoàng gia|các thung lũng yên bình của vùng đất trung tâm của Hoàng gia|những ngọn núi hùng vĩ của vùng đất trung tâm của Hoàng gia|các bờ biển ngọc trù phú của vùng đất trung tâm của Hoàng gia|nơi $he gọi là nhà|là những thứ thân thương của $his|là nhà|là quê hương của $his|là gia đình của $his] đầy vinh quang. $He đã sống rất lâu sau đó. Cuộc đời thăng có, trầm có, nhưng sẽ không có lúc nào $his tỏa sáng như thời khắc $he dong thuyền ra khơi đi vòng quanh thế giới thực hiện nhiệm vụ vinh quang. $He đã tiến rât gần tới danh tiếng vĩnh cửu. Cho đến lúc gần đất xa trời $he cũng sẽ vẫn còn được gợi nhắc về sự thất bại của $his trong việc thực hiện mục tiêu cuối cùng."
"evt-postNarrative-special","$name trở về [Thủ phủ hoàng gia|trái tim của Đế quốc|những ngọn đồi nhấp nhô của vùng đất trung tâm của Hoàng gia|các thung lũng yên bình của vùng đất trung tâm của Hoàng gia|những ngọn núi hùng vĩ của vùng đất trung tâm của Hoàng gia|các bờ biển ngọc trù phú của vùng đất trung tâm của Hoàng gia|nơi $he gọi là nhà|là những thứ thân thương của $his|là nhà|là quê hương của $his|là gia đình của $his] đầy vinh quang. [Sau khi|Ngay khi mà] [một bức tượng được mô phỏng theo hình ảnh của $his, $he|$he đã để lại cho thế hệ sau di sản của $his là một bức tượng lộng lẫy, $he] đã tận hưởng một cuộc sống [dài|vinh quang|thành công] tại triều đình với vai trò như cánh tay phải đắc lực của chính Hoàng đế Ape, biết rằng lịch sử sẽ [ghi nhớ|lưu giữ|tri ân] $him [ở vị trí cao nhất|như một trong những bậc vĩ đại|như một tấm gương chuẩn chỉnh về một vị anh hùng|như một đấng anh hào thực thụ|như một người tiến quân mẫu mực|không có gì có thể sánh bằng|như là một người phục tùng tốt nhất của Hoàng đế|như gương mặt điển hình tại triều đình để lưu truyền lại cho các thế hệ sau|như một Ape tuyệt vời nhất|như một người đáng để ngưỡng mộ|như một nguồn cảm hứng cho tất cả các Apes khác]."
"attack-loki-name-1","Nhóm ổn định"
"attack-loki-name-2","Nhóm bảo vệ"
"attack-loki-name","Nhóm thay thế"
"np-malePraenomen","[Appius|Aulus|Caeso|Decimus|Faustus|Gaius|Gnaeus|Herius|Hostus|Lucius|Mamercus|Manius|Marcus|Mettius|Minatius|Nonus|Novius|Numerius|Olus|Opiter|Ovius|Paullus|Pescennius|Postumus|Publius|Quintus|Salvius|Septimus|Sertor|Servius|Sextus|Spurius|Statius|Tiberius|Titus|Tullus|Vibius|Volesus|Vopiscus]"
"np-femalePraenomen","[Appia|Aula|Caesa|Decima|Fausta|Gaia|Gnaea|Heria|Hosta|Lucia|Mamerca|Mania|Marcia|Mettia|Mino|Nona|Noviua|Numeria|Postuma|Publia|Quinta|Salvia|Septima|Sertor|Servia|Sexta|Spuria|Statia|Tiberia|Titia|Tulla|Vibius|Volusa|Vopisca]"
"np-maleNomen","[Aelius|Aemilius|Allidius|Alius|Allius|Ampius|Anicius|Annaeus|Annius|Antonius|Arellius|Arius|Atanius|Attiolenus|Audius|Aufidius|Aurelius|Avilius|Babullius|Bombius|Braundutius|Caecilius|Caelius|Caesonius|Calpurnius|Caltius|Calvius|Castricius|Cerrinius|Cincius|Cispius|Claudius|Clodius|Cluvius|Cocceius|Cottius|Cornelius|Cornius|Cossinius|Cossutius|Crassicius|Crepereius|Critonius|Decumius|Didius|Diobellius|Domitius|Egnatius|Erucius|Fabius|Fabricius|Felsonius|Flaminius|Flavius|Fulvius|Furius|Gerillanus|Gerraeus|Gessius|Granius|Heius|Helvius|Horarius|Hordionius|Hostilius|Iulius|Laberius|Labienus|Laelius|Laronius|Licinius|Livius|Loisius|Lollius|Lucceius|Lucretius|Luxius|Maecius|Magulnius|Mamilius|Marcius|Marius|Memmius|Mescinius|Messius|Mevius|Mindius|Mundicius|Naevius|Nerius|Nimmius|Nonnius|Novius|Numitorius|Nummius|Numonius|Obellius|Octavius|Ofellius|Olius|Opellius|Oppius|Orbius|Orceius|Otacilius|Paconius|Pactumeius|Pediasius|Pedius|Petronius|Pettius|Pius|Plaitorius|Plotius|Pompeius|Pompilius|Pomponius|Popilius|Popillius|Porcius|Pumidius|Quinctius|Raecius|Rasennius|Rutilius|Sabinius|Samiarius|Satricanius|Saufeius|Seius|Sempronius|Septimius|Serpoleius|Servilius|Sestius|Sextilius|Spedius|Staius|Stenius|Stertinius|Stlaccius|Sulfius|Sulpicius|Tarquinius|Titinius|Trebellius|Tuccius|Tullius|Turpillius|Tuscenius|Tutorius|Ulpius|Valerius|Varius|Venoleius|Veratius|Verrinius|Verius|Veturius|Veveius|Vibius|Vicirius|Vipsanius|Vinicius|Viseius|Vitellius|Vorenus|Umbricius|Volusius]"
"np-femaleNomen","[Aelia|Aemilia|Allidia|Alia|Allia|Ampia|Anicia|Annaea|Annia|Antonia|Arellia|Aria|Atania|Attiolena|Audia|Aufidia|Aurelia|Avilia|Babullia|Bombia|Braundutia|Caecilia|Caelia|Caesonia|Calpurnia|Caltia|Calvia|Castricia|Cerrinia|Cincia|Cispia|Claudia|Clodia|Cluvia|Cocceia|Cottia|Cornelia|Cornia|Cossinia|Cossutia|Crassicia|Crepereia|Critonia|Decumia|Didia|Diobellia|Domitia|Egnatia|Erucia|Fabia|Fabricia|Felsonia|Flaminia|Flavia|Fulvia|Furia|Gerillana|Gerraea|Gessia|Grania|Heia|Helvia|Horaria|Hordionia|Hostilia|Iulia|Laberia|Labiena|Laelia|Laronia|Licinia|Livia|Loisia|Lollia|Lucceia|Lucretia|Luxia|Maecia|Magulnia|Mamilia|Marcia|Maria|Memmia|Mescinia|Messia|Mevia|Mindia|Mundicia|Naevia|Neria|Nimmia|Nonnia|Novia|Numitoria|Nummia|Numonia|Obellia|Octavia|Ofellia|Olia|Opellia|Oppia|Orbia|Orceia|Otacilia|Paconia|Pactumeia|Pediasia|Pedia|Petronia|Pettia|Pia|Plaitoria|Plotia|Pompeia|Pompilia|Pomponia|Popilia|Popillia|Porcia|Pumidia|Quinctia|Raecia|Rasennia|Rutilia|Sabinia|Salvia|Samiaria|Satricania|Saufeia|Seia|Sempronia|Septimia|Serpoleia|Servilia|Sestia|Sextilia|Spedia|Staia|Stenia|Stertinia|Stlaccia|Sulfia|Sulpicia|Tarquinia|Titinia|Trebellia|Tuccia|Tullia|Turpillia|Tuscenia|Tutoria|Ulpia|Valeria|Varia|Venoleia|Veratia|Verrinia|Veria|Veturia|Veveia|Vibia|Viciria|Vinicia|Vipsania|Viseia|Vitellia|Vorena|Volusia|Umbricia]"
