"@authors","Translator: Lauren Lim(Karma_L)"
"evt-harbor-recruit-timLuis-action","$name 와 루이스"
"evt-harbor-recruit-timLuis","우리 탐험대의 인원수는 이미 [최대치에|한계에] 도달했다. 우리들이 새로운 대원을 고용하기 위해서는 누군가를 해고해야만 했다."
"evt-harbor-recruit","[나의 이전 탐험은 어떤 특별한 명성도 가져다주지 못했고|나의 고생에 관한 이야기들은 아직 좀더 퍼트려져야 할 필요가 있었고|나보다 더 유명한 모험가들이 지금 그들의 배를 준비하고 있었고], [항구는 그날 내내 거의 비어 있었다|그래서 나는 우리 배의 출항에 관심을 가지는 사람이 거의 없는 것을 보고도 그다지 놀라지 않았다]. [그나마|고맙게도|다행스럽게도 그나마] [누군가가 찾아왔고|관심을 가진 한 사람이 찾아왔고|누군가가 모습을 보였고|단 한 명의 지원자가 우리 함선에 찾아왔고] [우리 탐험대에 합류하는 것을 제안했다|우리 탐험대에 합류할 수 있는지 궁금해했다|우리 탐험대에 입대하고자 하는 의사를 보였다]."
"evt-harbor-select-action-1","동물을 강화한다"
"evt-harbor-select-action","장비를 구입한다"
"evt-harbor-select","[제 시간에 맞춰서|마침내|기쁘게도|내 마음이 기대감으로 부풀어 올랐을 때] [나의|우리의] [배가|함선이] [출발할|돛을 펼치고 나갈|항구를 떠날|앞으로 나아갈|저 멀리의 육지를 향할|바다로 나아갈] [준비가 되었다|준비를 마쳤다|채비를 마쳤다]."
"evt-harbor-setSail-action","출항한다"
"evt-harbor","[아침 일찍|상쾌하고 소금기가 느껴지는 공기를 마시며|기대감에 부푼 채로|다가올 모험을 몹시 기대하면서|새벽을 여는 빛이 나를 깨웠고|충분한 밤의 휴식을 즐기고 나서|흥분감으로 잠을 설친 뒤에] 나는 [부둣가에 도착했다|부둣가로 향했다|배에 올랐다|배에 나의 장비들을 실었다|항구에 도착했다|서둘러 항구로 향했다|서둘러 부둣가에 도착했다]. [선원들은 아직 출항 준비를 해야 되었기 때문에|아직 선장이 도착하지 않았기 때문에|아직 조금 더 준비를 해야 했기 때문에|우리들은 배가 준비되기 전에 잠깐 동안의 자유시간을 얻을 수 있었고], [나는 마지막 차 한 잔을 즐겼다|나는 갑판에서 시원한 바닷바람을 맞으며 시간을 보냈다|나는 부둣가에 앉아서 기다렸다|나는 내가 더 할 수 있는 일이 있는지 알아보았다|나는 물수제비를 몇 번 던지면서 놀았다|나는 저 수평선 너머에서 무엇이 기다리고 있을지 상상해 보았다|나는 신문에 내 이름이 실릴 것이라는 생각을 하며 즐거운 시간을 보냈다|나는 내 얼굴이 클럽의 동상에서 어떤 모습으로 나타나게 될 지 상상해 보았다]."
"evt-healingSprings-enter-action","온천을 탐사한다"
"evt-healingSprings-enter","우리들은 [멋진 자연경관이 있는 곳에|천연 그대로의 온천에] [도착했다|멈춰섰다]. 물은 [짠 맛이 났고|강렬한 색깔을 가지고 있었고], [지열로 가열된 지하수로부터 나온 것이 틀림없었다|나는 이런 온천의 치료 효능에 대한 이야기를 들어본 적이 있었다|온천의 치료 효능은 매우 확실해 보였다]."
"evt-healingSprings-morning-1","온천에서 목욕함으로써 우리들의 부상은 놀라운 속도로 회복되었다."
"evt-healingSprings-morning","[즐거운 나날들이 지나갔다|일행 모두가 편안함을 즐겼다]. 우리가 떠날 준비를 하고 있을 때 [안개가 땅에 짙게 깔려 있었다|온천수가 햇빛으로 인해 반짝거리고 있었다|미묘한 수증기가 수면을 드리웠다|여기서 떠나고 싶지 않은 사람들에게 짐을 싸도록 설득하는 것은 꽤나 힘들었다]."
"evt-hotAirBalloon-abort-action","떠난다"
"evt-hotAirBalloon-abort-leave","우리 앞의 영광으로부터 도망칠 때가 아니었다. 우리들은 열기구를 정리했고 탐험을 계속했다."
"evt-hotAirBalloon-abort","나는 생각을 바꾸었다."
"evt-hotAirBalloon-access","열기구를 준비하는 것은 며칠 정도 걸릴 것이다. 열기구에 실을 수 있는 양은 제한되어 있었다. 열기구에 들어가지 않는 것들은, 뒤에 남겨놓고 가야만 했다."
"evt-hotAirBalloon-explore-action","열기구에 접근한다"
"evt-hotAirBalloon-fail","나는 혼자서 열기구를 조립하려고 했지만, 그건 [불가능했다|몹시 다루기 힘들었다|가능하지 않았다|어리석은 짓이였다]. 나는 최소한 한 명의 대원이 더 필요했다."
"evt-hotAirBalloon-makeRoom-1","나는 $name 와/과 헤어지기로 결정했다. $그가 없으면 더 많은 귀중품과 함께 돌아갈 수 있을 것이다."
"evt-hotAirBalloon-makeRoom-action-1","충분하다"
"evt-hotAirBalloon-makeRoom-action","자리를 더 만든다"
"evt-hotAirBalloon-makeRoom","나는 귀중품들을 더 실을 수 있는 자리를 만들기 위해 누군가를 뒤에 남겨놓는 선택을 할 수 있지 않을까 생각해 보았다."
"evt-hotAirBalloon-stash-action","열기구를 준비한다"
"evt-hotAirBalloon-stash-title","열기구의 물품창고"
"evt-hotAirBalloon-takeOff-1","나는 $name 을/를 축하해 주었지만, $그의 눈에서는 [즐거움이|흥분이|감사가] 아닌 [슬픔이|회환이] 비쳐 보였다. $그는 [내가 떠나는 것을 보는 것이 더 나았을 거라고 말해 주었다|내가 떠나는 것을 축하해주고 싶었을 거라고 말해주었다|$그가 절대 이 땅을 떠나지 못하게 될 거라는 기분이 들었다고 했다]. 그리고 $그는 [$그의 고향에서 머물러 있고 싶어했다|나를 따라 문명화된 세상으로 가지 않을 거라고 말했다|나에게 이 지역은 그녀의 영혼의 일부와도 같다고 말해주었다]."
"evt-hotAirBalloon-takeOff-2","$name 은/는 현대 사회에 대한 나의 이야기를 매우 듣고 싶어했고 나와 함께 돌아가는 것에 동의했다."
"evt-hotAirBalloon-takeOff-action","이륙한다"
"evt-hotAirBalloon-takeOff","우리들은 준비를 마쳤고 고향으로 돌아가기 위한 비행을 시작하기 위해 열기구에 올랐다."
"evt-hotAirBalloon-warped","나는 열기구를 사용해볼까 하는 생각을 해보았지만, [그저 헛된 공상에 불과했다|별로 현명하지 못한 생각인 것 같았다|확실히 괜찮은 생각은 아니었다|바보같은 생각이었다|어리석은 생각이었다]. 이런 [낮선|공상 속에서나 존재할|비범한|현혹적인|이세계의|외지의|불길한] 땅에서 어디로 날아갈 수 있단 말인가?"
"evt-infected-companion","[야생에서|의약품이 없으면] 상처가 감염되지 않도록 예방하는 것은 거의 불가능하다. $name 의 상처는 [꽤나 역겨워 보이기 시작했다|곪아들어가기 시작했고 엄청난 양의 고름을 뱉어내기 시작했다]."
"evt-infected-explorer","내가 입은 상처는 [감염되었다|곪아들어가기 시작했다|코를 찌르는 악취가 나기 시작했다]. [발걸음을 내딛을 때마다|하루하루가 지날 때마다|숨을 쉴 때마다] 시련을 겪는 듯했다."
"evt-infectedDeath-amulet","$name 의 상처는 $그에게 사망 선고를 내렸다. $그의 유언을 통해 $그는 나에게 $그의 가족의 목걸이를 근처 마을에 있는 $그의 누이에게 가져다 달라고 부탁했다."
"evt-infectedDeath-companion","[이런 상황에서 감염된 상처는 사망 선고와도 같았고 $name 은/는 결국|오랜 피로는 $name 을/를 한계까지 밀어넣었고, $그는|우리의 고단한 여행길은 $name 을/를 지치게 만들었고 $그는] 오늘 $그의 부상에 굴복하고 말았다."
"evt-infectedDeath-explorer","나는 [이 마지막 한 글자를 쓸|마지막으로 내 펜을 들] 힘조차 거의 없었고, 나의 [상처는|부상은] [내가 버틸만한 정도를 넘어서 버렸다|나를 죽음에 이르게 만들 것이다]. 나는 여기서, [황무지|내가 정복하고자 했던 땅|이름없는 땅|용서받지 못할 땅] 위에서 죽게 될 것이다."
"evt-infectedDeath-promise","$name 은/는 힘겹게 숨을 쉬며 떨고 있었다. $그는 나에게 마지막 부탁을, 그의 아내가 먹고 살 수 있도록 돌봐 달라는 부탁을 했다. 내가 대답하기도 전에 $그는 긴 한숨을 내쉬었고 숨을 거두었다."
"evt-infectedHeal-1","완전히 지쳐버린 나날들이 지나갔고, 내 몸은 열을 내리고 감염을 낫게 하는 데 성공했다."
"evt-infectedHeal","$name 의 건강한 신체는 병마와 싸우는 데 성공했고, $그는 매우 다행히도 살아남아 다시 건강해졌다."
"evt-injured-turnAbomination","[$name 이/가 입은 상처는 끔찍하게 감염되었고|$Name 의 상처는 끔찍할 정도로 곪아들어갔고|$Name 은/는 아주 이상한 행동을 보이기 시작했고], [$그는 매우 아파보였다|나는 무언가가 $그의 살갖 아래에서 꿈틀대는 것을 보았다고 확신했다|나는 $그의 옷가지 밑에서무언가가 기어다니는 것을 보았다고 생각했다]. [어느날 아침 내가 일어나고 나서|어느날 아침] 나는 $그가 [징그러운 괴물로|괴인으로] [바뀐|변한|일그러져 있는|변이한] 것을 [발견했다|보고 충격을 받았다]."
"evt-leave-1","[이번 수색대의 다른 일원인 $name 은/는|$name 은/는 혼자서 돌아왔고|오직 $name 만이 수색에서 돌아왔고|수색에서 돌아온 사람은 오직 $name 뿐이었고, $그는] [무슨 일이 일어났었는지 알지 못했다|실종에 대해 전혀 알지 못했다|사라진 동료에 대한 수수께끼를 밝혀내는 데 실패했다]. $그는 [둘이 서로 떨어지게 되었고|$그가 사라졌고|자신들이 본의 아니게 갈라지게 되었고|자신들이 흩어져 있기로 결정했고][, 그래서 $그는 $그의 혼자서 수색하고 있었다고| 서로를 시선에서 놓치게 되었다고| 그리고 $그는 저 뒤에서 다시 모이게 될 줄 알았다고] [설명했다|나를 설득했다|주장했다|단언했다]. [나는 어떻게 이런 상황이 되었는지 확신하지 못했지만|나는 $그의 이야기를 의심했지만|$그는 부자연스러울 정도로 침착하고 활기에 차 있었지만|우리들은 사라진 탐험대원의 흔적을 잠시 동안 샅샅이 뒤져보았지만], 내가 할 수 있었던 일은 없었다."
"evt-leave-2","같은 일행이었던 $name 이/가 홀로 돌아왔다. 그것은 그저 나를 조용히 응시했을 뿐 [실종된 대원에 대한 내 질문에 어떤 반응조차 하지 않았다|실종에 대한 수수께끼를 푸는 데 거의 관심을 보이지 않았다]. [우리들은 없어진 대원을 찾기 위해 샅샅이 뒤지느라 소중한 시간을 사용했지만|우리들은 그날 내내 이 지역을 둘러보았지만], [아무것도 찾아내지 못했다|우리들의 부름에 대한 대답은 들려오지 않았다|단서의 부족으로 아무것도 알아내지 못했다]."
"evt-leave-3","우리들이 [자리를 떴을 때|출발했을 때] 우리는 우리의 존재가 [굶주린|배고픈|호기심 많은|사나운] _야생동물을_ 끌어들였다는 사실을 [알아차렸다|알아냈다]."
"evt-leave-action","떠난다"
"evt-leave-raptors","우리가 [앞으로 나아갔을 때|이동했을 때|출발했을 때] 우리는 우리의 [존재가|행동이|행위가] 한 무리의 [굶주린|흉악한|무시무시한|흉포한] _랩터들을_ 끌어들였다는 사실을 [느꼈다|알아차렸다|알아냈다]."
"evt-leave-startFire-1","나는 $name 이/가 [용의자라고|불지르는 것을 좋아하는 사람이라고|방화 충동이 있는 사람이라고|이 사건의 원인이라고] [의심했고|믿었고] $그에게 다음 번에는 좀 더 [조심하라고|주의하라고|신중하라고] [경고했다|충고했다|명령했다]."
"evt-leave-startFire","우리들이 [떠났을|출발했을 때] 우리의 모닥불이 근처의 수풀에 [불을 냈다는|불을 질렀다는|화재를 일으켰다는] 것을 [알아차렸다|깨달았다]. 우리가 [뭐 때문에 이런 일이 일어났는지|무슨 일이 벌어졌는지|무슨 일이 일어났는지] 알아차리기도 전에 _불길이_ 걷잡을 수도 없이 퍼지기 시작했다."
"evt-leave-startFirePyromaniac-1","나는 $name 이/가 [용의자라고|이 일의 책임이 있을 거라고] [의심했지만|추정했지만] $그가 개입했다는 확실한 증거는 없었다."
"evt-leave-startFirePyromaniac","우리들이 [떠났을|움직였을|앞으로 나아갔을] 때 우리들은 연기가 우리 뒤에서 피어오르는 것을 [알아차렸다|보았다]. 우리들이 무슨 일이 일어났는지 알아차리기도 전에 _불길이_ 거세졌다."
"evt-leave-superstitious","$name 은/는 [이 장소를 탐험해보자는 우리의 결정에 매우 화가 난 것으로 보였다|$그의 미신에 사로잡혀 미쳐버린 모양이었다]. $그는 [우리들이 이 땅의 토착신들을 화나게 만들었다고 경고했다|우리들의 불경한 행동에 대해 불평했다|우리들이 스스로 불운을 자초했다며 신경질적으로 훌쩍였다]."
"evt-leave","[우리들이 떠날 준비를 했을 때|우리들이 탐험대의 짐을 꾸렸을 때|밖으로 향하기 전|우리들이 다시 모험을 시작할 준비가 되었을 때] 나는 [$name 이/가 없다는|$name 이/가 우리들과 같이 있지 않다는|$name 이/가 사라졌다는|$name 이/가 돌아오지 않았다는|$name 을/를 찾을 수 없었다는] [것을 알아차렸다|것을 깨달았다|것을 보았다|사실에 당황했다|것을 우려했다|사실에 충격을 받았다]."
"evt-mission-abandoned-main","[아무도 찾을 수 없었다|이곳에는 아무도 없었다|우리 탐험대가 이 주변 몇 마일 근처에 있는 유일한 사람들일 것이다]."
"evt-mission-abandoned-morning","[이날 아침 소름끼치는 침묵이 선교소를 감쌌다|아무도 보이지 않았다|이날 아침 아무런 기척도 소리도 나지 않았다], 우리들은 혼자였다."
"evt-mission-cultist-init","우리들은 선교소에 들어갔다. 놀랍게도 우리들은 선교사가 아닌 $name 이/가 우리들을 맞이하는 것을 볼 수 있었다. $그는 이전에 살던 사람이 [황급히 떠났고 두 번 다시 돌아오지 않았다고|여행을 떠나 아직까지 돌아오지 않았다고|서구 세계로 돌아가기로 결정했다고|끔찍한 사고로 사망했다고|좀 더 문명화된 지역으로 떠났다고|수뇌부에 의해 소환되었다고] 설명해 주었다."
"evt-mission-cultist-main","광신도는 $name 이/가 이곳에 도착하자 매우 기뻐했다. 그들은 서로의 귀에다 대고 조용히 속삭인 다음, 마치 환영 의식으로 보이는 행동을 하기 시작했다."
"evt-mission-cultist-recruit-action-1","광신도를 고용한다"
"evt-mission-cultist-recruit-action","고용한다"
"evt-mission-cultist-recruit-yes","한 광신도가 우리 탐험대에 합류했다."
"evt-mission-cultist-recruit","광신도는 우리들의 모험을 돕기를 간절히 바랐다. [내가 질문을 채 마치기도 전에|손짓과 함께|들어보지 못한 말을 중얼거리며|낮선 언어로 말하며] 그는 [우리들에게|우리 탐험대에] [합류할 준비가 된|헌신하고자 하는] 한 [동료|의욕이 넘치는] 광신도를 불러왔다."
"evt-mission-cultist-rest-action","쉰다"
"evt-mission-cultist-rest-thanks","우리들은 광신도의 친절한 제안에 감사했다."
"evt-mission-cultist-rest","광신도는 [매우 죄송하지만,|처음에는 이상할 정도로 우리들을 환영해 주었지만, 곧|송구하게도,] [모든 오두막이 임대되었다는 것을|불이 나는 바람에 어떤 오두막도 이용할 수 없다는 것을] 알려주었다. 하지만, 그는 우리들이 그의 개인 식료품들을 먹을 수 있게 해주었다."
"evt-mission-cultist-trade-no","우리들은 광신도와 [합의점에 도달하는 데|거래에 성공하는 데|협상을 이루는 데] [실패했다|성공할 수 없었다]."
"evt-mission-cultist-trade-yes","우리들은 광신도와 [합의점에 도달하는 데|거래하는 데|협상을 이루는 데] 성공했다."
"evt-mission-cultist-trade","광신도는 그의 보급품 일부를 [제공했다|가져왔다|내놓았다]."
"evt-mission-event-5-ignore","나는 베개로 귀를 막았고 그냥 잠들려고 노력했다."
"evt-mission-init-action","선교소에 들어간다"
"evt-mission-leave-1","$name 이/가 내게 $그가 선교소에 남기로 결정했다고 말했다. $그는 도움이 필요한 사람들에 대한 이야기를 해주었다. 내가 $name 의 결정을 번복하도록 만들 수 있었던 방법은 [없었다|존재하지 않았다|아무것도 없었다|전혀 없었다].."
"evt-mission-leave","우리들은 [서로 악수를 나누었고|작별 인사를 했고] 그는 [우리들이 잘 되기를 빌어 주었다|우리들의 여행에 축복을 해주었다|우리들을 위한 기도를 해주었다|우리들이 건강하기를 바라는 기도문을 중얼거렸다][. 이제 새로운 모험을 향해 앞으로 나아갈 때다!|. 앞으로 나아가자!|. 새로운 발견들이 우리들을 기다리고 있다!]"
"evt-mission-main-1","그는 $name 을/를 따뜻하게 맞이했고 우리들이 언제라도 그의 보호 아래에서 쉴 수 있도록 보장해 주었다."
"evt-mission-main","우리들은 [선교소로 들어갔고|정문을 지나갔고] 나이 든 선교사가 우리들을 [환영해 주었다|맞이했다]. 그는 [상당히 오랜 시간 동안|그가 기억하고 있는 것보다 더 오래|마치 영원처럼 느껴진 시간 동안] [여기에 머물러 있었기|본국에서 멀리 떨어져 임무를 수행하고 있었기|홀로 있었기] 때문에, 새로운 사람들을 보자 [눈에 띄게 기뻐했다|눈에 띄게 안도했다|매우 기뻐했다]."
"evt-mission-morning","[수도사는 그가 우리들을 위해 더 도울 수 있는 것이 있는지 물어보았다|괜찮은 수면 시간을 보낸 뒤에 우리들은 새로운 모험을 떠날 준비가 되었다]."
"evt-mission-perk-rest-action","선교소에서 휴식한다"
"evt-mission-perk-rest","수도사는 함께할 사람이 있다는 것에 기뻐했고 우리들이 [선교소가 주는 안락함 속에서|선교소가 제공하는 안전 속에서|선교소라는 안전한 보금자리에서|비교적 안전한 선교소의 건물 속에서] 쉴 수 있도록 허락해 주었다."
"evt-mission-sleep-action","잠을 청한다"
"evt-mission-sleep-event-1","그날 저녁은 특별한 일이 없었고 우리들은 곧 잠에 곯아떨어졌다."
"evt-mission-sleep-event-2-accept-action","마신다"
"evt-mission-sleep-event-2-accept-alcoholic","$name 은/는 [술을 너무 많이 마셨고|너무 많이 마셨고] 그 뒤 $그는 곯아떨어져 [쓰러진 자리에서|얼굴에 미소를 지은 채] 잠들었다."
"evt-mission-sleep-event-2-accept","우리들은 그의 제안을 받아들였고 위스키를 돌렸다. 위스키는 [우리들이 기대했던 만큼 숙성되어 있지 않았고 꽤나 쓴 맛을 남겼다|굉장히 훌륭하게 숙성되었고 우리는 그날 저녁을 거하게 마시면서 보냈다]."
"evt-mission-sleep-event-2-refuse","우리들은 술을 정중하게 거절했다. [다음 날 아침에 기진맥진한 상태로 일어나지 않으려면|우리들은 내일 아침에 일찍 일어나야만 했기 때문에], [우리들은 다함께 예민한 정신을 유지해야만 했다|이날 밤에 취하는 것은 우리들의 선택사항이 아니었다]."
"evt-mission-sleep-event-2","수도사는 종종걸음을 치며 자리를 떠났고 [곧바로|잠시 뒤] 위스키 몇 병을 가지고 [돌아와서|돌아온 뒤] 우리들과 술잔을 [나누고 싶어했다|나누기를 바랐다|나누기를 원했다|나누고자 했다]."
"evt-mission-sleep-event-3","저녁 내내 수도사는 $name 이/가 여기서 환영받지 못한다는 것을 단호하게 말하고 다녔다. 그는 기회가 있을 때마다 $그를 모욕했고 $name 은/는 당연히 화를 냈다."
"evt-mission-sleep-event-5-action","조사한다"
"evt-mission-sleep-event-5-fight-action","도망친다!"
"evt-mission-sleep-event-5-win","우리들은 예배당 옆에 끔찍한 괴물을 묻었다."
"evt-mission-sleep-event-5","잠자리에 [든 뒤에|들었을 때], 우리는 [선교사의 오두막에서|예배당에서|수도사의 개인실에서] [괴상한|이상한|불안한] 소리가 나는 것을 들었다."
"evt-mission-sleep-event-6","우리들은 [소리의|소음의|소란의|소동의] 원인을 찾아보았고 선교사를 발견했다. 아니, [그가 변이된 무언가라고 하는 편이|그가 변이된 짐승이라고 하는 편이] 나을 지도 모른다. 괴물은 위협적으로 우리를 향해 [비틀거리며 다가왔다|비틀대며 다가왔다|달려들었다]."
"evt-mission-stash-action","창고에 들어간다"
"evt-mission-stash-done","[우리들이 창고에서 볼일을 끝내고 나서|창고에 관한 이야기를 마치고 나서], [선교소의 주인은|선교사는] 그의 [다른|일상] 업무를 보러 돌아갔다."
"evt-mission-stash-title","물품들"
"evt-mission-stash","수도사는 우리가 선교소의 창고에 들어가는 것을 허락했고 만약 우리들이 다시 물건을 찾으러 오지 않는다면 맡겨놓은 물건들을 문명화된 세상에 보낼 것이라고 말했다."
"evt-mission-trade-action","거래한다"
"evt-mission-trade-cancel","우리들은 [선교사와|목사와] 합의에 [이르지 못했다|이를 수 없었다|이르는 것에 실패했다]."
"evt-mission-trade-deal","우리들은 선교사와 [합의점에 도달하는 데|거래하는 데|협상을 이루는 데] 성공했다."
"evt-mission-trade-rest-1","그가 원하는 것을 얻자 그는 우리들이 밤 동안 쉬기 위해 [머무는 것에 동의했다|머무는 것을 허락했다|머무는 것을 허가했다]."
"evt-mission-trade-rest-2","그가 가진 가방이 가득 차자 그는 밤 동안 우리들이 쉬어가는 [것에 동의했다|것을 허락했다]."
"evt-mission-trade-rest-action","밤 동안 여기에 머문다"
"evt-mission-trade-rest","수도사는 [알게 모르게 우리가 가진 물건들의 값어치를 매겼다|욕심이 많았다|보상을 요구하는 것이 맞는 거라고 생각했던 것 같다|우리들이 가진 물건들을 탐내고 있었다|보상을 요구했다]. 우리들이 [선교소의 건물 안에서|지붕이 머리 위를 덮은 채로|이 깨끗한 장소에서] 잠을 [청하고 싶으면|청하기를 바란다면|청하기를 원한다면] 기부를 해야만 했다."
"evt-mission-trade","[선교사는|목사는|수도사는|성직자는] 그의 물자 일부를 [우리에게 제공했다|가지고 왔다|보여주었다]."
"evt-monsterDen-giantSpiders-approach","우리들은 이 지역의 거대 거미들이 번식하고 있던 곳으로 보이는 작은 동굴에 도착했다."
"evt-monsterDen-hyena-approach","[이날 우리들은|우리들은 또다른|우리들은] 이 지역의 하이에나들이 번식하고 있던 곳이 확실한 작은 동굴을 [찾아냈다|발견했다]."
"evt-mushroom-healing-heal-1","하지만, $name 의 정신이 [그 환각 상태에서|의식의 저편에서|꿈 속의 세상에서] 무언가를 가져온 것으로 보였다. $그는 [이상하게 행동하기 시작했다|$그의 피부를 열심히 긁어대기 시작했다|그 뒤로 예전과는 다른 사람이 되었다|치료되었지만, 대가가 따랐다]."
"evt-mushroom-healing-heal-2","그러나, $name 의 영혼이 [그 이상한 환각 상태에서|의식의 저편에서|꿈 속 세상의 끝에서] 무언가를 가져온 것으로 보였다. $그는 [이상하게 행동하기 시작했다|그 이후 완전히 다른 사람이 되었다|더 이상 예전과 같은 $name 이 아니었다]."
"evt-mushroom-healing-heal-3","그러나, [열이 오르면서 이상한 환각 상태에 빠진|의식의 저편으로 다녀온|꿈꾸는 상태가 된] 이후 무언가 완전히 이상한 것이 $name 을/를 옭아맸다. $그는 [아주 약간 이상하게 행동하기 시작했다|무언가 달라 보였다|버섯의 환각적인 부작용의 노예가 되었다|아마도 중독된 것 같았다|완전히 제정신으로 돌아온 것 같지는 않았다]."
"evt-mushroom-healing-heal-4","그러나, $name 의 정신이 [그 환각 상태에서|의식의 저편에서|꿈 속의 공간에서] 무언가를 가져온 것으로 보였다. $그는 [그 전보다 매우 이상하게 행동하기 시작했다|무언가 달라 보였다|그다지 제정신으로 보이지 않았다|이상한 행동을 보이기 시작했다|그 뒤로 예전과는 다른 사람이 되었다]."
"evt-mushroom-healing-heal-action","$name 에게 버섯을 준다"
"evt-mushroom-healing-heal","$name 은/는 버섯을 [아주 맛있게 먹었다|먹고 메스꺼움 때문에 몸서리를 쳤다]. $그는 [몇 시간 동안 일종의 환각 상태에 빠졌다|횡설수설하는 이야기들을 지껄이기 시작했고 춤을 추었다|침을 흘리며 나의 고간을 바라보았다|침을 흘리기 시작했고 내 발쪽을 바라보았다|뻣뻣해졌고 몹시 땀을 흘리기 시작했다]. 그 뒤 $그는 [$그의 상처가 빠르게 회복되고 있다고 보고했다|기적적으로 회복되었다|몸에 다시 활기가 돌아오는 것을 느꼈다|활기로 몸이 붕 떠오르는 듯한 기분을 느꼈다]."
"evt-mushroom-status-heal","$name 은/는 [용기를 내어 버섯을 먹었다|애써 미소를 지으며 버섯을 먹었다|버섯을 먹고 끔찍한 맛에 몸부림쳤다]. $그는 [몇 시간 동안 일종의 환각 상태에 빠졌다|다소 가혹하게 $그의 뺨을 때리기 시작했다|신께서만이 아실 듯한 말을 중얼거렸고 땅바닥을 기었다]. 그 뒤 $그는 [다시 활기가 돌아오는 것을 느꼈다|긍정의 힘이 부풀어오르는 것을 느꼈다|웃음을 멈출 수가 없었다|더 나은 사람이 되었다]."
"evt-nativeTrinket-gift-action","$name 에게 부적을 준다"
"evt-nativeTrinket-gift","[작은|즉흥적으로 마련한|가벼운|간단한] 축하 [행사에서|행사를 가진 이후|행사 동안] [나는 $name 에게 부적을 건네주었다|나는 $name 에게 다가가 $그에게 부적을 건네주었다|$name 을/를 향해 걸어가 $그에게 부적을 선물해 주었다|나는 $name 에게 부적을 선물해 주었다]. [그 후|그리고 나서|이어서|그 다음에] 나는 [$그에게 이번 탐험은 $그의 도움이 있어야만 성공할 수 있다고 말해주었고|이번 탐험에 대한 $그의 기여도가 얼마나 중요한지를 강조해 주었고|$그가 나에게 얼마나 중요한지를 말해주었고|우리들의 모험에 대한 $그의 훌륭한 공헌들 중 하나를 소개했고] [우리들은 서로 포옹을 나누었다|$그의 어깨를 두드려 주었다|충성심과 우정에 대한 짧은 연설을 했다|우리들은 서로의 눈을 지그시 바라보았고 악수를 나누었다|우리들은 서로를 우정을 가득 담아 안아주었다]. [나는 $그가 내 행동에 매우 기뻐했다는 것을 알 수 있었다|$그는 내 행동에 깊은 감동을 받았다|$그는 미소지었고 내 행동에 대한 감사의 표시로 조용히 고개를 끄덕였다|$그는 선물을 받아 기뻐하는 것으로 보였다|$그는 바로 부적을 목에 걸었고 자랑스럽게 지니고 다녔다|$그는 기쁨이 가득한 미소를 지었고 선물을 자랑스럽게 지니고 다녔다|$그는 매우 감동받았고 내 친절함에 감사를 표했다|$그는 고마워하는 것처럼 보였고, 나는 이 순간이 우리 둘에게 매우 특별할 것이라고 생각했다]."
"evt-nature-paint-1","[잠시 뒤|몇 시간 뒤에|그 날 늦게] [$그의 작업이 끝났고|$그가 작품을 완성했고|$그의 그림이 완성되었고], [나는 $그가 결과에 대해 상당히 만족했다는 것을 알 수 있었다|우리들은 그림을 상자들 중 하나에 조심스럽게 담았다|이 장소를 꽤 멋지게 담아낸 것으로 보였다]."
"evt-nature-paint-action","자연경관을 그려낸다"
"evt-nature-paint","[$name 은/는 $그의 장비를 준비했고|$name 은/는 이 훌륭한 경관을 그려내는 것에 동의했고] [자연경관을|이 장소를|이 경치를|웅장한 광경을] [그리기 시작했다|$그의 작품에 담기 시작했다|그리기 위해 솜씨를 발휘했다|담아내기 시작했다]."
"evt-nature-rest-1","[나는 밤을 맞이하며 자리를 잡았다|나는 편안해 보이는 캠프 자리를 찾아냈다]."
"evt-nature-rest-2","[따뜻하고 별들이 빛나는 밤이었다|정말 아름다운 밤이었고, 모두들은 휴식을 즐기고 있는 것으로 보였다|여기는 괜찮은 장소였고, 나는 여기서 우리들이 푹 쉴 수 있을 거라고 확신했다|우리들이 모닥불을 준비하는 동안 맑고 시원한 공기가 우리들을 감쌌다|내가 모닥불을 지피기 위해 땔감들을 모아오라고 하자 분위기가 달아올랐다|대원들은 열심히 모닥불을 지피기 위한 땔감들을 모으러 다녔다]."
"evt-nature-rest-3","우리들이 [모닥불 주위에 앉아 있었을|자리에 앉아 모닥불을 지켜보고 있었을|모닥불 주위에서 휴식하고 있었을] [때 분위기는 긴장되어 있었다|때의 긴장된 분위기를 누군가는 풀 수 있었을지도 모른다|때는 으스스한 밤이었고 대원 모두는 지쳐버린 상태로 보였다|때 우리들의 사기는 낮았다|때는 꽤나 쌀쌀한 밤이었다|때는 이상할 정도로 고요한 밤이었다|때의 밤은 무언가 잘못된 것처럼 느껴졌다|때의 밤은 어떤 소리도 들리지 않았다|때는 칠흑같이 어두운 밤이었다]."
