"@authors","Rômulo Wehling Magalhães, Macalango"
"evt-angry-nativeLeave","[$name abordou-me silenciosamente|Sem qualquer palavra, $name dirigiu-se à fogueira|Com uma expressão vazia, $name arrumou suas coisas|Com um suspiro profundo, $name levantou-se] e [me deu|me entregou|ofereceu-me] algumas folhas de coca que $ele havia [guardado para tempos difíceis|mantido como último recurso]. $Ele, então, [virou-se e adentrou a|andou lentamente para trás e desapareceu na] escuridão da noite. $Ele [nunca regressou|certamente voltou para casa|nos abandonou]."
"evt-angry-renounced","Algo havia [corroído a confiança|quebrado o vínculo] entre $name e eu. $Ele me disse que se [de alguma forma|por acaso] sobrevivêssemos a esta expedição e [conseguíssemos retornar|voltássemos] para casa, $ele nunca mais iria querer [falar|tratar|cooperar|trabalhar] comigo outra vez."
"evt-angry-runAway","[Naquela noite $name levantou-se lentamente de seu lugar à fogueira|Enquanto estávamos sentados à fogueira, $name levantou-se e olhou para o horizonte|$name havia chegado ao seu limite|Aquilo tudo era demais para $name]. [Sem uma palavra,|Enquanto amaldiçoava nossos nomes,] [precipitou-se|atirou-se] para a [noite|escuridão] e [nunca mais foi {visto|vista}|não retornou|desapareceu]. [O contínuo estresse emocional|Os acontecimentos da semana passada|Os desafios da jornada] [haviam sido demais para $ele|haviam quebrado sua fé em nossa expedição]."
"evt-angry-shamanCurse-1","Meus olhos precisaram de um momento para ajustar-se à luz e perceberem que foi $name o [centro|alvo|cerne|foco] da raiva ímpia. Antes que eu pudesse reagir, $ele foi encharcado com um líquido [castanho|espesso|suspeito] e o Xamã desapareceu na noite como um fantasma."
"evt-angry-shamanCurse","Mal havia [adormecido|fechado os olhos] quando acordei com um grito estridente. $name estava debruçado sobre a fogueira emitindo guinchos inumanos e [apontando seus macabros e longos dedos a|cuspindo perdigotos repugnantes em] um de nós."
"evt-angry-traitor","Sentei-me à fogueira depois de um [longo|exaustivo|cansativo] dia quando $name se debruçou sobre mim. Me preparei para mais [um duelo verbal|uma briga|uma altercação|uma discussão|um tilintar de espadas] mas, ao invés disso, $ele ofereceu [paz|uma trégua|um pedido de desculpas]. Após certa consideração, $ele agora [conseguia compreender|entendia|percebia a importância de] algumas das [difíceis|duras] decisões [que tive que tomar|com as quais tive de lidar] e estava disposto a aceitar a minha [liderança|superioridade|autoridade|sabedoria]."
"evt-blessingTemple-approach","[Hoje|Após um longo dia de viagem] [nós nos aproximamos a|nós chegamos a|nossa expedição chegou a|a expedição alcançou|nós descobrimos] um [majestoso|ancestral|misterioso|antigo|sagrado] templo [construído exatamente sobre a face de uma montanha|esculpido em uma montanha|localizado na face de uma montanha]. [Eu podia perceber que aquele era um lugar especial|Aquele me parecia um local sagrado para as pessoas que viviam nestas terras|Era uma vista absolutamente majestosa|Nós hesitamos, admirados com a enorme estrutura]. Uma larga abertura nos conduzia para o interior."
"evt-blessingTemple-drink-1","Seus olhos iluminaram-se imediatamente e $ele olhou para mim com uma expressão quase aliviada em seu rosto. Após isso, $ele me pareceu particularmente em paz e tranquilo, como se nada mais pudesse perturbar sua _mente_."
"evt-blessingTemple-drink-2","Após beber o líquido, sua aparência melhorou e $ele parecia muito mais _saudável_. Logo tornou-se óbvio que $ele era capaz de melhorar rapidamente."
"evt-blessingTemple-drink-3","Enquanto $ele bebia do cálice eu poderia jurar ter visto um raio de luz vindo do teto, cobrindo-lhe com uma aura maravilhosa, quase sagrada. Alguma tipo de _símbolo sagrado_ havia aparecido em sua testa."
"evt-blessingTemple-drink-4","$Ele largou o cálice e, inadvertidamente, quase o esmagou com as mãos. Beber da poção parecia ter aumentado tremendamente sua _força_ e, agora, $ele estava mais disposto a carregar maiores cargas."
"evt-blessingTemple-drink-5","Enquanto bebia do cálice, sua pele começou a enrijecer e escurecer. Pouco depois, sua _pele parecia estar muito mais dura_ e mais resistente a danos."
"evt-blessingTemple-drink-6","No momento em que bebeu do cálice, suas mãos começaram a tremer descontroladamente enquanto seu corpo se retorcia em dor. Após os gritos cessarem, pude ver que suas mãos haviam sido transformadas em terríveis _garras bestiais_. Não era a visão mais bonita, mas seriam benéficas no próximo combate."
"evt-blessingTemple-drink-7","Nós observamos $name de perto após $ele começar a beber da [incomum|misteriosa|estranha|peculiar|esquisita|possivelmente sinistra|muito suspeita] poção. Apesar disso, nada [digno de nota|diferente|que valha a pena mencionar|especial] aconteceu."
"evt-blessingTemple-drink-action","Deixe que $name beba"
"evt-blessingTemple-drink","[Eu disse a $name para|Eu pedi a $name para|Eu ofereci a $name] beber do [misterioso|estranho|aparentemente sagrado] cálice. [Sem hesitação, $ele|$Ele olhou para mim por um breve momento e depois|$Ele não protestou, pois este era o seu momento, então|$Ele reclamou de início mas depois] [bebeu tudo de uma vez|engoliu o líquido todo|lentamente bebeu a poção misteriosa|tomou longos goles até o cálice se esvaziar]."
"evt-blessingTemple-enter-action","Entrar no templo"
"evt-blessingTemple-enter","[Nós chegamos ao santuário interno do templo|Perante nós, jazia uma espécie de câmara cerimonial|Havíamos encontrado o quarto sagrado do altar|Com cuidado, entramos na bem preservada câmara cerimonial]. Um [altar|tablado] [pequeno|dourado|de pedra|ornamentado|intrincadamente enfeitado|enorme|muito velho] [encontrava-se|situava-se] em seu centro. [Encontramos|Havia|Vimos] um cálice [dourado|de madeira|de pedra|de granito|de vidro|decorativo|misterioso|ornamental|incrustado com jóias], [repleto de|contendo] [um líquido estranho|um líquido vermelho|um líquido translúcido], colocado [em cima|no centro] do altar. Minha intuição me disse que um de nós deveria _bebê-lo_."
"evt-blessingTemple-leave","[Ao sairmos do templo|No momento em que saímos do templo|Ao atravessarmos o portal do templo|Ao irmos embora] [uma pedra enorme|uma placa de pedra massiva|um bloco de granito] desceu atrás de nós e selou o portal. Não havia mais como voltar a entrar."
"evt-camp-explore-action","Entrar no acampamento"
"evt-camp-explore","Nós [preparamos|erguemos|montamos] nosso acampamento. [Era como se estivéssemos em casa|Os confortos de casa chamavam por mim|Minha vontade de dormir novamente num colchão de penas apenas aumentava]."
"evt-camp-morning","Dormir com um teto sobre nossas cabeças era um luxo que raramente nos era permitido."
"evt-camp-packUp-action","Arrumar o acampamento"
"evt-camp-packUp","Era hora de [arrumar | desmantelar | quebrar | empacotar | desmontar] o acampamento e [continuar | avançar]. Eu disse a todos para colocar o equipamento volta para as caixas, então poderíamos partir."
"evt-camp-stash-action","Acessar estoque"
"evt-camp-stash-close","Fechamos o estoque do acampamento."
"evt-camp-stash-title","Estoque do acampamento"
"evt-camp-stash","Acessamos o estoque do acampamento."
"evt-cave-approach-action","Explorar a caverna"
"evt-cave-approach","[Nós nos aproximamos de uma caverna|Nós localizamos uma caverna]. [A entrada|Sua abertura|A abertura de pedra] [nos levava à escuridão das profundezas desconhecidas|parecia nos levar profundamente pela montanha]. Nós [precisávamos|necessitávamos] de uma tocha [para explorar seus segredos|para que pudéssemos seguir em frente com segurança|para entrar|para descobrir seus mistérios]."
"evt-cave-corpses-1","[Para nossa surpresa, uma das caixas apodrecidas ainda tinha equipamentos de valor|Ficamos felizes ao ver que um dos cadáveres ainda carregava equipamentos úteis]."
"evt-cave-corpses-action","Investigar os restos"
"evt-cave-corpses","Nós [encontramos uma|chegamos a uma] pequena caverna [apinhada de|repleta de|contendo] [restos|destroços|resíduos|sobras] do que parecia ter sido uma expedição fracassada. [Os poucos restos mortais já haviam se decomposto há muito tempo|Os poucos restos mortais estavam apodrecidos|O pouco que restava estava apodrecido|Os restos apodrecidos do que parecia ter sido um explorador francês repousavam|O esqueleto do que parecia ter sido um explorador britânico nos encarava através de suas cavidades oculares rachadas|O esqueleto do que parecia ter sido um explorador alemão nos mostrava um sorriso torto|Os restos apodrecidos do que parecia ter sido um explorador sueco possuía feições totalmente esmagadas|O esqueleto do que parecia ter sido um explorador italiano tinha vários ossos partidos|Os restos apodrecidos do que parecia ter sido um explorador árabe nos encarava pelas órbitas vazias|Os macabros restos do que parecia ter sido um explorador persa nos mostrava um sorriso torto|Os restos apodrecidos do que parecia ter sido um explorador africano repousavam|Os restos mutilados do que parecia ter sido um explorador oriental repousavam]. Todos os ossos que encontramos tinham sido quebrados e, aparentemente, sugados de sua essência."
"evt-cave-explore-noTorch-10","Havia sido $name quem entrou em pânico. Ainda que, eventualmente, tenhamos sido capazes de lhe acalmar, a situação estava abatendo a moral do grupo."
"evt-cave-explore-noTorch-11","Fiquei chocado ao ver que $name jazia [mole|sem vida|rigidamente] no chão. Uma espuma branca cobria seus lábios e nós [assumimos que|chegamos à conclusão que|todos concordamos que] $ele devia ter sofrido um ataque cardíaco. A situação havia [afetado|traumatizado|afligido|atormentado psicologicamente] profundamente os membros da expedição."
"evt-cave-explore-noTorch-12","$name [havia desaparecido|não estava em lugar nenhum|havia sumido]. [Não conseguimos encontrar qualquer rastro|Não havia nenhum sinal $dele] e ninguém conseguia explicar o que tinha acontecido."
"evt-cave-explore-noTorch-13","$name [estava estranhamente ausente|não estava em lugar nenhum|havia desaparecido]. $Ele tinha sido [substituído por|suplantado por|sinistramente trocado por|possivelmente transformado em] uma terrível Abominação que nos encarava com olhos [vazios|deformados|sem vida|sem emoção|indiferentes|frios]. [Não conseguíamos encontrá-lo em lugar nenhum|Esperei que aquilo fosse uma extravagante piada de mau gosto|Nosso colega havia desaparecido|Não havia qualquer rastro], mas o demônio vil parecia nos seguir a partir daquele momento."
"evt-cave-explore-noTorch-1","[Apesar de nossa insensatez, de alguma forma conseguimos atravessar a escuridão sem que ninguém se ferisse|Foi uma surpresa termos conseguido escapar sem nenhum ferimento|Fora pequenos hematomas causados por esbarrões, conseguimos chegar ao final sem nenhum acidente grave|O destino sorria sobre nós, pois marchamos através do túnel escuro sem tanto esforço|A fé, e talvez um pouco de sorte, guiaram nossos passos seguramente através da escuridão]."
"evt-cave-explore-noTorch-2","[Bruscamente|Inicialmente, pensei que conseguiríamos, mas então|Sem aviso], [ouvi|notei|percebi] [uma batida|um som como se alguém tropeçasse|um sussurro|um barulho estranho|um murmúrio irritado] seguido de [um grito|uma voz estridente|alguém chorando de dor|uma respiração pesada]."
"evt-cave-explore-noTorch-3","Ouvimos algo se movendo na escuridão."
"evt-cave-explore-noTorch-4","[De repente|Nosso empenho era evidente, mas então|Sem aviso] alguém começou a gritar de terror. [O pânico abateu-se sobre a expedição|Senti minha bexiga fraquejar incontrolavelmente|O pavor nos agarrou na escuridão] e mal fizemos qualquer progresso durante o que pareceram ser horas."
"evt-cave-explore-noTorch-5","[De repente|Esperávamos alcançar nosso destino, mas então|Sem aviso], [ouvi|notei|tomei consciência de|percebi] [um som de outro mundo|um ressoar estranho|algo se deslocando na escuridão|um som inquietante de algo que se arrastava], [seguido de|acompanhado por|juntamente com] [o som de ossos se partindo|um grito abafado|um pedido indistinto de ajuda|o sinistro som de sangue pingando|um estalo ameaçador|um som horrendo de trituração|o som de algo se rompendo|um misterioso ruído de algo a clicar, como se milhares de pernas se movessem através do chão frio de pedra]. [Eu sabia que algo desagradável havia acontecido|Um mau pressentimento me subiu pela espinha|Isto era profundamente perturbador|Algo terrível havia acontecido]."
"evt-cave-explore-noTorch-6","[De repente|Inicialmente, eu esperava conseguir, mas então|Sem aviso], [ouvi|notei|percebi|me dei conta de] [um pedregulho se movendo|um eco sobrenatural|um estranho ressoar|algo se movendo na escuridão|uma tentativa abafada de gritar|um histérico pedido de ajuda]. [Pouco depois|Não muito depois|No momento seguinte|Uma fração de segundo depois], havia uma [calma assustadora|paz perturbadora], apenas [quebrada|interrompida] por um [borbulhar|arquejo|gemido|ranger de dentes] [estranho|misterioso|repugnante|sobrenatural|alienígena|monstruoso|incomum|maligno|anormal|perverso|peculiar]."
"evt-cave-explore-noTorch-7","[Eventualmente, nossos olhos ajustaram-se à escuridão|Eu não conseguiria dizer por quanto tempo trabalhamos na escuridão mas, eventualmente, vimos uma luz e nos empenhamos para encontrar sua fonte]."
"evt-cave-explore-noTorch-8","Notei que $name estava sangrando. A ferida era grave, mas $ele não conseguia [dizer-me|expressar] exatamente o que havia acontecido."
"evt-cave-explore-noTorch-9","Em meio à escuridão, um [aglomerado|grupo] de aranhas [enormes|gigantes|monstruosamente anormais] avançou sobre nós."
"evt-cave-explore-noTorch-action","Explorar na escuridão"
"evt-cave-explore-noTorch","[Quem precisava de algo que a humanidade utilizava desde a Idade da Pedra, de qualquer forma!|Esta expedição não seria arruinada por falta de tochas!|Instruí todos a formar uma fila e preparar-se para a escuridão.|A luz era valorizada em demasia, nossos olhos logo se adaptariam à escuridão.|Nada nos impediria, nem mesmo a escuridão desta caverna.|Teríamos de suportar sem tochas.] [Nossa marcha para a escuridão se iniciou|Seguimos em frente contra as trevas|Seguimos com dificuldade através da escuridão|Logo após alguns passos, já havíamos sido envolvidos pela escuridão do túnel|Perdi qualquer sentido de tempo e espaço enquanto descíamos pela caverna]."
"evt-cave-explore-pumpkinLantern-action","Usar a lanterna de abóbora e explorar"
"evt-cave-explore-pumpkinLantern","Usamos nossa abóbora lanterna para iluminar nossa descida."
"evt-cave-explore-torch-action","Acender a tocha e explorar"
"evt-cave-explore-torch","Nós acendemos uma tocha e descemos para a escuridão."
"evt-cave-explored-leave-action","Deixar a caverna"
"evt-cave-ghostsQuest-action","Lutar!"
"evt-cave-ghostsQuest-reward","Nós haviamos derrotado os monstros sobrenaturais."
"evt-cave-ghostsQuest","Nós encontramos [o ninho sobre o qual|o lugar sobre o qual|a caverna sobre a qual] os [_espíritos|_fantasmas_] _nativos_ [conversavam|falavam]. Tudo estava apodrecido e coberto por [poeira e teias|sujeira e detritos|casulos vazios|detritos envelhecidos|teias de aranhas], com ossos partidos espalhados pelo chão. Antes de conseguirmos investigar mais a fundo, ouvimos cliques desconcertantes. Era demasiado tarde quando percebi que havíamos cometido um erro terrível. Fomos rodeados por um grupo de aracnídeos [gigantes|monstruosos|anormais|deformados|peludos|espinhosos|horrendos]!"
"evt-cave-monsterDen-giantSpiders","Tudo estava coberto por teias de aranha e ossos partidos e apodrecidos estavam espalhados pelo chão. Antes de pudéssemos investigar mais a fundo, ouvimos cliques desconcertantes. Era demasiado tarde quando percebi que havíamos cometido um erro terrível. Fomos atacados por um grupo de aranhas gigantes!"
"evt-cave-mummy-1","Muitas das múmias [eram demasiado velhas e frágeis para terem|tornar-se-iam em pó se fossem tocadas e não teriam|estavam se desfazendo e não teriam] qualquer valor. No entanto, após uma investigação minuciosa, [nossa busca provou ser produtiva|encontramos uma robusta o suficiente para ser posta em uma caixa|encontramos uma sólida o suficiente para o transporte|conseguimos encontrar uma ainda inteira]."
"evt-cave-mummy-action","Investigar as múmias"
"evt-cave-mummy","Nós [chegamos ao aposento|chegamos em um esconderijo|nos deparamos com um beco sem saída]. Ele [parecia ter sido usado pelos nativos da região como|possuía vestígios fascinantes como se houvesse sido|possuía apetrechos como se fosse|obviamente servia como] uma espécie de tumba cerimonial. Em seu interior havia [pacotes embrulhados que pareciam conter os restos mortais de cadáveres|corpos mumificados]."
"evt-cave-mushrooms-1","[Após certo tempo na caverna, havíamos colhido alguns cogumelos aparentemente comestíveis|Levou certo tempo, mas conseguimos colher alguns cogumelos]."
"evt-cave-mushrooms-action","Coletar cogumelos"
"evt-cave-mushrooms-refillWater-action","Recarregar água"
"evt-cave-mushrooms","Nós [descobrimos um|chegamos a um] notável [poço de água|lago] subterrâneo. A água [parecia repleta de algas|era clara como o dia], sustentando o crescimento de [vegetação, principalmente vários cogumelos coloridos|cogumelos de tons vibrantes]. Se investíssemos um pouco de tempo, certamente seríamos capazes de colher [alguns deles|algumas amostras]."
"evt-cave-opening-1","Todos os membros da expedição estavam feridos, [então não havia ninguém que pudesse explorar a entrada|portanto fomos forçados a deixar os mistérios da caverna inexplorados.]"
"evt-cave-opening","Nós [encontramos|chegamos a] uma [abertura|passagem] [pequena|oculta] em uma das paredes que parecia levar a outra parte da caverna. Apenas uma pessoa [cabia na passagem|por vez conseguiria passar]."
"evt-cave-outcome-8","Nós ouvimos um grito reverberando dentro da caverna. Estávamos preocupados que [$name não conseguisse retornar|algo terrível houvesse ocorrido a $name] mas, pouco depois, enquanto $ele [cambaleava para fora da caverna|emergia|rastejava para fora], $ele [parecia ter|aparentemente havia] [acionado uma armadilha|sido mordido por algo|tocado em algo viscoso]. [Tivemos sorte por|Foi um milagre] $ele [ter sobrevivido|estar com vida e disposto a continuar|ainda se encontrar no mundo dos vivos]."
"evt-cave-outcome-bad-1","Esperamos [por um longo tempo|o tanto que conseguimos] mas $ele não regressou [da escuridão|a nós]. Foi uma grande perda, mas $ele [nunca será esquecido|não será apagado de nossas memórias facilmente|sempre terá um lugar em nossos corações]."
"evt-cave-outcome-bad-2","Esperamos [por um longo tempo|o tanto que conseguimos] mas $ele não regressou [da escuridão|a nós]. Foi uma grande perda, mas $ele [nunca será esquecido|não será apagado de nossas memórias facilmente|sempre terá um lugar em nossos corações]."
"evt-cave-outcome-bad-3","Um sorriso sinistro iluminou o rosto de $name, [$ele obviamente não estava muito triste com nossa perda|a morte parecia agradar-lhe|$ele parecia saborear a morte de cada nativo]."
"evt-cave-outcome-bad-4","Pouco depois de $name ter entrado pela passagem, [gritos de terror|um ruído sobrenatural|um grito arrepiante] ecoou das profundezas da caverna. $name [nunca voltou|não regressou|nunca mais foi visto]."
"evt-cave-outcome-bad-5","Pouco depois de $name adentrado a misteriosa fenda, [gritos de terror|um barulho horripilante|um grito sobrenatural] ecoou de dentro da caverna. $name [se foi|não retornou|nunca mais foi visto]."
"evt-cave-outcome-bad-6","Um sorriso sinistro iluminou o rosto de $name, [$ele obviamente não estava muito triste com nossa perda|$ele parecia estranhamente satisfeito com a morte|$ele parecia saborear a morte de seu companheiro]."
"evt-cave-outcome-rewards-1","Após [algum|um longo] tempo, $ele rastejou para fora da escuridão e nos presenteou com o esplendor de um altar sagrado, [onde $ele encontrou|sobre o qual repousava] um artefato [místico|arcano]."
"evt-cave-outcome-rewards","Após [certo tempo|alguns tensos minutos|o que pareceu ser uma eternidade|muitas horas], $ele [rastejou de volta da|emergiu da] escuridão. $Ele havia encontrado [os esqueletos|os restos] de um grupo de exploradores há muito [falecido|perdido] juntamente com alguns items valiosos que eles [certamente|absolutamente] [já não precisavam|não podiam mais usar|não sentiriam falta]. [Um mau presságio, talvez|Um sinal, talvez|Certamente, não um prenúncio de nosso destino]."
"evt-cave-paintings","Nós [encontramos um aposento|descobrimos uma seção que se destacava|chegamos a uma seção da caverna]. As paredes haviam sido [cobertas|adornadas|decoradas|ornamentadas] com _pinturas pré-históricas_ [magníficas|esplêndidas|exuberantes|perfeitamente preservadas] que retratavam o caminho para uma região isolada a várias milhas de distância. [Nós nos empenhamos|Nós levamos algum tempo|Tomamos um momento] para documentar tudo aquilo no intuito de pesquisá-las futuramente."
"evt-cave-sendIn-1","Eu [enviei|nomeei|designei|elegi] $name para investigar a abertura..."
"evt-cave-sendIn-action","Enviar $name"
"evt-cave-sendIn","$name [estava visivelmente aterrorizado enquanto pressionava seu corpo através da estreita fenda na rocha|estremeceu quando as pedras afiadas dilaceraram sua carne ao se espremer pela fenda|choramingou ao atravessar a abertura na pedra|reuniu sua coragem para enfrentar os segredos à frente|tremia de medo enquanto desaparecia lentamente pela passagem]..."
"evt-cave-teleport-1","[Nós marchamos corajosamente através do obscuro trajeto subterrâneo|Nós exploramos grandes câmaras e cavernas sinuosas]. [Após dias de exploração|Eventualmente], tivemos de retornar após vários desabamentos na caverna não permitirem mais [que explorássemos|que continuássemos|que avançássemos]."
"evt-cave-teleport-action","Explorar o túnel"
"evt-cave-teleport-arrive","Nós ficamos [surpresos ao ver|intrigados ao descobrir] que aquilo era apenas [o princípio de|o início de] [um longo túnel subterrâneo|um túnel subterrâneo|um caminho subterrâneo]."
"evt-cave-teleport","[Nós avançamos bravamente através do túnel escuro|Nós exploramos cavernas vastas e corredores tortuosos|Nossa aventura persistiu e escapou de várias potenciais calamidades nas cavernas]. [Quando finalmente vi a luz adiante, avançamos em sua direção ansiosamente.|Foi um alívio ver um raio de luz brilhando por uma saída.|A insinuação da luz solar à distância nos trouxe esperança.]"
"evt-celebration","Voltamos triunfantes!"
"evt-cenote-init-action","Explore o Cenote"
"evt-cenote-init","[Utilizando empunhaduras presas na rocha, nós descemos até|Um caminho há muito esquecido nos guiava a|Nós descemos cuidadosamente até] um pequeno trecho gramado próximo [à água|ao lago|ao corpo de água]. [Era tão fundo que|Era mesmo um abismo, pois|Embora a água fosse cristalina,] não conseguíamos [sequer vislumbrar|ver] o fundo."
"evt-cenote-night-action","Olhar para o poço à noite"
"evt-cenote-night-afterSpirit","Após esse milagroso incidente, o espírito sobrenatural desapareceu perante nossos próprios olhos."
"evt-cenote-night","[Nós esperamos|O grupo descansou no fosso|Todos se instalaram e aguardaram] até [a luz do luar iluminar a água|a noite estar totalmente escura]. [Repentinamente|Aparentemente do nada|Durante uma ocorrência paranormal] [um espírito|um fantasma|uma aparição de outro mundo] [apareceu|se materializou], [flutuando|planando] sobre [a lagoa|a água|o suposto abismo|a superfície da água]."
"evt-cenote-waitUntilDawn-action","Esperar até o amanhecer"
"evt-cenote-waitUntilDawn","Após uma noite particularmente desconfortável, estávamos prontos para sair de novo, pois novas aventuras nos esperavam."
"evt-combat-loot-1","Nós despojamos os [restos mortais|mortos] de qualquer coisa útil."
"evt-combat-loot","Após termos derrotado o traficante de escravos e seus lacaios, nós saqueamos o que era útil de seus restos mortais."
"evt-combat-run-action","Correr"
"evt-combat-run","[Nós tentamos|Nós tivemos de|A nossa única esperança era|Não tínhamos chances e tivemos de|Se quiséssemos sobreviver, tínhamos de] [fugir|escapar|dar meia-volta e fugir|nos retirar|recuar]."
"evt-conflict-racist-dismiss","$name [não pôde mais ficar conosco|foi forçado a sair do grupo]. $Ele abandonou a jornada, dirigindo-se [a um destino incerto|em direção à fronteira mais próxima|de volta para de onde veio]."
"evt-dismiss-abomination-action","Deixe quieto"
"evt-dismiss-abomination","[Tentei mandar a Abominação embora|Tentei todos os tipos de maldades para conseguir fazê-la me deixar|Considerei gritar com aquela coisa, mas temi retaliações|Gesticulei para a abominação deixar o nosso grupo]. [Ela simplesmente ficou ali, observando o movimento dos meus braços ao invés de prestar atenção ao que eu realmente queria|Ela olhou para mim com seus sinistros olhos|Ela simplesmente não ia embora|Ela olhou para mim sem expressão, sem querer, ou conseguir, compreender as minhas ordens]."
"evt-dismiss-default-action-1","Eu mudei de idéia"
"evt-dismiss-default-action","Despedir da expedição"
"evt-dismiss-default","[Eu o deixei ir|Eu ficaria melhor sem $ele]."
"evt-dismiss-imaginaryFriend","Tentei encontrar as palavras, mas pareceu-me impossível deixar que $ele fosse embora."
"evt-dismiss-luis-1","[Eu o deixei ir|Eu ficaria melhor livre $dele]."
"evt-dismiss-luis","$name opôs-se intensamente. Ele não aceitaria deixar seu velho amigo para trás e parecia [desesperado|bastante zangado|completamente chocado]."
"evt-dismiss-tim-1","$name [ladrou|uivou|parecia confuso|rosnou ameaçadoramente] enquanto discutíamos."
"evt-dismiss-tim-2","[Eu o separei do grupo|Eu ficaria melhor sem $him]."
"evt-dismiss-tim","$name [opôs-se fervorosamente|tentou mudar minha opinião|contestou furiosamente minha autoridade|avisou-me sobre as consequências]."
"evt-dismiss-western-1","[Eu o deixei ir|Eu ficaria melhor sem $ele]."
"evt-dismiss-western","$name [opôs-se veementemente|tentou convencer-me do contrário|tentou mudar minha opinião|opôs-se a mim furiosamente|avisou-me das consequências]."
"evt-dismiss","[Ponderei se seria sensato expulsar $name|Expulsar ou não expulsar $name, eis a questão|Era hora de expulsar $name|Eu tinha de mandar $name embora]."
"evt-elephantGraveyard-explore","Esse sombrio e [antigo|inquietante] local estava [localizado|situado] em meio a um pântano, [apinhado|repleto|cheio] dos restos mortais de _elefantes_ há muito mortos. Por algum motivo insondável [várias gerações dessas criaturas majestosas|centenas destes animais magníficos] haviam vindo aqui para morrer."
"evt-elephantGraveyard-searchOutcome-2","[Embora não tenhamos encontrado quaisquer presas que valessem algo,|Todos os ossos estavam apodrecidos e inúteis, mas] encontramos outra coisa, inteiramente peculiar."
"evt-expedition-done-1","Após [semanas viajando|tamanho esforço|todo esse sofrimento], [uma euforia|uma imensa alegria|um orgulho extraordinário|um tremendo alívio] caiu sobre mim. Eu sabia que [o meu|este|o] nome $name [seria lembrado para sempre|não seria esquecido|seria um sinônimo de vitória|teria livros escritos sobre ele muito tempo depois de eu partir desta vida|seria respeitado pela comunidade de aventureiros intrépidos|seria gravado nos anais da história mundial]."
"evt-expedition-done-2","$name estava bastante chateado, dado que eu não tinha mantido minha promessa. Ele seguiu em frente por conta própria."
"evt-expedition-done-3","Eu pretendia falar com $name, mas $ele não estava em lugar nenhum. Eu podia jurar tê-lo visto [passar por trás de uma coluna|andar contra uma parede|em algum lugar próximo] apenas momentos atrás. Nunca o vi novamente."
"evt-expedition-done-aftermath-action-1","Convencer a ficar com o grupo."
"evt-expedition-done-aftermath-action","Finalizar Tutorial!"
"evt-expedition-done-native-join","Todas as minhas histórias sobre [as conveniências|os avanços] do mundo civilizado haviam tido um efeito em $name e $ele concordou em regressar comigo."
"evt-expedition-done-native-stay-action-1","[Glorioso Resultado!|Vitória!|Triunfo!|Avante!|Livros de História, aqui vou eu!|Regressar para Casa!|Para a Inglaterra!|Sucesso!|Tornar-se uma Lenda!|Pela Fama e Glória!|Deixar o Horror para Trás!|Sem Arrependimentos!|Não Olhar para Trás!|Nunca Regressar!|Para a História!|Fama Eterna me Aguarda!|Outras Aventuras me Aguardam!|Adeus!|Para o Clube dos Exploradores!|Fortuna e Glória!|Histórico!]"
"evt-expedition-done-native-stay-action","Deixe-os ir"
"evt-expedition-done-native-stay","Não houve maneira de convencê-lo de outra coisa. $name decidiu ficar em seu país natal."
"evt-expedition-done-native","Eu congratulei $name, mas ao invés de [alegria|entusiasmo|felicidade] vi [tristeza|arrependimento]. $Ele [preferia ficar aqui|não iria comigo para o mundo civilizado|temia o tratamento depreciativo que teria de enfrentar no meu mundo|nunca sairia destas terras sagradas]."
"evt-expedition-done","Esta foi minha última expedição e já era hora de voltar para casa de vez."
"evt-firstAid-heal-action","Curar $name"
"evt-firstAid-heal","Nós usamos o kit de primeiros socorros para tratar as feridas de $name. $Ele [sentiu-se muito melhor|ficou mais corado] ao fim."
"evt-followed-confront-combat","Nós nos preparamos para os temerosos guerreiros nativos. Mas claramente eles não haviam blefado e prepararam suas armas."
"evt-followed-confront-deny-action","Negar o tributo"
"evt-followed-confront-deny","Eu consegui de alguma maneira acalmá-los e fazer as pazes. Finalmente me deixou ir embora."
"evt-followed-confront-pay-action","Pagar tributo"
"evt-followed-confront-pay-success","Fomos capazes de [chegar a um acordo|concordar|estabelecer um pacto] com os guerreiros. Eles desapareceram [tão rápido como surgiram|num piscar-de-olhos|pelos arbustos]."
"evt-followed-confront-pay","Nós [não queríamos arriscar um confronto|nos empenhamos em fazer as pazes]."
"evt-followed","Um grupo de _guerreiros nativos_ surgiu [aparentemente do nada|e nos confrontou de uma forma um pouco intimidante|como por magia]. Eles deviam estar me [seguindo|acompanhando] desde que saí de sua aldeia. O líder deles estava claramente [furioso|zangado|perturbado|fora de si] com minhas ações e exigiu que eu pagasse um _tributo_ como compensação."
"evt-goal-enter-1","No entanto, um portão bloqueou a entrada. Pequenas aberturas sugeriam que nós precisaríamos de dois artefatos para abrí-lo."
"evt-goal-enter-2","No entanto, um portão bloqueou a entrada. Pequenas aberturas sugeriam que nós precisaríamos de dois artefatos para abrí-lo."
"evt-goal-enter","No entanto, um portão bloqueou a entrada. Uma pequenas abertura sugeria que nós precisaríamos de um artefato para abrí-lo."
